match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,shotOffTarget,blockedScoringAttempt,interceptionWon,hitWoodwork,keyPass,penaltyWon,bigChanceMissed,penaltyMiss,savedShotsFromInsideTheBox,penaltyConceded
14147379,home,36019,FK Mornar Bar,856483,Balša Sekulić,balsa-sekulic,F,9,False,31.0,24.0,0.0,0.0,0.0,12.0,14.0,12.0,17.0,1.0,0.0,5.0,1.0,15.0,5.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,3.0,2.0,3.0,0.0,,,,,,90.0,55.0,6.6,19.0,1.11,0.0,"{'original': 6.6, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,6,14,4,10,77.41935483870968,,0.0,100.0,,4.0,1.0,1.0,,1.0,,,,1.0,,
14147379,home,36019,FK Mornar Bar,941133,Petar Vukčević,petar-vukcevic,D,19,True,18.0,16.0,1.0,1.0,0.0,,,16.0,18.0,4.0,3.0,1.0,0.0,10.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,,,,,,44.0,26.0,6.5,5.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,2,9,88.88888888888889,100.0,75.0,50.0,,1.0,,,1.0,,,,,,,
14147379,home,36019,FK Mornar Bar,154655,Darko Zorić,darko-zoric,M,18,True,6.0,6.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,18.0,8.0,6.5,0.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,,,,,,,,,,
14147379,home,36019,FK Mornar Bar,1404815,Matija Rovčanin,matija-rovcanin,M,21,True,1.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,5.0,2.0,6.2,2.0,0.0,0.0,"{'original': 6.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,0.0,,,,,,,,,,,,,,,
14147379,home,36019,FK Mornar Bar,804419,Demir Skrijelj,demir-skrijelj,M,10,True,2.0,1.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,3.0,7.0,,2.0,0.0,0.0,,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,3,3,50.0,,,100.0,,1.0,,,,,,,,,,
14147379,home,36019,FK Mornar Bar,1498808,Vasilije Stojanović,vasilije-stojanovic,G,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,
14147379,home,36019,FK Mornar Bar,226224,Filip Mitrović,filip-mitrovic,D,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,
14147379,home,36019,FK Mornar Bar,1005622,Jovan Dašić,jovan-dasic,M,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,
14147379,home,36019,FK Mornar Bar,1002892,Balša Dubljević,balsa-dubljevic,M,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,
14147379,home,7727,FK Mornar Bar,1112732,Bojan Pavićević,bojan-pavicevic,F,97,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,
14147379,away,6216,OFK Petrovac,188987,Marko Kordić,marko-kordic,G,25,False,20.0,20.0,9.0,9.0,0.0,16.0,16.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,90.0,23.0,6.6,6.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,100.0,,,,,,,,,,,,,2.0,
14147379,away,36019,OFK Petrovac,1214474,Nikola Vuković,nikola-vukovic,D,11,False,29.0,15.0,3.0,0.0,0.0,6.0,10.0,8.0,15.0,2.0,0.0,0.0,0.0,9.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,72.0,42.0,6.5,12.0,0.15,0.15,"{'original': 6.5, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,1,9,51.724137931034484,0.0,0.0,50.0,,,1.0,,1.0,,1.0,,,,,
14147379,away,6216,OFK Petrovac,1484679,Marko Franeta,marko-franeta,D,13,False,49.0,41.0,5.0,2.0,0.0,23.0,27.0,16.0,20.0,0.0,0.0,1.0,3.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,18.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,,,,,,90.0,66.0,6.6,12.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,4,9,5,4,83.6734693877551,40.0,,,,,,,4.0,,,,,,,
14147379,away,6216,OFK Petrovac,986362,Marko Merdović,merdovic-marko,D,44,False,39.0,34.0,9.0,5.0,0.0,28.0,29.0,5.0,9.0,1.0,0.0,2.0,1.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,90.0,48.0,6.2,5.0,0.0,0.0,"{'original': 6.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,1,3,87.17948717948718,55.55555555555556,0.0,0.0,,,,,1.0,,,,,,,
14147379,away,6216,OFK Petrovac,57339,Dejan Boljević,dejan-boljevic,D,33,False,39.0,28.0,5.0,1.0,0.0,14.0,15.0,14.0,22.0,3.0,0.0,1.0,2.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,90.0,46.0,6.4,15.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,1,5,71.7948717948718,20.0,0.0,,,,,,,,,,,,,
