match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,bigChanceCreated,blockedScoringAttempt,totalTackle,wonTackle,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,shotValueNormalized,interceptionWon,unsuccessfulTouch,challengeLost,wonContest,dispossessed,shotOffTarget,onTargetScoringAttempt,goals,bigChanceMissed,totalOffside,penaltyWon,savedShotsFromInsideTheBox,penaltyFaced,outfielderBlock,penaltyConceded
14015597,home,111127,FK Radnik Surdulica,1046939,Ayouba Kosiah,ayouba-kosiah,F,92,False,7.0,3.0,2.0,1.0,0.0,1.0,3.0,2.0,4.0,,,,,,,45.0,12.0,6.3,5.0,39.121952558146,5.0,9.0914782848182,1.0,,"{'original': 6.3, 'alternative': 6.4}",1,0.02,0.04,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,42.857142857142854,50.0,,,,,,1.0,1.0,3.0,2.0,,,1.0,,,1.0,2.0,19.738363155224,21.936938733561,,-0.05,,1.0,,,,,,,,2.0,,,,,
14015597,home,111127,FK Radnik Surdulica,1111989,Luka Zorić,luka-zoric,D,3,True,24.0,20.0,5.0,3.0,0.0,12.0,12.0,8.0,12.0,1.0,3.0,,,,,45.0,34.0,7.2,7.0,90.698224905668,11.0,46.121581339954,0.0,,"{'original': 7.2, 'alternative': 7.6}",3,-0.03,0.21,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,5,6,2,4,83.33333333333334,60.0,,,,,,3.0,2.0,7.0,4.0,,,1.0,1.0,1.0,1.0,2.0,,,2.0,-0.54,1.0,2.0,2.0,,,2.0,,,,,1.0,,,,
14015597,home,111127,FK Radnik Surdulica,997184,Martin Novaković,martin-novakovic,M,30,True,22.0,20.0,,,0.0,9.0,9.0,11.0,13.0,,2.0,,,,,45.0,33.0,7.7,4.0,96.331962499984,12.0,41.094816832814,1.0,,"{'original': 7.7, 'alternative': 7.8}",4,0.26,0.22,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,90.9090909090909,,,100.0,,,,,,2.0,3.0,1.0,,1.0,,,2.0,,8.7422611633676,9.1218051393351,1.0,0.56,1.0,,,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,
14015597,home,111127,FK Radnik Surdulica,578112,Igor Ivanović,igor-ivanovic,F,10,True,33.0,27.0,1.0,1.0,0.0,3.0,4.0,24.0,29.0,,,,,,,45.0,46.0,6.9,11.0,160.86974026969,19.0,61.742483237536,3.0,,"{'original': 6.9, 'alternative': 7.1}",2,0.25,0.29,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,5,4,81.81818181818183,100.0,,100.0,,1.0,,1.0,,5.0,5.0,2.0,,1.0,2.0,1.0,1.0,,18.146953109342,54.509974045001,,-0.52,,,,2.0,4.0,1.0,,,,1.0,,,,,
14015597,home,111127,FK Radnik Surdulica,1801667,Lazar Stojanović,lazar-stojanovic,F,20,True,10.0,7.0,1.0,,0.0,4.0,5.0,3.0,5.0,,4.0,,,,,33.0,20.0,6.7,9.0,108.97602568415,9.0,31.504094158742,2.0,,"{'original': 6.7, 'alternative': 6.7}",1,-0.05,0.26,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,70.0,,,50.0,,2.0,,2.0,,5.0,2.0,2.0,,1.0,1.0,1.0,,,14.714535166875,39.067885379433,,0.0,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,
14015597,home,111127,FK Radnik Surdulica,1000660,Savo Rašković,savo-raskovic,M,80,True,7.0,4.0,1.0,,0.0,1.0,1.0,3.0,6.0,,,,,,,1.0,7.0,,3.0,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,57.14285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015597,home,111127,FK Radnik Surdulica,1907123,Teo Lakić,teo-lakic,F,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015597,home,111127,FK Radnik Surdulica,1424357,Lazar Radojičić,lazar-radojicic,G,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015597,home,111127,FK Radnik Surdulica,1544668,Darije Markočević,darije-markocevic,F,49,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015597,home,111127,FK Radnik Surdulica,1006673,Axel Urie,urie-axel,F,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
