match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialLost,aerialWon,duelLost,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,dispossessed,totalContest,wonContest,totalTackle,wonTackle,unsuccessfulTouch,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,shotOffTarget,outfielderBlock,interceptionWon,keyPass,shotValueNormalized,clearanceOffLine,wasFouled,challengeLost,onTargetScoringAttempt,goals,bigChanceCreated,blockedScoringAttempt,penaltyWon,bigChanceMissed,penaltyFaced,penaltyConceded,totalOffside,hitWoodwork
14015604,home,282203,FK Železničar Pančevo,267437,Zoran Popović,zoran-popovic,G,1,False,43.0,17.0,33.0,7.0,0.0,12.0,16.0,5.0,27.0,1.0,1.0,1.0,1.0,2.0,13.0,2.0,4.0,7.0,1.0,1.0,90.0,57.0,7.7,26.0,39.82403083172,7.0,0.24233352024667,0.0,0.3277,"{'original': 7.7, 'alternative': 8.1}",0,0.08,-0.04,0.3,0.32,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,39.53488372093023,21.21212121212121,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015604,home,282203,FK Železničar Pančevo,1429959,Uroš Tegeltija,uros-tegeltija,D,19,False,17.0,14.0,,,0.0,7.0,10.0,7.0,7.0,1.0,,5.0,5.0,5.0,4.0,,,,,,90.0,48.0,7.3,13.0,180.54813379897,13.0,67.817579454129,2.0,,"{'original': 7.3, 'alternative': 7}",0,0.33,0.26,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,5,4,82.35294117647058,,33.33333333333333,75.0,,3.0,1.0,1.0,4.0,3.0,2.0,2.0,3.0,2.0,22.783115593561,40.331415375422,,,,,,,,,,,,,,,,,,
14015604,home,282203,FK Železničar Pančevo,1001880,Mirko Milikić,mirko-milikic,D,6,False,45.0,38.0,13.0,11.0,0.0,16.0,18.0,22.0,27.0,3.0,4.0,4.0,5.0,6.0,4.0,,,,,,90.0,62.0,8.1,7.0,92.375124503925,13.0,21.764182184668,0.0,,"{'original': 8.1, 'alternative': 7.7}",2,0.44,0.04,0.78,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,7,2,1,1,84.44444444444444,84.61538461538461,,,,,,,,,1.0,1.0,,1.0,,,2.0,2.0,1.0,1.0,-0.29,,,,,,,,,,,,,
14015604,home,282203,FK Železničar Pančevo,1146281,Nemanja Vidojević,nemanja-vidojevic,D,5,False,52.0,44.0,7.0,3.0,0.0,35.0,36.0,9.0,16.0,1.0,1.0,1.0,3.0,4.0,1.0,,,,,,90.0,63.0,7.5,9.0,118.87065877483,15.0,6.0846185543204,0.0,,"{'original': 7.5, 'alternative': 7.6}",0,0.13,0.03,0.5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,2,0,84.61538461538461,42.857142857142854,,,,,,,,,1.0,,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,
14015604,home,282203,FK Železničar Pančevo,1017661,Marko Konatar,marko-konatar,D,3,False,31.0,23.0,4.0,,0.0,14.0,18.0,9.0,13.0,,1.0,,1.0,2.0,3.0,,,,,,90.0,47.0,6.7,13.0,52.564853034837,8.0,-14.534134549225,0.0,,"{'original': 6.7, 'alternative': 6.8}",0,0.01,0.02,0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,74.19354838709677,,,,,,,,,,,,2.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,
14015604,home,282203,FK Železničar Pančevo,1146227,Stefan Pirgić,stefan-pirgic,M,18,False,18.0,14.0,2.0,,0.0,11.0,13.0,3.0,5.0,1.0,,4.0,2.0,3.0,3.0,,,,,,90.0,28.0,7.1,7.0,29.71502857567,4.0,17.214354107766,0.0,,"{'original': 7.1, 'alternative': 6.8}",1,0.01,0.16,0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,77.77777777777779,,,,,,,,,,2.0,,3.0,2.0,,,,,,,0.32,,,1.0,1.0,1.0,,,,,,,,
14015604,home,282203,FK Železničar Pančevo,2239937,Simão Pedro,simao-pedro,M,10,False,18.0,15.0,2.0,,1.0,2.0,3.0,13.0,15.0,3.0,,9.0,3.0,,1.0,,,,,,79.0,43.0,7.3,19.0,170.63941501276,14.0,51.896050071398,2.0,,"{'original': 7.3, 'alternative': 7}",1,0.54,0.42,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,3,6,83.33333333333334,,25.0,33.33333333333333,,4.0,1.0,4.0,3.0,1.0,2.0,2.0,7.0,,21.964548560869,39.008061615322,,,2.0,2.0,0.0,,,,1.0,,2.0,,,,,,,
14015604,home,282203,FK Železničar Pančevo,1513253,Clement Lhernault,clement-lhernault,M,88,False,30.0,27.0,1.0,1.0,0.0,12.0,12.0,15.0,18.0,1.0,,4.0,3.0,,4.0,,,,,,63.0,42.0,6.8,9.0,58.107180183758,8.0,-20.03147275715,0.0,,"{'original': 6.8, 'alternative': 6.6}",0,0.27,0.04,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,90.0,100.0,,50.0,,3.0,,,2.0,1.0,1.0,1.0,2.0,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,
14015604,home,282203,FK Železničar Pančevo,1007254,Branislav Knežević,branislav-knezevic,M,21,False,14.0,10.0,1.0,1.0,0.0,5.0,8.0,5.0,6.0,2.0,,4.0,2.0,1.0,2.0,,,,,,87.0,24.0,6.7,6.0,29.309046266766,5.0,3.3852257248369,0.0,,"{'original': 6.7, 'alternative': 6.7}",2,0.11,0.05,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,71.42857142857143,100.0,,,,,,,,,,,2.0,1.0,,,,,,1.0,-0.05,,2.0,1.0,,,1.0,2.0,,,,,,
14015604,home,282203,FK Železničar Pančevo,1013994,Sylvester Jasper,jasper-sylvester,M,27,False,19.0,17.0,,,0.0,5.0,5.0,12.0,14.0,2.0,1.0,2.0,5.0,,1.0,,,,,,80.0,31.0,7.5,6.0,61.663381512441,8.0,-10.366630434241,0.0,,"{'original': 7.5, 'alternative': 7.5}",0,0.4,-0.51,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,4,0,89.47368421052632,,50.0,100.0,,4.0,2.0,,1.0,1.0,,,2.0,,,,,,1.0,1.0,,,3.0,,,,,,1.0,,,,,
