match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalClearance,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,challengeLost,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,keyPass,lastManTackle,outfielderBlock,accurateCross,dispossessed,totalContest,wonContest,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,goals,shotValueNormalized,totalOffside,bigChanceCreated,bigChanceMissed
14015496,home,282203,FK Železničar Pančevo,267437,Zoran Popović,zoran-popovic,G,1,False,34.0,19.0,21.0,6.0,0.0,16.0,23.0,3.0,11.0,1.0,4.0,10.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,90.0,45.0,7.1,15.0,0.4594,"{'original': 7.1, 'alternative': 7.4}",0,-0.04,-0.03,0.2,0.4,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,55.88235294117647,28.57142857142857,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
14015496,home,282203,FK Železničar Pančevo,1017661,Marko Konatar,marko-konatar,D,3,False,39.0,31.0,5.0,1.0,0.0,20.0,21.0,11.0,18.0,5.0,6.0,2.0,,,,,,,,90.0,63.0,6.8,13.0,,"{'original': 6.8, 'alternative': 7.1}",0,-0.15,0.14,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,5,7,3,4,79.48717948717949,20.0,,,,1.0,3.0,2.0,7.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,
14015496,home,282203,FK Železničar Pančevo,1425301,Nikola Zečević,nikola-zecevic,D,4,False,57.0,46.0,8.0,,0.0,39.0,43.0,7.0,14.0,2.0,5.0,5.0,,,,,,,,90.0,64.0,6.7,11.0,,"{'original': 6.7, 'alternative': 6.8}",0,0.02,0.04,0.71,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,1,0,80.7017543859649,,,,,,2.0,1.0,2.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,
14015496,home,282203,FK Železničar Pančevo,1001880,Mirko Milikić,mirko-milikic,D,6,False,70.0,57.0,11.0,3.0,0.0,43.0,44.0,14.0,26.0,10.0,13.0,4.0,2.0,,,,,,,90.0,93.0,7.3,13.0,,"{'original': 7.3, 'alternative': 7.5}",0,0.13,0.25,0.67,,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,12,6,2,4,81.42857142857143,27.27272727272727,,,,,4.0,8.0,8.0,,,,,,4.0,,,3.0,,,,,,,,,,,,
14015496,home,282203,FK Železničar Pančevo,1466631,Nikola Đuričić,nikola-duricic,D,33,False,58.0,54.0,4.0,3.0,0.0,32.0,32.0,22.0,26.0,1.0,2.0,4.0,,,,,,,,80.0,78.0,6.9,9.0,,"{'original': 6.9, 'alternative': 7.1}",0,0.24,0.08,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,4,1,0,1,93.10344827586206,75.0,50.0,,,2.0,3.0,1.0,4.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,
14015496,home,282203,FK Železničar Pančevo,1146227,Stefan Pirgić,stefan-pirgic,M,18,False,55.0,49.0,5.0,2.0,1.0,34.0,35.0,15.0,20.0,4.0,1.0,2.0,1.0,,,,,,,90.0,71.0,7.2,10.0,,"{'original': 7.2, 'alternative': 7.6}",0,0.34,0.11,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,4,4,89.0909090909091,40.0,,,,,2.0,,6.0,1.0,4.0,3.0,2.0,2.0,1.0,2.0,,1.0,,2.0,,,,,,,,,,
14015496,home,282203,FK Železničar Pančevo,1417509,Aleksa Kuljanin,aleksa-kuljanin,M,13,False,10.0,5.0,1.0,,0.0,3.0,5.0,2.0,5.0,3.0,1.0,,1.0,,,,,,,69.0,23.0,7.8,10.0,,"{'original': 7.8, 'alternative': 7.4}",3,0.04,0.09,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,3,1,50.0,,33.33333333333333,100.0,,3.0,1.0,,2.0,,,,,2.0,,1.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.52,,,
14015496,home,282203,FK Železničar Pančevo,1007254,Branislav Knežević,branislav-knezevic,M,21,False,34.0,31.0,2.0,1.0,0.0,15.0,17.0,16.0,17.0,3.0,1.0,2.0,1.0,,,,,,,90.0,41.0,7.0,6.0,,"{'original': 7, 'alternative': 6.8}",0,0.15,0.09,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,1,2,91.17647058823529,50.0,,,,,1.0,2.0,3.0,,,,,2.0,1.0,1.0,,,,1.0,,,,,,,,,,
14015496,home,2207,FK Železničar Pančevo,1121629,Dario Grgić,dario-grgic,M,10,False,30.0,23.0,4.0,2.0,0.0,9.0,13.0,14.0,17.0,4.0,2.0,4.0,2.0,,,,,,,69.0,40.0,6.8,9.0,,"{'original': 6.8, 'alternative': 6.8}",1,-0.13,0.04,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,4,2,76.66666666666667,50.0,,,,1.0,,,2.0,1.0,,2.0,1.0,,1.0,,,,,,,,,,1.0,,-0.13,1.0,,
14015496,home,5403,FK Železničar Pančevo,876873,Stefan Cvetković,stefan-cvetkovic,M,11,False,17.0,12.0,5.0,4.0,0.0,3.0,5.0,9.0,12.0,,,4.0,,,,,,,,63.0,24.0,6.6,11.0,,"{'original': 6.6, 'alternative': 6.7}",0,-0.12,0.06,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,70.58823529411765,80.0,,,,5.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,
