match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,interceptionWon,dispossessed,keyPass,bigChanceMissed,blockedScoringAttempt,bigChanceCreated,hitWoodwork,penaltyMiss,penaltyWon,penaltyConceded
15558703,home,5143,FK Budućnost Podgorica,55655,Milan Mijatović,milan-mijatovic,G,1,False,24.0,23.0,8.0,7.0,0.0,18.0,18.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,90.0,27.0,7.5,3.0,0.0,0.0,"{'original': 7.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,95.83333333333334,87.5,,,0.0,,,,,,,,,,,
15558703,home,5143,FK Budućnost Podgorica,138935,Momčilo Raspopović,momcilo-raspopovic,D,20,False,42.0,30.0,6.0,1.0,0.0,6.0,9.0,20.0,27.0,4.0,3.0,5.0,2.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,,,,,,,90.0,58.0,7.3,18.0,0.0,0.0,"{'original': 7.3, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,7,14,4,10,71.42857142857143,16.666666666666664,75.0,,,1.0,4.0,,,,,,,,,
15558703,home,5143,FK Budućnost Podgorica,1085082,Damjan Dakić,damjan-dakic,D,35,False,68.0,67.0,2.0,2.0,0.0,36.0,36.0,30.0,31.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,83.0,7.2,2.0,0.0,0.04,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,98.52941176470588,100.0,,,,,1.0,1.0,1.0,,,,,,,
15558703,home,5143,FK Budućnost Podgorica,792102,Ilya Serikov,ilya-serikov,D,5,False,63.0,63.0,3.0,3.0,0.0,39.0,39.0,18.0,18.0,0.0,0.0,1.0,2.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,,,,,,,90.0,78.0,7.1,1.0,0.31,0.01,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,2,6,100.0,100.0,,,,1.0,4.0,1.0,1.0,1.0,,,,,,
15558703,home,5143,FK Budućnost Podgorica,1000577,Andrej Pupović,andrej-pupovic,D,32,False,47.0,34.0,2.0,1.0,0.0,14.0,22.0,20.0,25.0,7.0,1.0,2.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,,,,,,,90.0,54.0,6.6,11.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,2,6,72.3404255319149,50.0,14.285714285714285,,,1.0,,1.0,,,,,,,,
15558703,home,5143,FK Budućnost Podgorica,287757,Milan Vušurović,milan-vusurovic,M,17,False,75.0,64.0,4.0,1.0,0.0,23.0,24.0,37.0,46.0,4.0,1.0,0.0,0.0,4.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,90.0,100.0,7.2,12.0,0.01,0.0,"{'original': 7.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,6,4,85.33333333333334,25.0,25.0,100.0,,,3.0,1.0,,,1.0,,,,,
15558703,home,5143,FK Budućnost Podgorica,1016595,Ivan Bojović,ivan-bojovic,M,77,False,28.0,20.0,1.0,1.0,0.0,3.0,4.0,17.0,24.0,11.0,4.0,4.0,1.0,8.0,4.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,76.0,45.0,7.7,11.0,0.29,0.32,"{'original': 7.7, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,5,7,3,4,71.42857142857143,100.0,36.36363636363637,75.0,,2.0,,1.0,2.0,,,1.0,,,,
15558703,home,5143,FK Budućnost Podgorica,1086387,Nemanja Nikolić,nemanja-nikolic,M,9,False,48.0,39.0,5.0,3.0,0.0,10.0,11.0,29.0,37.0,1.0,1.0,2.0,1.0,15.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,,,,,,,89.0,65.0,6.7,12.0,0.77,0.0,"{'original': 6.7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,3,15,2,13,81.25,60.0,100.0,,,2.0,,2.0,,,,,1.0,1.0,,
15558703,home,5143,FK Budućnost Podgorica,1423515,Danilo Vukanić,danilo-vukanic,M,44,False,27.0,24.0,2.0,2.0,0.0,4.0,5.0,19.0,21.0,0.0,0.0,0.0,1.0,6.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,65.0,42.0,6.9,6.0,0.28,0.19,"{'original': 6.9, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,3,6,88.88888888888889,100.0,,0.0,,,1.0,,1.0,,1.0,,,,,
15558703,home,5143,FK Budućnost Podgorica,858877,Mihajlo Nešković,mihajlo-neskovic,M,92,False,25.0,15.0,3.0,1.0,0.0,1.0,2.0,14.0,23.0,6.0,0.0,0.0,0.0,5.0,5.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,,,,,,,65.0,41.0,7.5,11.0,0.04,0.08,"{'original': 7.5, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,5,5,60.0,33.33333333333333,0.0,75.0,,,,,2.0,,1.0,,,,,
