player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType,xgot
"{'name': 'Strahinja Tešović', 'firstName': 'Strahinja Tesovic', 'slug': 'strahinja-tesovic', 'shortName': 'S. Tešović', 'position': 'M', 'jerseyNumber': '32', 'userCount': 65, 'gender': 'M', 'id': 1218114, 'fieldTranslations': {'nameTranslation': {'ar': 'ستراهيجنا تيشوفيتش'}, 'shortNameTranslation': {'ar': 'س. تيشوفيتش'}}}",False,miss,corner,"{'x': 23, 'y': 25, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 52.9, 'z': 47.5}",0.01153,7037773,90,2.0,5479,"{'start': {'x': 25, 'y': 23}, 'end': {'x': 47.1, 'y': 0}, 'goal': {'x': 47.1, 'y': 52.5}}",1,821,79,shot,,,
"{'name': 'Savo Arambašić', 'slug': 'savo-arambasic', 'shortName': 'S. Arambašić', 'position': 'M', 'jerseyNumber': '17', 'userCount': 28, 'gender': 'M', 'id': 1046042, 'fieldTranslations': {'nameTranslation': {'ar': 'سافو أرامباشيتش'}, 'shortNameTranslation': {'ar': 'س. أرامباشيتش'}}}",False,block,regular,"{'x': 28, 'y': 40, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.006104,7037772,90,1.0,5415,"{'start': {'x': 40, 'y': 28}, 'block': {'x': 40, 'y': 28}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",1,885,15,shot,"{'x': 28, 'y': 40, 'z': 0}",,
"{'name': 'Marko Milickovic', 'slug': 'marko-milickovic', 'shortName': 'M. Milickovic', 'position': 'M', 'jerseyNumber': '10', 'userCount': 30, 'gender': 'M', 'id': 890615, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو ميليكوفيتش', 'bn': 'মার্কো মিলিকোভিচ', 'hi': 'मार्को मिलिकोविच'}, 'shortNameTranslation': {'ar': 'م. ميليكوفيتش', 'bn': 'এম. মিলিকোভিচ', 'hi': 'एम. मिलिकोविच'}}}",True,miss,free-kick,"{'x': 29, 'y': 55, 'z': 0}",right-foot,close-high-left,"{'x': 0, 'y': 56.9, 'z': 45.8}",0.001168,7037776,88,,5267,"{'start': {'x': 55, 'y': 29}, 'end': {'x': 43.1, 'y': 0}, 'goal': {'x': 43.1, 'y': 54.2}}",3,133,2567,shot,,,
"{'name': 'Igor Ivanović', 'slug': 'igor-ivanovic', 'shortName': 'I. Ivanović', 'position': 'M', 'userCount': 18, 'gender': 'M', 'id': 128761, 'fieldTranslations': {'nameTranslation': {'ar': 'إيغور إيفانوفيتش', 'bn': 'ইগর ইভানোভিচ', 'hi': 'इगोर इवानोविक'}, 'shortNameTranslation': {'ar': 'إ. إيفانوفيتش', 'bn': 'আই. ইভানোভিচ', 'hi': 'आई. इवानोविक'}}}",True,goal,corner,"{'x': 5, 'y': 44, 'z': 0}",head,high-right,"{'x': 0, 'y': 46.5, 'z': 29.5}",0.2562,7037771,86,,5143,"{'start': {'x': 44, 'y': 5}, 'end': {'x': 53.5, 'y': 0}, 'goal': {'x': 53.5, 'y': 70.5}}",5,257,2443,shot,,regular,0.7385
"{'name': 'Savo Arambašić', 'slug': 'savo-arambasic', 'shortName': 'S. Arambašić', 'position': 'M', 'jerseyNumber': '17', 'userCount': 28, 'gender': 'M', 'id': 1046042, 'fieldTranslations': {'nameTranslation': {'ar': 'سافو أرامباشيتش'}, 'shortNameTranslation': {'ar': 'س. أرامباشيتش'}}}",False,miss,set-piece,"{'x': 7, 'y': 51, 'z': 0}",head,close-high-right,"{'x': 0, 'y': 41, 'z': 59}",0.2186,7037770,84,,5027,"{'start': {'x': 51, 'y': 7}, 'end': {'x': 59, 'y': 0}, 'goal': {'x': 59, 'y': 41}}",7,373,2327,shot,,,
"{'name': 'Nemanja Carević', 'firstName': 'Nemanja Carevic', 'lastName': '', 'slug': 'nemanja-carevic', 'shortName': 'N. Carević', 'position': 'M', 'jerseyNumber': '21', 'userCount': 8, 'gender': 'M', 'id': 1381384, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا كاريتش'}, 'shortNameTranslation': {'ar': 'ن. كاريتش'}}}",False,miss,regular,"{'x': 20, 'y': 33, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 43.9, 'z': 58.7}",0.006169,7037769,81,,4815,"{'start': {'x': 33, 'y': 20}, 'end': {'x': 56.1, 'y': 0}, 'goal': {'x': 56.1, 'y': 41.3}}",10,585,2115,shot,,,
"{'name': 'Nemanja Nikolić', 'firstName': 'Nemanja Nikolic', 'lastName': '', 'slug': 'nemanja-nikolic', 'shortName': 'N. Nikolić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 339, 'gender': 'M', 'id': 1086387, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانيا نيكوليتش', 'bn': 'নেমাঞ্জা নিকোলিচ', 'hi': 'नेमांजा निकोलिक'}, 'shortNameTranslation': {'ar': 'ن. نيكوليتش', 'bn': 'এন. নিকোলিচ', 'hi': 'एन. निकोलिक'}}}",True,post,penalty,"{'x': 10, 'y': 50, 'z': 0}",right-foot,right,"{'x': 0, 'y': 44.3, 'z': 17.9}",0.76,7037774,80,,4749,"{'start': {'x': 50, 'y': 10}, 'end': {'x': 55.7, 'y': 0}, 'goal': {'x': 55.7, 'y': 82.1}}",11,651,2049,shot,,,
"{'name': 'Žarko Popović', 'firstName': '', 'lastName': '', 'slug': 'zarko-popovic', 'shortName': 'Ž. Popović', 'position': 'M', 'jerseyNumber': '4', 'userCount': 7, 'gender': 'M', 'id': 1030468, 'fieldTranslations': {'nameTranslation': {'ar': 'زاركو بوبوفيتش'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش'}}}",False,miss,throw-in-set-piece,"{'x': 26, 'y': 31, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 41.7, 'z': 43.7}",0.0008033,7037768,77,,4578,"{'start': {'x': 31, 'y': 26}, 'end': {'x': 58.3, 'y': 0}, 'goal': {'x': 58.3, 'y': 56.3}}",14,822,1878,shot,,,
"{'name': 'Savo Arambašić', 'slug': 'savo-arambasic', 'shortName': 'S. Arambašić', 'position': 'M', 'jerseyNumber': '17', 'userCount': 28, 'gender': 'M', 'id': 1046042, 'fieldTranslations': {'nameTranslation': {'ar': 'سافو أرامباشيتش'}, 'shortNameTranslation': {'ar': 'س. أرامباشيتش'}}}",False,save,regular,"{'x': 7, 'y': 65, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 48.9, 'z': 21.2}",0.07479,7037767,74,,4407,"{'start': {'x': 65, 'y': 7}, 'end': {'x': 51.1, 'y': 0}, 'goal': {'x': 51.1, 'y': 78.8}}",17,993,1707,shot,,,0.09598
"{'name': 'Nikola Medojevic', 'firstName': 'Nikola Medojevic', 'slug': 'nikola-medojevic', 'shortName': 'N. Medojevic', 'position': 'M', 'jerseyNumber': '8', 'userCount': 83, 'gender': 'M', 'id': 1513752, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا ميدوجيفيتش'}, 'shortNameTranslation': {'ar': 'ن. ميدوجيفيتش'}}}",True,save,regular,"{'x': 10, 'y': 34, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.3, 'z': 11.6}",0.09389,7037766,73,,4371,"{'start': {'x': 34, 'y': 10}, 'end': {'x': 47.7, 'y': 0}, 'goal': {'x': 47.7, 'y': 88.4}}",18,1029,1671,shot,,,0.1756
"{'name': 'Nemanja Carević', 'firstName': 'Nemanja Carevic', 'lastName': '', 'slug': 'nemanja-carevic', 'shortName': 'N. Carević', 'position': 'M', 'jerseyNumber': '21', 'userCount': 8, 'gender': 'M', 'id': 1381384, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا كاريتش'}, 'shortNameTranslation': {'ar': 'ن. كاريتش'}}}",False,miss,corner,"{'x': 8, 'y': 39, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 43.7, 'z': 34.4}",0.09989,7037765,64,,3813,"{'start': {'x': 39, 'y': 8}, 'end': {'x': 56.3, 'y': 0}, 'goal': {'x': 56.3, 'y': 65.6}}",27,1587,1113,shot,,,
"{'name': 'Marko Franeta', 'slug': 'marko-franeta', 'shortName': 'M. Franeta', 'position': 'D', 'jerseyNumber': '13', 'userCount': 16, 'gender': 'M', 'id': 1484679, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو فرانيتا'}, 'shortNameTranslation': {'ar': 'م. فرانيتا'}}}",False,miss,set-piece,"{'x': 10, 'y': 57, 'z': 0}",head,close-high,"{'x': 0, 'y': 52.3, 'z': 56.9}",0.1002,7037764,60,,3583,"{'start': {'x': 57, 'y': 10}, 'end': {'x': 47.7, 'y': 0}, 'goal': {'x': 47.7, 'y': 43.1}}",31,1817,883,shot,,,
"{'name': 'Ivan Bojović', 'slug': 'ivan-bojovic', 'shortName': 'I. Bojović', 'position': 'M', 'jerseyNumber': '77', 'userCount': 17, 'gender': 'M', 'id': 1016595, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفان بويوفيتش', 'bn': 'ইভান বোজোভিচ', 'hi': 'इवान बोजोविक'}, 'shortNameTranslation': {'ar': 'إ. بويوفيتش', 'bn': 'আই. বোজোভিচ', 'hi': 'आई. बोजोविक'}}}",True,miss,regular,"{'x': 9, 'y': 69, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 55.9, 'z': 0.3}",0.1858,7037763,51,,3014,"{'start': {'x': 69, 'y': 9}, 'end': {'x': 44.1, 'y': 0}, 'goal': {'x': 44.1, 'y': 99.7}}",40,2386,314,shot,,,
"{'name': 'Danilo Vukanić', 'slug': 'danilo-vukanic', 'shortName': 'D. Vukanić', 'position': 'M', 'jerseyNumber': '44', 'userCount': 55, 'gender': 'M', 'id': 1423515, 'fieldTranslations': {'nameTranslation': {'ar': 'دانييلو فوكانيتش'}, 'shortNameTranslation': {'ar': 'د. فوكانيتش'}}}",True,save,regular,"{'x': 14, 'y': 49, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.6, 'z': 4.1}",0.2704,7037762,49,,2919,"{'start': {'x': 49, 'y': 14}, 'end': {'x': 49.4, 'y': 0}, 'goal': {'x': 49.4, 'y': 95.9}}",42,2481,219,shot,,,0.2421
