match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalOppositionHalfPasses,interceptionWon,shotOffTarget,keyPass,dispossessed,bigChanceCreated,blockedScoringAttempt,bigChanceMissed,savedShotsFromInsideTheBox
14147302,home,36019,FK Mornar Bar,856483,Balša Sekulić,balsa-sekulic,F,9,False,19.0,11.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,10.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,,,,83.0,37.0,7.3,11.0,2.03,0.0,"{'original': 7.3, 'alternative': None}",5.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,3,8,57.89473684210527,,,,,7.0,15.0,,2.0,,,,,1.0,
14147302,home,405944,FK Mornar Bar,839270,Luka Malešević,luka-malesevic,D,6,True,14.0,10.0,1.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,2.0,3.0,4.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,29.0,20.0,6.8,4.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,71.42857142857143,0.0,66.66666666666666,50.0,,5.0,8.0,1.0,,,,,,,
14147302,home,36019,FK Mornar Bar,154655,Darko Zorić,darko-zoric,M,18,True,16.0,14.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,,,,,,29.0,21.0,6.7,2.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,87.5,,0.0,,,12.0,13.0,,,,,,,,
14147302,home,7727,FK Mornar Bar,1112732,Bojan Pavićević,bojan-pavicevic,M,97,True,11.0,7.0,1.0,0.0,0.0,,,0.0,0.0,2.0,1.0,6.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,,,,,29.0,22.0,6.8,7.0,0.0,0.13,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,3,4,63.63636363636363,0.0,,50.0,,7.0,11.0,,,2.0,1.0,,,,
14147302,home,36019,FK Mornar Bar,1484678,Vukas Dragović,vukas-dragovic,M,99,True,8.0,7.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,22.0,14.0,6.5,4.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,87.5,,,,,7.0,8.0,,,,1.0,,,,
14147302,home,36019,FK Mornar Bar,941133,Petar Vukčević,petar-vukcevic,M,19,True,5.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,,,,7.0,10.0,6.8,0.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,3,3,80.0,100.0,,100.0,,3.0,3.0,,,,,,,,
14147302,home,36019,FK Mornar Bar,1498808,Vasilije Stojanović,vasilije-stojanovic,G,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
14147302,home,36019,FK Mornar Bar,226224,Filip Mitrović,filip-mitrovic,D,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
14147302,home,36019,FK Mornar Bar,1005622,Jovan Dašić,jovan-dasic,M,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
14147302,home,6219,FK Mornar Bar,1030476,Alden Škrijelj,alden-skrijelj,M,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
