player,isHome,shotType,goalType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates
"{'name': 'Bogdan Petrović', 'firstName': 'Bogdan Petrovic', 'slug': 'bogdan-petrovic', 'shortName': 'B. Petrović', 'position': 'F', 'jerseyNumber': '9', 'userCount': 62, 'gender': 'M', 'id': 1586205, 'fieldTranslations': {'nameTranslation': {'ar': 'بودغدان بتروفيتش'}, 'shortNameTranslation': {'ar': 'ب. بتروفيتش'}}}",True,goal,regular,assisted,"{'x': 8.1, 'y': 64, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 54.4, 'z': 2.5}",5657556,85,5058,"{'start': {'x': 64, 'y': 8.1}, 'end': {'x': 45.6, 'y': 0}, 'goal': {'x': 45.6, 'y': 97.5}}",6,342,2358,shot,
"{'name': 'Andrej Todoroski', 'firstName': '', 'lastName': '', 'slug': 'andrej-todoroski', 'shortName': 'A. Todoroski', 'position': 'M', 'jerseyNumber': '10', 'userCount': 89, 'gender': 'M', 'id': 888023, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريه تودوروسكي'}, 'shortNameTranslation': {'ar': 'أ. تودوروسكي'}}}",True,miss,,corner,"{'x': 4.8, 'y': 55.1, 'z': 0}",head,high,"{'x': 0, 'y': 51.1, 'z': 77.8}",5657543,83,4946,"{'start': {'x': 55.1, 'y': 4.8}, 'end': {'x': 48.9, 'y': 0}, 'goal': {'x': 48.9, 'y': 22.2}}",8,454,2246,shot,
"{'name': 'Bogdan Petrović', 'firstName': 'Bogdan Petrovic', 'slug': 'bogdan-petrovic', 'shortName': 'B. Petrović', 'position': 'F', 'jerseyNumber': '9', 'userCount': 62, 'gender': 'M', 'id': 1586205, 'fieldTranslations': {'nameTranslation': {'ar': 'بودغدان بتروفيتش'}, 'shortNameTranslation': {'ar': 'ب. بتروفيتش'}}}",True,miss,,assisted,"{'x': 7.3, 'y': 53.8, 'z': 0}",head,high-right,"{'x': 0, 'y': 31.3, 'z': 59.7}",5657518,80,4798,"{'start': {'x': 53.8, 'y': 7.3}, 'end': {'x': 68.7, 'y': 0}, 'goal': {'x': 68.7, 'y': 40.3}}",11,602,2098,shot,
"{'name': 'Uroš Sremčević', 'slug': 'uros-sremcevic', 'shortName': 'U. Sremčević', 'position': 'F', 'jerseyNumber': '17', 'userCount': 1585, 'gender': 'M', 'id': 1166063, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروش سريمشيفيتش'}, 'shortNameTranslation': {'ar': 'أ. سريمشيفيتش'}}}",False,miss,,assisted,"{'x': 6.6, 'y': 56.2, 'z': 0}",head,close-left,"{'x': 0, 'y': 58.8, 'z': 25}",5657386,76,4517,"{'start': {'x': 56.2, 'y': 6.6}, 'end': {'x': 41.2, 'y': 0}, 'goal': {'x': 41.2, 'y': 75}}",15,883,1817,shot,
"{'name': 'Nemanja Milojević', 'firstName': '', 'lastName': '', 'slug': 'nemanja-milojevic', 'shortName': 'N. Milojević', 'position': 'M', 'jerseyNumber': '38', 'userCount': 65, 'gender': 'M', 'id': 837894, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا ميلوجيفيتش'}, 'shortNameTranslation': {'ar': 'ن. ميلوجيفيتش'}}}",False,save,,assisted,"{'x': 28.1, 'y': 45.6, 'z': 0}",left-foot,high-right,"{'x': 0, 'y': 47.9, 'z': 20.3}",5657736,73,4345,"{'start': {'x': 45.6, 'y': 28.1}, 'block': {'x': 50.5, 'y': 2.7}, 'end': {'x': 52.1, 'y': 0}, 'goal': {'x': 52.1, 'y': 79.7}}",18,1055,1645,shot,"{'x': 2.7, 'y': 50.5, 'z': 0}"
"{'name': 'Filip Žunić', 'firstName': '', 'lastName': '', 'slug': 'filip-zunic', 'shortName': 'F. Žunić', 'position': 'M', 'jerseyNumber': '18', 'userCount': 10, 'gender': 'M', 'id': 1030454, 'fieldTranslations': {'nameTranslation': {'ar': 'فيليب زونيش'}, 'shortNameTranslation': {'ar': 'ف. زونيش'}}}",False,save,,fast-break,"{'x': 8.2, 'y': 31.3, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 52.5, 'z': 20.3}",5657350,73,4342,"{'start': {'x': 31.3, 'y': 8.2}, 'block': {'x': 45.8, 'y': 1.4}, 'end': {'x': 47.5, 'y': 0}, 'goal': {'x': 47.5, 'y': 79.7}}",18,1058,1642,shot,"{'x': 1.4, 'y': 45.8, 'z': 0}"
"{'name': 'Andrej Todoroski', 'firstName': '', 'lastName': '', 'slug': 'andrej-todoroski', 'shortName': 'A. Todoroski', 'position': 'M', 'jerseyNumber': '10', 'userCount': 89, 'gender': 'M', 'id': 888023, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريه تودوروسكي'}, 'shortNameTranslation': {'ar': 'أ. تودوروسكي'}}}",True,block,,regular,"{'x': 19.8, 'y': 62.8, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 48.5, 'z': 19}",5657370,72,4300,"{'start': {'x': 62.8, 'y': 19.8}, 'block': {'x': 56.1, 'y': 10.7}, 'end': {'x': 51.5, 'y': 0}, 'goal': {'x': 51.5, 'y': 81}}",19,1100,1600,shot,"{'x': 10.7, 'y': 56.1, 'z': 0}"
"{'name': 'Bogdan Petrović', 'firstName': 'Bogdan Petrovic', 'slug': 'bogdan-petrovic', 'shortName': 'B. Petrović', 'position': 'F', 'jerseyNumber': '9', 'userCount': 62, 'gender': 'M', 'id': 1586205, 'fieldTranslations': {'nameTranslation': {'ar': 'بودغدان بتروفيتش'}, 'shortNameTranslation': {'ar': 'ب. بتروفيتش'}}}",True,post,,fast-break,"{'x': 17.2, 'y': 63, 'z': 0}",left-foot,high,"{'x': 0, 'y': 53.7, 'z': 40.5}",5657210,64,3835,"{'start': {'x': 63, 'y': 17.2}, 'end': {'x': 46.3, 'y': 0}, 'goal': {'x': 46.3, 'y': 59.5}}",27,1565,1135,shot,
"{'name': 'Bojan Dimoski', 'slug': 'bojan-dimoski', 'shortName': 'B. Dimoski', 'position': 'D', 'jerseyNumber': '20', 'userCount': 146, 'gender': 'M', 'id': 1005774, 'fieldTranslations': {'nameTranslation': {'ar': 'بويان ديموسكي', 'bn': 'বোজান ডিমোস্কি', 'hi': 'बोजन डिमोस्की'}, 'shortNameTranslation': {'ar': 'ب. ديموسكي', 'bn': 'বি. ডিমোস্কি', 'hi': 'बी. डिमोस्की'}}}",True,block,,assisted,"{'x': 28, 'y': 42.7, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.9, 'z': 19}",5657201,62,3716,"{'start': {'x': 42.7, 'y': 28}, 'block': {'x': 45.1, 'y': 17.5}, 'end': {'x': 49.1, 'y': 0}, 'goal': {'x': 49.1, 'y': 81}}",29,1684,1016,shot,"{'x': 17.5, 'y': 45.1, 'z': 0}"
"{'name': 'Branko Jovičić', 'slug': 'branko-jovicic', 'shortName': 'B. Jovičić', 'position': 'M', 'jerseyNumber': '18', 'userCount': 110, 'gender': 'M', 'id': 220231, 'fieldTranslations': {'nameTranslation': {'ar': 'برانكو يوفيتشيتش', 'bn': 'ব্রাঙ্কো জোভিসিক', 'hi': 'ब्रांको जोविकिक'}, 'shortNameTranslation': {'ar': 'ب. يوفيتشيتش', 'bn': 'বি. জোভিসিচ', 'hi': 'बी. जोविकिक'}}}",True,save,,assisted,"{'x': 22.4, 'y': 30.9, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.2, 'z': 17.1}",5657103,59,3500,"{'start': {'x': 30.9, 'y': 22.4}, 'block': {'x': 48.2, 'y': 2.3}, 'end': {'x': 48.8, 'y': 0}, 'goal': {'x': 48.8, 'y': 82.9}}",32,1900,800,shot,"{'x': 2.3, 'y': 48.2, 'z': 0}"
"{'name': 'Szabolcs Mezei', 'firstName': '', 'lastName': '', 'slug': 'szabolcs-mezei', 'shortName': 'S. Mezei', 'position': 'M', 'jerseyNumber': '26', 'userCount': 116, 'gender': 'M', 'id': 947036, 'fieldTranslations': {'nameTranslation': {'ar': 'سابولتش ميزاي'}, 'shortNameTranslation': {'ar': 'س. ميزاي'}}}",True,save,,assisted,"{'x': 30.9, 'y': 42.2, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 47.8, 'z': 4.4}",5657088,58,3445,"{'start': {'x': 42.2, 'y': 30.9}, 'block': {'x': 49.1, 'y': 1.1}, 'end': {'x': 52.2, 'y': 0}, 'goal': {'x': 52.2, 'y': 95.6}}",33,1955,745,shot,"{'x': 1.1, 'y': 49.1, 'z': 0}"
"{'name': 'Andrej Todoroski', 'firstName': '', 'lastName': '', 'slug': 'andrej-todoroski', 'shortName': 'A. Todoroski', 'position': 'M', 'jerseyNumber': '10', 'userCount': 89, 'gender': 'M', 'id': 888023, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريه تودوروسكي'}, 'shortNameTranslation': {'ar': 'أ. تودوروسكي'}}}",True,save,,assisted,"{'x': 25.4, 'y': 58.3, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 54.3, 'z': 22.2}",5657064,55,3241,"{'start': {'x': 58.3, 'y': 25.4}, 'block': {'x': 50.2, 'y': 2.3}, 'end': {'x': 45.7, 'y': 0}, 'goal': {'x': 45.7, 'y': 77.8}}",36,2159,541,shot,"{'x': 2.3, 'y': 50.2, 'z': 0}"
"{'name': 'Dragoljub Savić', 'slug': 'dragoljub-savic', 'shortName': 'D. Savić', 'position': 'M', 'jerseyNumber': '21', 'userCount': 54, 'gender': 'M', 'id': 980796, 'fieldTranslations': {'nameTranslation': {'ar': 'دراغوليوب سافيتش', 'bn': 'ড্রাগলজুব স্যাভিক', 'hi': 'ड्रैगोलजुब सैविक'}, 'shortNameTranslation': {'ar': 'د. سافيتش', 'bn': 'ডি. স্যাভিক', 'hi': 'डी. सैविक'}}}",True,block,,assisted,"{'x': 21.5, 'y': 31.2, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.8, 'z': 19}",5657012,49,2905,"{'start': {'x': 31.2, 'y': 21.5}, 'block': {'x': 34.3, 'y': 17.6}, 'end': {'x': 48.2, 'y': 0}, 'goal': {'x': 48.2, 'y': 81}}",42,2495,205,shot,"{'x': 17.6, 'y': 34.3, 'z': 0}"
"{'name': 'Branko Jovičić', 'slug': 'branko-jovicic', 'shortName': 'B. Jovičić', 'position': 'M', 'jerseyNumber': '18', 'userCount': 110, 'gender': 'M', 'id': 220231, 'fieldTranslations': {'nameTranslation': {'ar': 'برانكو يوفيتشيتش', 'bn': 'ব্রাঙ্কো জোভিসিক', 'hi': 'ब्रांको जोविकिक'}, 'shortNameTranslation': {'ar': 'ب. يوفيتشيتش', 'bn': 'বি. জোভিসিচ', 'hi': 'बी. जोविकिक'}}}",True,miss,,assisted,"{'x': 20.8, 'y': 38.5, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 60.8, 'z': 43.1}",5656642,44,2633,"{'start': {'x': 38.5, 'y': 20.8}, 'end': {'x': 39.2, 'y': 0}, 'goal': {'x': 39.2, 'y': 56.9}}",2,67,2633,shot,
