match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,bigChanceCreated,shotOffTarget,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,shotValueNormalized,interceptionWon,dispossessed,blockedScoringAttempt,onTargetScoringAttempt,bigChanceMissed,totalOffside,hitWoodwork,goals,punches
14015456,home,263360,FK TSC Bačka Topola,1586205,Bogdan Petrović,bogdan-petrovic,F,9,False,9.0,8.0,,,0.0,2.0,2.0,6.0,7.0,1.0,3.0,,,,90.0,26.0,7.0,13.0,,"{'original': 7, 'alternative': 7.4}",3,0.06,0.28,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,1,5,88.88888888888889,,,100.0,,,,4.0,,9.0,1.0,,1.0,1.0,,2.0,,,,8.0,,1.0,1.0,0.45,,4.0,,1.0,1.0,,1.0,1.0,
14015456,home,263360,FK TSC Bačka Topola,923865,Vieljeux Prestige Mboungou,vieljeux-prestige-mboungou,F,29,True,8.0,8.0,,,0.0,3.0,3.0,5.0,5.0,,,,,,23.0,15.0,6.6,5.0,,"{'original': 6.6, 'alternative': 6.7}",0,-0.04,0.2,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,100.0,,,,,3.0,,,1.0,1.0,2.0,,,,,,,,,2.0,1.0,1.0,,,1.0,,,,,,,,
14015456,home,7568,FK TSC Bačka Topola,822743,Sarpreet Singh,sarpreet-singh,M,11,True,6.0,4.0,,,0.0,,1.0,4.0,5.0,,2.0,,,,18.0,10.0,6.9,4.0,,"{'original': 6.9, 'alternative': 6.5}",0,0.35,0.01,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,66.66666666666666,,50.0,,,2.0,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,
14015456,home,3398,FK TSC Bačka Topola,155961,Miloš Degenek,milos-degenek,D,32,True,,,,,0.0,,,,,1.0,,,,,1.0,1.0,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015456,home,263360,FK TSC Bačka Topola,1584979,Stefan Mladenović,stefan-mladenovic,M,15,True,1.0,,,,0.0,,1.0,,,,1.0,,,,1.0,3.0,,1.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,
14015456,home,263360,FK TSC Bačka Topola,1893370,Ilja Pantelin,ilja-pantelin,G,19,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015456,home,263360,FK TSC Bačka Topola,1146245,Mihajlo Milosavić,mihajlo-milosavic,M,17,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015456,home,263360,FK TSC Bačka Topola,1406133,Andrej Petrović,andrej-petrovic,M,80,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015456,home,263360,FK TSC Bačka Topola,589100,Saša Jovanović,sasa-jovanovic,F,8,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015456,home,263360,FK TSC Bačka Topola,964814,Nemanja Jorgić,nemanja-jorgic,G,23,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
