match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,duelWon,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,duelLost,bigChanceCreated,shotOffTarget,blockedScoringAttempt,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,keyPass,aerialLost,aerialWon,challengeLost,dispossessed,totalClearance,bigChanceMissed,totalContest,wonContest,totalOffside,onTargetScoringAttempt,goals,hitWoodwork,penaltyFaced,outfielderBlock,penaltyConceded
14015386,home,5149,FK Crvena zvezda,603946,Matheus,matheus,G,1,False,13.0,12.0,3.0,2.0,0.0,12.0,13.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,90.0,19.0,7.3,1.0,"{'original': 7.3, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,92.3076923076923,66.66666666666666,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015386,home,5149,FK Crvena zvezda,1019333,Young-woo Seol,young-woo-seol,D,66,False,44.0,40.0,2.0,1.0,1.0,17.0,19.0,4.0,7.0,3.0,,,,,90.0,68.0,8.1,7.0,"{'original': 8.1, 'alternative': None}",2,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,4,1,90.9090909090909,50.0,33.33333333333333,,,23.0,25.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
14015386,home,60,FK Crvena zvezda,1406130,Veljko Milosavljević,milosavljevic-veljko,D,44,False,91.0,81.0,2.0,,0.0,30.0,34.0,8.0,4.0,1.0,,,,,90.0,101.0,7.2,11.0,"{'original': 7.2, 'alternative': None}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,10,6,2,4,89.01098901098901,,,,,51.0,57.0,,,8.0,,1.0,,1.0,1.0,,,2.0,,4.0,6.0,1.0,1.0,3.0,,,,,,,,,,
14015386,home,5149,FK Crvena zvezda,227224,Miloš Veljković,milos-veljkovic,D,13,False,91.0,87.0,2.0,,0.0,35.0,36.0,3.0,4.0,,,,,,90.0,100.0,7.5,4.0,"{'original': 7.5, 'alternative': None}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,5,1,1,0,95.6043956043956,,,,,52.0,55.0,,,3.0,,1.0,,1.0,1.0,1.0,,,1.0,3.0,2.0,,,4.0,1.0,,,,,,,,,
14015386,home,5149,FK Crvena zvezda,904400,Nair Tiknizyan,nair-tiknizyan,D,23,False,53.0,48.0,2.0,1.0,0.0,21.0,21.0,7.0,7.0,1.0,,,,,90.0,80.0,7.5,8.0,"{'original': 7.5, 'alternative': None}",3,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,3,12,6,6,90.56603773584906,50.0,75.0,100.0,,27.0,32.0,4.0,3.0,8.0,1.0,3.0,,1.0,4.0,3.0,,3.0,1.0,2.0,1.0,1.0,2.0,2.0,,1.0,1.0,1.0,,,,,,
14015386,home,5149,FK Crvena zvezda,155449,Rade Krunić,rade-krunic,M,33,False,48.0,43.0,1.0,1.0,0.0,11.0,12.0,3.0,3.0,1.0,,,,,55.0,56.0,7.6,7.0,"{'original': 7.6, 'alternative': None}",2,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,89.58333333333334,100.0,,,,32.0,36.0,,,2.0,,1.0,,,2.0,2.0,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,,,,
14015386,home,5153,FK Crvena zvezda,1153956,Jovan Šljivić,jovan-sljivic,M,8,False,47.0,43.0,1.0,1.0,1.0,9.0,9.0,3.0,5.0,,,,,,90.0,74.0,7.6,19.0,"{'original': 7.6, 'alternative': None}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,3,6,91.48936170212765,100.0,25.0,33.33333333333333,,34.0,38.0,8.0,2.0,6.0,2.0,,1.0,1.0,2.0,1.0,5.0,2.0,3.0,,,,2.0,,,3.0,1.0,,,,,,,
14015386,home,5149,FK Crvena zvezda,939721,Milson,milson,M,7,False,27.0,22.0,,,1.0,5.0,6.0,7.0,6.0,2.0,,,,,55.0,46.0,8.2,11.0,"{'original': 8.2, 'alternative': None}",3,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,7,4,81.48148148148148,,25.0,100.0,,17.0,21.0,4.0,1.0,6.0,1.0,,2.0,,3.0,,1.0,2.0,4.0,2.0,,,2.0,,,2.0,2.0,1.0,1.0,,,,,
14015386,home,5149,FK Crvena zvezda,110701,Aleksandar Katai,aleksandar-katai,M,10,False,44.0,37.0,3.0,1.0,0.0,5.0,5.0,4.0,4.0,,,,,,54.0,63.0,7.7,15.0,"{'original': 7.7, 'alternative': None}",3,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,4,5,84.0909090909091,33.33333333333333,50.0,40.0,,32.0,39.0,2.0,1.0,5.0,1.0,1.0,1.0,,2.0,2.0,1.0,,5.0,,,,2.0,,,5.0,2.0,,1.0,,,,,
14015386,home,5149,FK Crvena zvezda,278763,Mirko Ivanić,mirko-ivanic,M,4,False,46.0,41.0,2.0,2.0,0.0,6.0,6.0,1.0,2.0,,,,,,78.0,59.0,8.6,13.0,"{'original': 8.6, 'alternative': None}",2,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,89.13043478260869,100.0,,,,35.0,40.0,3.0,,1.0,,,,,1.0,,5.0,,,,,1.0,,,,,,,2.0,2.0,,,,
