player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType,addedTime
"{'name': 'Rade Krunić', 'slug': 'rade-krunic', 'shortName': 'R. Krunić', 'position': 'M', 'jerseyNumber': '33', 'userCount': 2476, 'gender': 'M', 'id': 155449, 'fieldTranslations': {'nameTranslation': {'ar': 'رادي كرونيتش', 'bn': 'রেড ক্রুনিচ', 'hi': 'राडे क्रुनिक'}, 'shortNameTranslation': {'ar': 'ر. كرونيتش', 'bn': 'আর. ক্রুনিচ', 'hi': 'आर. क्रुनिक'}}}",True,goal,assisted,"{'x': 21, 'y': 59.9, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.8, 'z': 4.4}",5273797,40,2361,"{'start': {'x': 59.9, 'y': 21}, 'end': {'x': 46.2, 'y': 0}, 'goal': {'x': 46.2, 'y': 95.6}}",6,339,2361,shot,,regular,
"{'name': 'Veljko Milosavljević', 'slug': 'milosavljevic-veljko', 'shortName': 'V. Milosavljević', 'position': 'D', 'jerseyNumber': '44', 'userCount': 1867, 'gender': 'M', 'id': 1406130, 'fieldTranslations': {'nameTranslation': {'ar': 'فيلجكو ميلوسافلييفيتش'}, 'shortNameTranslation': {'ar': 'ف. ميلوسافلييفيتش'}}}",True,miss,assisted,"{'x': 27.1, 'y': 65.6, 'z': 0}",right-foot,left,"{'x': 0, 'y': 59.7, 'z': 5.6}",5273796,39,2307,"{'start': {'x': 65.6, 'y': 27.1}, 'end': {'x': 40.3, 'y': 0}, 'goal': {'x': 40.3, 'y': 94.4}}",7,393,2307,shot,,,
"{'name': 'Cherif Ndiaye', 'slug': 'ndiaye-cherif', 'shortName': 'C. Ndiaye', 'position': 'F', 'jerseyNumber': '19', 'userCount': 6746, 'gender': 'M', 'id': 868268, 'fieldTranslations': {'nameTranslation': {'ar': 'ندياني، شريف', 'bn': 'এনডিয়ে, শেরিফ', 'hi': 'नदिये, चेरिफ़'}, 'shortNameTranslation': {'ar': 'ش. شريف', 'bn': 'সি. এনডিয়ে', 'hi': 'सी. नदिये'}}}",True,post,regular,"{'x': 5.2, 'y': 53.8, 'z': 0}",right-foot,high,"{'x': 0, 'y': 52.7, 'z': 39.9}",5273803,36,2158,"{'start': {'x': 53.8, 'y': 5.2}, 'end': {'x': 47.3, 'y': 0}, 'goal': {'x': 47.3, 'y': 60.1}}",10,542,2158,shot,,,
"{'name': 'Cherif Ndiaye', 'slug': 'ndiaye-cherif', 'shortName': 'C. Ndiaye', 'position': 'F', 'jerseyNumber': '19', 'userCount': 6746, 'gender': 'M', 'id': 868268, 'fieldTranslations': {'nameTranslation': {'ar': 'ندياني، شريف', 'bn': 'এনডিয়ে, শেরিফ', 'hi': 'नदिये, चेरिफ़'}, 'shortNameTranslation': {'ar': 'ش. شريف', 'bn': 'সি. এনডিয়ে', 'hi': 'सी. नदिये'}}}",True,miss,set-piece,"{'x': 3, 'y': 47.9, 'z': 0}",head,close-high-left,"{'x': 0, 'y': 57, 'z': 58.3}",5273789,32,1910,"{'start': {'x': 47.9, 'y': 3}, 'end': {'x': 43, 'y': 0}, 'goal': {'x': 43, 'y': 41.7}}",14,790,1910,shot,,,
"{'name': 'Milson', 'slug': 'milson', 'shortName': 'Milson', 'position': 'M', 'jerseyNumber': '77', 'userCount': 4342, 'gender': 'M', 'id': 939721, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلسون', 'bn': 'মিলসন', 'hi': 'मिल्सन'}, 'shortNameTranslation': {'ar': 'ميلسون', 'bn': 'মিলসন', 'hi': 'मिल्सन'}}}",True,save,assisted,"{'x': 8.2, 'y': 65.6, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.5, 'z': 4.4}",5273781,30,1759,"{'start': {'x': 65.6, 'y': 8.2}, 'block': {'x': 55.1, 'y': 1.2}, 'end': {'x': 51.5, 'y': 0}, 'goal': {'x': 51.5, 'y': 95.6}}",16,941,1759,shot,"{'x': 1.2, 'y': 55.1, 'z': 0}",,
"{'name': 'Cherif Ndiaye', 'slug': 'ndiaye-cherif', 'shortName': 'C. Ndiaye', 'position': 'F', 'jerseyNumber': '19', 'userCount': 6746, 'gender': 'M', 'id': 868268, 'fieldTranslations': {'nameTranslation': {'ar': 'ندياني، شريف', 'bn': 'এনডিয়ে, শেরিফ', 'hi': 'नदिये, चेरिफ़'}, 'shortNameTranslation': {'ar': 'ش. شريف', 'bn': 'সি. এনডিয়ে', 'hi': 'सी. नदिये'}}}",True,miss,assisted,"{'x': 8.6, 'y': 43.4, 'z': 0}",head,left,"{'x': 0, 'y': 59.7, 'z': 20.8}",5273780,28,1639,"{'start': {'x': 43.4, 'y': 8.6}, 'end': {'x': 40.3, 'y': 0}, 'goal': {'x': 40.3, 'y': 79.2}}",18,1061,1639,shot,,,
"{'name': 'Aleksandar Katai', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-katai', 'shortName': 'A. Katai', 'position': 'M', 'jerseyNumber': '10', 'userCount': 2418, 'gender': 'M', 'id': 110701, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر كاتاي', 'bn': 'আলেকসান্ডার কাটাই', 'hi': 'एलेक्ज़ेंडर कटई'}, 'shortNameTranslation': {'ar': 'أ. كاتاي', 'bn': 'এ. কাটাই', 'hi': 'ए. कटई'}}}",True,save,regular,"{'x': 21, 'y': 65.2, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 51.9, 'z': 8.2}",5273779,21,1227,"{'start': {'x': 65.2, 'y': 21}, 'block': {'x': 52.5, 'y': 2.2}, 'end': {'x': 48.1, 'y': 0}, 'goal': {'x': 48.1, 'y': 91.8}}",25,1473,1227,shot,"{'x': 2.2, 'y': 52.5, 'z': 0}",,
"{'name': 'Nair Tiknizyan', 'firstName': '', 'lastName': '', 'slug': 'nair-tiknizyan', 'shortName': 'N. Tiknizyan', 'position': 'D', 'jerseyNumber': '23', 'userCount': 1528, 'gender': 'M', 'id': 904400, 'fieldTranslations': {'nameTranslation': {'ar': 'ناير تكنيزيان', 'bn': 'নায়ার টিকনিজিয়ান', 'hi': 'नायर टिक्निज़्यान'}, 'shortNameTranslation': {'ar': 'ن. تكنيزيان', 'bn': 'এন. টিকনিজিয়ান', 'hi': 'एन. टिक्निज़्यान'}}}",True,miss,corner,"{'x': 20, 'y': 48.1, 'z': 0}",right-foot,high-left,"{'x': 0, 'y': 62.7, 'z': 40.3}",5273778,19,1108,"{'start': {'x': 48.1, 'y': 20}, 'block': {'x': 44.8, 'y': 14.9}, 'end': {'x': 37.3, 'y': 0}, 'goal': {'x': 37.3, 'y': 59.7}}",27,1592,1108,shot,"{'x': 14.9, 'y': 44.8, 'z': 0}",,
"{'name': 'Milson', 'slug': 'milson', 'shortName': 'Milson', 'position': 'M', 'jerseyNumber': '77', 'userCount': 4342, 'gender': 'M', 'id': 939721, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلسون', 'bn': 'মিলসন', 'hi': 'मिल्सन'}, 'shortNameTranslation': {'ar': 'ميلسون', 'bn': 'মিলসন', 'hi': 'मिल्सन'}}}",True,block,assisted,"{'x': 22.9, 'y': 65.8, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.4, 'z': 19}",5273739,18,1073,"{'start': {'x': 65.8, 'y': 22.9}, 'block': {'x': 58.8, 'y': 13.1}, 'end': {'x': 49.6, 'y': 0}, 'goal': {'x': 49.6, 'y': 81}}",28,1627,1073,shot,"{'x': 13.1, 'y': 58.8, 'z': 0}",,
"{'name': 'Cherif Ndiaye', 'slug': 'ndiaye-cherif', 'shortName': 'C. Ndiaye', 'position': 'F', 'jerseyNumber': '19', 'userCount': 6746, 'gender': 'M', 'id': 868268, 'fieldTranslations': {'nameTranslation': {'ar': 'ندياني، شريف', 'bn': 'এনডিয়ে, শেরিফ', 'hi': 'नदिये, चेरिफ़'}, 'shortNameTranslation': {'ar': 'ش. شريف', 'bn': 'সি. এনডিয়ে', 'hi': 'सी. नदिये'}}}",True,save,assisted,"{'x': 8.3, 'y': 63, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.4, 'z': 4.4}",5273735,16,959,"{'start': {'x': 63, 'y': 8.3}, 'block': {'x': 62.3, 'y': 7.7}, 'end': {'x': 50.6, 'y': 0}, 'goal': {'x': 50.6, 'y': 95.6}}",30,1741,959,shot,"{'x': 7.7, 'y': 62.3, 'z': 0}",,
"{'name': 'Cherif Ndiaye', 'slug': 'ndiaye-cherif', 'shortName': 'C. Ndiaye', 'position': 'F', 'jerseyNumber': '19', 'userCount': 6746, 'gender': 'M', 'id': 868268, 'fieldTranslations': {'nameTranslation': {'ar': 'ندياني، شريف', 'bn': 'এনডিয়ে, শেরিফ', 'hi': 'नदिये, चेरिफ़'}, 'shortNameTranslation': {'ar': 'ش. شريف', 'bn': 'সি. এনডিয়ে', 'hi': 'सी. नदिये'}}}",True,save,assisted,"{'x': 11.9, 'y': 67.5, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.7, 'z': 5.7}",5273736,10,576,"{'start': {'x': 67.5, 'y': 11.9}, 'block': {'x': 56.5, 'y': 4.5}, 'end': {'x': 48.3, 'y': 0}, 'goal': {'x': 48.3, 'y': 94.3}}",36,2124,576,shot,"{'x': 4.5, 'y': 56.5, 'z': 0}",,
"{'name': 'Miloš Veljković', 'slug': 'milos-veljkovic', 'shortName': 'M. Veljković', 'position': 'D', 'jerseyNumber': '13', 'userCount': 1277, 'gender': 'M', 'id': 227224, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلوش فيلكوفيتش', 'bn': 'মিলোস ভেলজকোভিচ', 'hi': 'मिलोस वेलजकोविच'}, 'shortNameTranslation': {'ar': 'م. فيلكوفيتش', 'bn': 'এম. ভেলজকোভিচ', 'hi': 'एम. वेलजकोविच'}}}",True,miss,corner,"{'x': 5.1, 'y': 52.8, 'z': 0}",head,close-high,"{'x': 0, 'y': 52.4, 'z': 59.7}",5273700,9,514,"{'start': {'x': 52.8, 'y': 5.1}, 'end': {'x': 47.6, 'y': 0}, 'goal': {'x': 47.6, 'y': 40.3}}",37,2186,514,shot,,,
"{'name': 'Mirko Ivanić', 'slug': 'mirko-ivanic', 'shortName': 'M. Ivanić', 'position': 'M', 'jerseyNumber': '4', 'userCount': 1280, 'gender': 'M', 'id': 278763, 'fieldTranslations': {'nameTranslation': {'ar': 'ميركو إيفانيش', 'bn': 'মিরকো ইভানিচ', 'hi': 'मिर्को इवानिक'}, 'shortNameTranslation': {'ar': 'م. إيفانيش', 'bn': 'এম. ইভানিচ', 'hi': 'एम. इवानिक'}}}",True,goal,assisted,"{'x': 7.9, 'y': 59.3, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 54.2, 'z': 1.9}",5273694,6,302,"{'start': {'x': 59.3, 'y': 7.9}, 'end': {'x': 45.8, 'y': 0}, 'goal': {'x': 45.8, 'y': 98.1}}",40,2398,302,shot,,regular,
