match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,fouls,keyPass,interceptionWon,wasFouled,onTargetScoringAttempt,shotValueNormalized,bigChanceCreated,blockedScoringAttempt,wonContest,shotOffTarget,bigChanceMissed,punches,clearanceOffLine,goals,errorLeadToAShot,totalOffside
14015492,home,263360,FK TSC Bačka Topola,805915,Nikola Simić,nikola-simic,G,1,False,27.0,18.0,15.0,7.0,0.0,17.0,24.0,1.0,3.0,1.0,10.0,1.0,5.0,2.0,2.0,90.0,40.0,6.7,9.0,0.0746,"{'original': 6.7, 'alternative': 7.1}",0,-0.03,0.0,-0.03,0.09,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,66.66666666666666,46.666666666666664,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015492,home,263360,FK TSC Bačka Topola,879556,Stefan Jovanović,stefan-jovanovic,D,22,False,50.0,40.0,4.0,1.0,0.0,16.0,19.0,24.0,31.0,1.0,9.0,,,,,90.0,74.0,7.0,17.0,,"{'original': 7, 'alternative': 6.7}",0,0.47,0.13,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,2,7,80.0,25.0,75.0,,,4.0,3.0,1.0,1.0,8.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,,,,,,,,,,,,,,
14015492,home,263360,FK TSC Bačka Topola,190665,Luka Capan,luka-capan,D,31,False,35.0,31.0,3.0,1.0,0.0,17.0,19.0,14.0,16.0,9.0,4.0,,,,,81.0,55.0,6.9,6.0,,"{'original': 6.9, 'alternative': 7}",0,0.28,0.06,0.47,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,88.57142857142857,33.33333333333333,,,,,,1.0,,4.0,1.0,1.0,,,2.0,,,2.0,2.0,,1.0,1.0,,,,,,,,,,,,
14015492,home,263360,FK TSC Bačka Topola,1102967,Vukašin Krstić,vukasin-krstic,D,4,False,54.0,44.0,9.0,3.0,0.0,24.0,25.0,20.0,29.0,6.0,3.0,,,,,90.0,64.0,6.7,10.0,,"{'original': 6.7, 'alternative': 7.1}",1,0.14,0.22,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,81.48148148148148,33.33333333333333,,,,,,,1.0,3.0,2.0,2.0,,,1.0,1.0,1.0,,1.0,,,,1.0,-0.08,,,,,,,,,,
14015492,home,263360,FK TSC Bačka Topola,312170,Slobodan Urošević,slobodan-urosevic,D,72,False,46.0,30.0,9.0,3.0,0.0,22.0,29.0,8.0,17.0,2.0,6.0,,,,,90.0,67.0,6.4,25.0,,"{'original': 6.4, 'alternative': 6.6}",0,-0.1,0.06,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,65.21739130434783,33.33333333333333,14.285714285714285,,,7.0,1.0,1.0,,3.0,3.0,1.0,,,,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,
14015492,home,263360,FK TSC Bačka Topola,1619543,Aleksandar Stančić,aleksandar-stancic,M,16,False,28.0,25.0,2.0,2.0,0.0,10.0,12.0,15.0,16.0,2.0,5.0,,,,,88.0,39.0,7.1,7.0,,"{'original': 7.1, 'alternative': 7.4}",1,0.3,0.3,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,3,4,89.28571428571429,100.0,,,,,,2.0,,6.0,3.0,,1.0,1.0,,2.0,2.0,2.0,2.0,3.0,,1.0,,0.0,2.0,1.0,,,,,,,,
14015492,home,263360,FK TSC Bačka Topola,267591,Milan Radin,milan-radin,M,7,False,31.0,25.0,4.0,1.0,0.0,13.0,15.0,12.0,16.0,1.0,7.0,,,,,62.0,41.0,6.4,10.0,,"{'original': 6.4, 'alternative': 6.3}",0,0.18,0.2,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,2,7,80.64516129032258,25.0,,,,,,,,7.0,2.0,2.0,3.0,1.0,,,,,1.0,,1.0,2.0,,,,,,,,,,,,
14015492,home,263360,FK TSC Bačka Topola,980796,Dragoljub Savić,dragoljub-savic,M,21,False,30.0,20.0,3.0,1.0,0.0,8.0,9.0,12.0,21.0,,5.0,,,,,90.0,48.0,7.4,17.0,,"{'original': 7.4, 'alternative': 7.3}",1,0.35,0.17,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,8,3,66.66666666666666,33.33333333333333,33.33333333333333,83.33333333333334,,6.0,2.0,,1.0,3.0,9.0,,2.0,6.0,,1.0,1.0,,,1.0,,2.0,,-0.02,1.0,,5.0,1.0,,,,,,
14015492,home,7568,FK TSC Bačka Topola,822743,Sarpreet Singh,sarpreet-singh,M,11,False,28.0,21.0,1.0,1.0,0.0,6.0,6.0,15.0,22.0,2.0,5.0,,,,,90.0,49.0,6.3,9.0,,"{'original': 6.3, 'alternative': 7.4}",7,0.08,0.62,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,4,7,75.0,100.0,,50.0,,,,2.0,,9.0,4.0,2.0,1.0,2.0,,1.0,1.0,,3.0,1.0,2.0,2.0,2.0,-0.68,1.0,2.0,1.0,3.0,1.0,,,,,
14015492,home,263360,FK TSC Bačka Topola,923865,Vieljeux Prestige Mboungou,vieljeux-prestige-mboungou,M,29,False,22.0,20.0,,,0.0,9.0,10.0,11.0,12.0,1.0,4.0,,,,,90.0,39.0,6.4,7.0,,"{'original': 6.4, 'alternative': 7.1}",1,-0.09,0.31,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,2,5,90.9090909090909,,,,,,,1.0,2.0,6.0,4.0,,2.0,1.0,,,,1.0,2.0,3.0,2.0,2.0,,-0.56,1.0,,,1.0,1.0,,,,,
