player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,xgot,blockCoordinates,goalType
"{'name': 'Matija Bojović', 'firstName': 'Matija', 'lastName': 'Bojović', 'slug': 'matija-bojovic', 'shortName': 'M. Bojović', 'position': 'D', 'jerseyNumber': '29', 'userCount': 16, 'gender': 'M', 'id': 1185148, 'fieldTranslations': {'nameTranslation': {'ar': 'ماتيا بوجوفيتش', 'hi': 'मतिजा बोजोविक', 'bn': 'মাতিজা বোজোভিচ'}, 'shortNameTranslation': {'ar': 'م. بوجوفيتش', 'hi': 'एम. बोजोविक', 'bn': 'এম. বোজোভিচ'}}}",True,miss,regular,"{'x': 11, 'y': 40, 'z': 0}",left-foot,close-right,"{'x': 0, 'y': 41.8, 'z': 13.4}",0.3745,6543682,90,2.0,5491,"{'start': {'x': 40, 'y': 11}, 'end': {'x': 58.2, 'y': 0}, 'goal': {'x': 58.2, 'y': 86.6}}",1,809,91,shot,,,
"{'name': 'Rodrigo Faust', 'slug': 'rodrigo-faust', 'shortName': 'R. Faust', 'position': 'F', 'jerseyNumber': '9', 'userCount': 9, 'gender': 'M', 'id': 871881, 'fieldTranslations': {'nameTranslation': {'ar': 'رودريغو فاوست'}, 'shortNameTranslation': {'ar': 'ر. فاوست'}}}",False,save,regular,"{'x': 14, 'y': 56, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.7, 'z': 11.6}",0.1991,6543681,90,1.0,5435,"{'start': {'x': 56, 'y': 14}, 'end': {'x': 49.3, 'y': 0}, 'goal': {'x': 49.3, 'y': 88.4}}",1,865,35,shot,0.1036,,
"{'name': 'Davor Kontić', 'firstName': '', 'lastName': '', 'slug': 'davor-kontic', 'shortName': 'D. Kontić', 'position': 'M', 'jerseyNumber': '8', 'userCount': 7, 'gender': 'M', 'id': 929719, 'fieldTranslations': {'nameTranslation': {'ar': 'دافور كونتيش', 'hi': 'डेवोर कोंटिक', 'bn': 'দাভোর কন্টিচ'}, 'shortNameTranslation': {'ar': 'د. كونتيش', 'hi': 'डी. कोंटिक', 'bn': 'ডি. কন্টিচ'}}}",False,miss,regular,"{'x': 14, 'y': 65, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 45.7, 'z': 52.7}",0.05428,6543680,90,,5393,"{'start': {'x': 65, 'y': 14}, 'end': {'x': 54.3, 'y': 0}, 'goal': {'x': 54.3, 'y': 47.3}}",1,7,2693,shot,,,
"{'name': 'Rodrigo Faust', 'slug': 'rodrigo-faust', 'shortName': 'R. Faust', 'position': 'F', 'jerseyNumber': '9', 'userCount': 9, 'gender': 'M', 'id': 871881, 'fieldTranslations': {'nameTranslation': {'ar': 'رودريغو فاوست'}, 'shortNameTranslation': {'ar': 'ر. فاوست'}}}",False,miss,regular,"{'x': 12, 'y': 25, 'z': 0}",left-foot,close-left,"{'x': 0, 'y': 57.1, 'z': 2.8}",0.06202,6543679,80,,4744,"{'start': {'x': 25, 'y': 12}, 'end': {'x': 42.9, 'y': 0}, 'goal': {'x': 42.9, 'y': 97.2}}",11,656,2044,shot,,,
"{'name': 'Abdel Osmanović', 'firstName': '', 'lastName': '', 'slug': 'abdel-osmanovic', 'shortName': 'A. Osmanović', 'position': 'D', 'jerseyNumber': '2', 'userCount': 4, 'gender': 'M', 'id': 1000154, 'fieldTranslations': {'nameTranslation': {'ar': 'عبد الإله أوسمانوفيتش'}, 'shortNameTranslation': {'ar': 'ع. أوسمانوفيتش'}}}",True,block,regular,"{'x': 11, 'y': 69, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.001688,6543678,79,,4700,"{'start': {'x': 69, 'y': 11}, 'block': {'x': 69, 'y': 11}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",12,700,2000,shot,,"{'x': 11, 'y': 69, 'z': 0}",
"{'name': 'Ognjen Rolović', 'firstName': '', 'lastName': '', 'slug': 'ognjen-rolovic', 'shortName': 'O. Rolović', 'position': 'F', 'jerseyNumber': '19', 'userCount': 6, 'gender': 'M', 'id': 196634, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنيين رولوفيتش', 'hi': 'ओग्जेन रोलोविच', 'bn': 'ওগনজেন রোলোভিচ'}, 'shortNameTranslation': {'ar': 'أ. رولوفيتش', 'hi': 'ओ. रोलोविक', 'bn': 'ও. রোলোভিচ'}}}",True,miss,regular,"{'x': 6, 'y': 33, 'z': 0}",left-foot,close-high,"{'x': 0, 'y': 54.7, 'z': 51}",0.2365,6543677,74,,4409,"{'start': {'x': 33, 'y': 6}, 'end': {'x': 45.3, 'y': 0}, 'goal': {'x': 45.3, 'y': 49}}",17,991,1709,shot,,,
"{'name': 'Jovan Vujisic', 'slug': 'jovan-vujisic', 'shortName': 'J. Vujisic', 'position': 'D', 'jerseyNumber': '5', 'userCount': 5, 'gender': 'M', 'id': 1036138, 'fieldTranslations': {'nameTranslation': {'ar': 'يوفان فويجيسيتش'}, 'shortNameTranslation': {'ar': 'ي. فويجيسيتش'}}}",False,miss,regular,"{'x': 22, 'y': 62, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 41.9, 'z': 58.9}",0.05128,6543676,70,,4148,"{'start': {'x': 62, 'y': 22}, 'end': {'x': 58.1, 'y': 0}, 'goal': {'x': 58.1, 'y': 41.1}}",21,1252,1448,shot,,,
"{'name': 'Zvonko Ceklić', 'slug': 'zvonko-ceklic', 'shortName': 'Z. Ceklić', 'position': 'D', 'jerseyNumber': '6', 'userCount': 1, 'gender': 'M', 'id': 880655, 'fieldTranslations': {'nameTranslation': {'ar': 'زفونكو سيكليتش', 'hi': 'ज़्वोन्को सेक्लिक', 'bn': 'জোনকো সেক্লিচ'}, 'shortNameTranslation': {'ar': 'ز. سيكليتش', 'hi': 'ज़ेड. सेक्लिक', 'bn': 'জেড. সেক্লিচ'}}}",False,miss,corner,"{'x': 6, 'y': 33, 'z': 0}",head,close-high,"{'x': 0, 'y': 45.4, 'z': 48.7}",0.05677,6543675,65,,3856,"{'start': {'x': 33, 'y': 6}, 'end': {'x': 54.6, 'y': 0}, 'goal': {'x': 54.6, 'y': 51.3}}",26,1544,1156,shot,,,
"{'name': 'Jovan Vujisic', 'slug': 'jovan-vujisic', 'shortName': 'J. Vujisic', 'position': 'D', 'jerseyNumber': '5', 'userCount': 5, 'gender': 'M', 'id': 1036138, 'fieldTranslations': {'nameTranslation': {'ar': 'يوفان فويجيسيتش'}, 'shortNameTranslation': {'ar': 'ي. فويجيسيتش'}}}",False,miss,regular,"{'x': 19, 'y': 45, 'z': 0}",head,low-left,"{'x': 0, 'y': 52.7, 'z': 14.6}",0.1824,6543674,62,,3690,"{'start': {'x': 45, 'y': 19}, 'end': {'x': 47.3, 'y': 0}, 'goal': {'x': 47.3, 'y': 85.4}}",29,1710,990,shot,,,
"{'name': 'Đorđe Maksimović', 'slug': 'djordje-maksimovic', 'shortName': 'Đ. Maksimović', 'position': 'F', 'jerseyNumber': '44', 'userCount': 12, 'gender': 'M', 'id': 905970, 'fieldTranslations': {'nameTranslation': {'ar': 'دورجي ماكسيموفيتش'}, 'shortNameTranslation': {'ar': 'د. ماكسيموفيتش'}}}",True,miss,regular,"{'x': 28, 'y': 59, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 57.2, 'z': 29.8}",0.005317,6543673,61,,3622,"{'start': {'x': 59, 'y': 28}, 'end': {'x': 42.8, 'y': 0}, 'goal': {'x': 42.8, 'y': 70.2}}",30,1778,922,shot,,,
