minute,value
0.0,0
1.0,2
2.0,-2
3.0,4
4.0,51
5.0,33
6.0,24
7.0,18
8.0,12
9.0,6
10.0,1
11.0,13
12.0,40
13.0,25
14.0,16
15.0,-34
16.0,-15
17.0,-6
18.0,25
19.0,-26
20.0,-6
21.0,-9
22.0,-7
23.0,-52
24.0,-40
25.0,-30
26.0,-24
27.0,-41
28.0,24
29.0,2
30.0,-2
31.0,-2
32.0,-7
33.0,-7
34.0,-7
35.0,-6
36.0,-5
37.0,-10
38.0,-38
39.0,-19
40.0,-23
41.0,-20
42.0,-98
43.0,-53
44.0,-23
45.0,14
46.0,4
47.0,-7
48.0,-9
49.0,-12
50.0,-8
51.0,-6
52.0,5
53.0,-31
54.0,-9
55.0,39
56.0,-76
57.0,-35
58.0,-95
59.0,-53
60.0,-31
61.0,-99
62.0,-65
63.0,-39
64.0,-25
65.0,-11
66.0,29
67.0,22
68.0,-22
69.0,-11
70.0,-3
71.0,5
72.0,-11
73.0,-31
74.0,-24
75.0,-16
76.0,54
77.0,72
78.0,49
79.0,29
80.0,12
81.0,-51
82.0,-33
83.0,-61
84.0,-37
85.0,-73
86.0,-50
87.0,-31
88.0,-56
89.0,-34
90.0,-13
90.5,80
