match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,duelWon,totalContest,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,aerialLost,aerialWon,challengeLost,shotOffTarget,errorLeadToAShot,totalOffside,shotValueNormalized,outfielderBlock,interceptionWon,fouls,bigChanceCreated,dispossessed,wonContest,blockedScoringAttempt,onTargetScoringAttempt,goals,punches,errorLeadToAGoal,hitWoodwork
14015629,home,5149,FK Crvena zvezda,1516318,Mahmudu Bajo,bajo,M,6,True,20.0,17.0,2.0,2.0,0.0,6.0,8.0,11.0,12.0,,1.0,,,,,11.0,24.0,6.6,6.0,103.39870295931,11.0,33.625227619897,0.0,,"{'original': 6.6, 'alternative': 6.4}",0,0.07,0.01,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,85.0,100.0,,,,,,2.0,1.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
14015629,home,5149,FK Crvena zvezda,1493918,Adem Avdić,adem-avdic,D,71,True,4.0,3.0,,,0.0,2.0,2.0,1.0,2.0,,2.0,,,,,11.0,8.0,6.6,2.0,51.223796890332,7.0,23.55757998593,1.0,,"{'original': 6.6, 'alternative': 6.5}",1,-0.04,0.07,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,75.0,,,100.0,,,,,2.0,2.0,,,1.0,,12.942970105254,15.092653875313,,,,,,,,-0.07,,,,,,2.0,1.0,,,,,
14015629,home,5149,FK Crvena zvezda,1939194,Stefan Gudelj,stefan-gudelj,D,45,True,3.0,3.0,,,0.0,2.0,2.0,1.0,1.0,,,,,,,1.0,3.0,,,3.6373926100986,1.0,-3.0962215652366,0.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015629,home,5149,FK Crvena zvezda,1131048,Tomás Händel,tomas-handel,M,20,True,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,,,,,,,1.0,2.0,,,5.4069889032621,1.0,3.6126407473344,0.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015629,home,5149,FK Crvena zvezda,1029788,Vladimir Lučić,vladimir-lucic,M,37,True,3.0,3.0,,,0.0,2.0,2.0,1.0,1.0,,,,,,,1.0,3.0,,,8.6644000056447,2.0,-5.0570639498022,0.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015629,home,5149,FK Crvena zvezda,797083,Omri Glazer,omri-glazer,G,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015629,home,5149,FK Crvena zvezda,1133882,Franklin Tebo,franklin-tebo,D,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015629,home,5149,FK Crvena zvezda,21927,Marko Arnautović,marko-arnautovic,F,89,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015629,away,25737,FK Radnički Niš,990184,Strahinja Manojlović,strahinja-manojlovic,G,98,False,30.0,13.0,24.0,7.0,0.0,6.0,10.0,7.0,20.0,1.0,10.0,1.0,5.0,,,90.0,38.0,7.0,17.0,25.80271192252,4.0,18.011887607403,0.0,0.561,"{'original': 7, 'alternative': 7.2}",0,0.07,0.0,-0.15,0.37,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,43.333333333333336,29.166666666666668,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,
14015629,away,25737,FK Radnički Niš,827547,Marko Mijailović,marko-mijailovic,D,2,False,14.0,7.0,6.0,1.0,0.0,5.0,10.0,2.0,4.0,3.0,3.0,,,,,73.0,32.0,6.3,12.0,46.13937711677,9.0,19.077501736463,0.0,,"{'original': 6.3, 'alternative': 6.6}",0,-0.09,0.26,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,50.0,16.666666666666664,20.0,,,5.0,1.0,,,,,,,,,,1.0,,,,,,,,1.0,2.0,,,,,,,,,,
