match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,keyPass,shotOffTarget,blockedScoringAttempt,dispossessed,bigChanceMissed,bigChanceCreated
14147331,away,6219,FK Jedinstvo Bijelo Polje,1185130,Arsenije Čepić,arsenije-cepic,M,15,False,32.0,25.0,2.0,1.0,0.0,12.0,13.0,16.0,0.0,0.0,0.0,0.0,11.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,,90.0,47.0,6.8,6.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,0,17,6,11,78.125,50.0,,100.0,,10.0,,,,1.0,,
14147331,away,6219,FK Jedinstvo Bijelo Polje,1131050,Andrej Cvijović,andrej-cvijovic,M,33,False,22.0,12.0,4.0,1.0,0.0,1.0,4.0,17.0,3.0,1.0,3.0,1.0,14.0,8.0,1.0,6.0,2.0,2.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,79.0,45.0,7.2,18.0,0.16,0.09,"{'original': 7.2, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,4,18,7,11,54.54545454545454,25.0,33.33333333333333,33.33333333333333,,10.0,1.0,1.0,,1.0,,
14147331,away,6219,FK Jedinstvo Bijelo Polje,1536333,Stefan Radojevic,stefan-radojevic,M,8,False,18.0,15.0,0.0,0.0,0.0,1.0,1.0,16.0,0.0,0.0,0.0,2.0,15.0,10.0,3.0,3.0,1.0,1.0,0.0,2.0,0.0,2.0,11.0,2.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,,,,,,,90.0,36.0,6.7,10.0,0.25,0.0,"{'original': 6.7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",25,2,23,8,15,83.33333333333334,,,33.33333333333333,,13.0,,1.0,,2.0,,
14147331,away,6219,FK Jedinstvo Bijelo Polje,1391891,Danis Kolić,danis-kolic,M,22,False,40.0,30.0,4.0,1.0,0.0,12.0,13.0,25.0,2.0,2.0,0.0,0.0,9.0,3.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,54.0,7.3,12.0,0.13,0.17,"{'original': 7.3, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,0,12,3,9,75.0,25.0,100.0,40.0,,16.0,3.0,1.0,,,,
14147331,away,6219,FK Jedinstvo Bijelo Polje,2217779,Yonathan Rodriguez,yonathan-rodriguez,M,32,False,16.0,10.0,2.0,1.0,0.0,8.0,10.0,6.0,0.0,0.0,0.0,0.0,11.0,5.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,,,,,,60.0,34.0,6.6,12.0,0.1,0.0,"{'original': 6.6, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,0,16,5,11,62.5,50.0,,50.0,,2.0,,1.0,,1.0,,
14147331,away,6219,FK Jedinstvo Bijelo Polje,54752,Žarko Korać,zarko-korac,F,11,False,16.0,11.0,0.0,0.0,1.0,2.0,2.0,14.0,1.0,0.0,9.0,2.0,17.0,5.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,,2.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,,,,,,,79.0,29.0,7.7,16.0,0.51,0.12,"{'original': 7.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,11,11,3,8,68.75,,0.0,50.0,,9.0,2.0,,,2.0,,
14147331,away,383337,FK Jedinstvo Bijelo Polje,1391886,Sead Dacić,sead-dacic,D,19,True,8.0,4.0,0.0,0.0,0.0,1.0,3.0,5.0,1.0,0.0,2.0,1.0,10.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,30.0,14.0,6.2,6.0,0.0,0.0,"{'original': 6.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,1,8,50.0,,0.0,0.0,,3.0,,,,,,
14147331,away,6219,FK Jedinstvo Bijelo Polje,874418,Mirza Idrizović,mirza-idrizovic,M,10,True,8.0,7.0,0.0,0.0,0.0,,1.0,6.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,30.0,15.0,6.9,3.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,2,1,87.5,,,100.0,,6.0,,,,,,
14147331,away,241802,FK Jedinstvo Bijelo Polje,1391884,Takeru Komiya,takeru-komiya,M,30,True,4.0,0.0,2.0,0.0,0.0,,1.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.0,8.0,6.9,4.0,0.16,0.0,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,0.0,0.0,0.0,100.0,,,,,,,,
14147331,away,6219,FK Jedinstvo Bijelo Polje,1382874,Aldin Mušović,aldin-musovic,F,9,True,9.0,6.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,11.0,15.0,6.7,4.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,2,4,66.66666666666666,,,,,4.0,1.0,,,,,
14147331,away,6219,FK Jedinstvo Bijelo Polje,1134689,Goran Aković,goran-akovic,G,44,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147331,away,6219,FK Jedinstvo Bijelo Polje,808563,Momčilo Dulović,momcilo-dulovic,D,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147331,away,282802,FK Jedinstvo Bijelo Polje,1978656,Nemanja Pavićević,nemanja-pavicevic,M,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147331,away,6220,FK Jedinstvo Bijelo Polje,1005748,Veljko Radenović,veljko-radenovic,M,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147331,away,6219,FK Jedinstvo Bijelo Polje,2444869,Pavle  Božović,pavle-bozovic,F,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
