match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialWon,duelLost,duelWon,dispossessed,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,aerialLost,challengeLost,outfielderBlock,totalContest,totalCross,accurateCross,onTargetScoringAttempt,blockedScoringAttempt,goals,shotValueNormalized,wonContest,bigChanceMissed,shotOffTarget,penaltyWon,totalOffside,keyPass,bigChanceCreated,errorLeadToAGoal,penaltyFaced,hitWoodwork,penaltyConceded
14015430,home,229348,FK IMT Beograd,112020,Bojan Brać,bojan-brac,G,90,False,31.0,14.0,19.0,3.0,0.0,12.0,17.0,2.0,14.0,2.0,9.0,4.0,10.0,1.0,1.0,90.0,47.0,9.2,18.0,0.8494,"{'original': 9.2, 'alternative': 8.1}",0,-0.01,-0.02,0.32,0.62,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,45.16129032258064,15.789473684210526,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015430,home,308176,FK IMT Beograd,1142784,Marko Luković,marko-lukovic,D,24,False,20.0,13.0,4.0,,0.0,6.0,11.0,7.0,9.0,8.0,4.0,,,,,90.0,53.0,7.8,12.0,,"{'original': 7.8, 'alternative': 7.6}",0,0.18,0.14,0.53,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,7,2,65.0,,,,,2.0,2.0,9.0,1.0,1.0,6.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
14015430,home,313716,FK IMT Beograd,595042,Antoine Batisse,antoine-batisse,D,4,False,21.0,18.0,6.0,4.0,0.0,14.0,15.0,4.0,6.0,10.0,,,,,,90.0,38.0,7.8,3.0,,"{'original': 7.8, 'alternative': 7.8}",0,0.09,0.0,0.73,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,2,1,85.71428571428571,66.66666666666666,,,,1.0,2.0,3.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,
14015430,home,308176,FK IMT Beograd,886182,Marko Jevtić,marko-jevtic,D,14,False,34.0,32.0,4.0,4.0,0.0,24.0,25.0,8.0,9.0,14.0,2.0,,,,,90.0,54.0,7.8,2.0,,"{'original': 7.8, 'alternative': 7.8}",0,0.12,0.02,0.93,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,1,1,94.11764705882352,100.0,,,,2.0,2.0,3.0,,,1.0,,,,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,
14015430,home,308176,FK IMT Beograd,1111990,Nikola Glišić,nikola-glisic,D,7,False,37.0,21.0,8.0,2.0,0.0,17.0,23.0,4.0,14.0,4.0,7.0,,,,,90.0,61.0,7.2,21.0,,"{'original': 7.2, 'alternative': 7}",0,-0.03,0.0,0.38,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,7,3,56.75675675675676,25.0,,,,,3.0,7.0,,,7.0,5.0,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,
14015430,home,308176,FK IMT Beograd,904998,Moussa Sissako,sissako-moussa,M,5,False,24.0,20.0,1.0,1.0,0.0,16.0,17.0,4.0,7.0,2.0,4.0,,,,,65.0,34.0,6.9,5.0,,"{'original': 6.9, 'alternative': 6.9}",0,-0.08,-0.04,0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,4,2,83.33333333333334,100.0,,,,1.0,2.0,5.0,,,2.0,1.0,,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,
14015430,home,308176,FK IMT Beograd,1405262,Vicky Kiankaulua,kiankaulua-vicky,M,94,False,12.0,9.0,1.0,,0.0,6.0,6.0,3.0,6.0,,1.0,,,,,64.0,25.0,6.7,9.0,,"{'original': 6.7, 'alternative': 6.8}",0,0.25,0.11,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,3,6,75.0,,66.66666666666666,,,,9.0,3.0,2.0,1.0,3.0,2.0,2.0,,4.0,3.0,,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,
14015430,home,308176,FK IMT Beograd,1957265,Vasilije Novičić,vasilije-novicic,M,22,False,15.0,9.0,3.0,1.0,0.0,3.0,5.0,6.0,10.0,,4.0,,,,,90.0,31.0,7.3,9.0,,"{'original': 7.3, 'alternative': 7.1}",2,0.03,0.43,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,4,3,60.0,33.33333333333333,,,,,7.0,4.0,,1.0,4.0,4.0,2.0,,,4.0,2.0,,1.0,,,1.0,1.0,1.0,0.26,,,,,,,,,,,
14015430,home,308176,FK IMT Beograd,1481264,Nikola Krstić,nikola-krstic,M,25,False,28.0,18.0,5.0,2.0,0.0,11.0,14.0,7.0,14.0,1.0,10.0,,,,,89.0,42.0,6.4,14.0,,"{'original': 6.4, 'alternative': 6.5}",1,-0.01,0.12,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,4,4,64.28571428571429,40.0,,50.0,,,8.0,4.0,,,2.0,2.0,3.0,1.0,2.0,4.0,1.0,,2.0,,,,,,-0.12,1.0,1.0,1.0,,,,,,,,
14015430,home,308176,FK IMT Beograd,1444568,Sankara Karamoko,sankara-karamoko,M,50,False,22.0,18.0,3.0,1.0,0.0,14.0,16.0,4.0,6.0,1.0,1.0,,,,,77.0,38.0,8.4,8.0,,"{'original': 8.4, 'alternative': 8}",1,0.17,-0.65,0.43,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,4,2,81.81818181818183,33.33333333333333,,50.0,,,2.0,4.0,,2.0,2.0,1.0,2.0,1.0,1.0,,,1.0,2.0,1.0,,1.0,,1.0,0.53,1.0,,,1.0,1.0,1.0,,,,,
14015430,home,1671,FK IMT Beograd,988937,Ugo Bonnet,ugo-bonnet,F,11,False,23.0,18.0,,,0.0,9.0,9.0,9.0,14.0,,6.0,,,,,89.0,35.0,6.8,12.0,,"{'original': 6.8, 'alternative': 6.8}",0,-0.2,0.27,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,6,5,3,2,78.26086956521739,,,50.0,,4.0,4.0,7.0,,1.0,,,6.0,2.0,1.0,2.0,,,2.0,,,,,,,1.0,,,,2.0,,,,,,
14015430,home,308176,FK IMT Beograd,929727,Vladimir Radočaj,vladimir-radocaj,M,27,True,14.0,9.0,3.0,1.0,1.0,,2.0,9.0,12.0,3.0,1.0,,,,,26.0,23.0,7.1,10.0,,"{'original': 7.1, 'alternative': 6.8}",0,0.31,0.43,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,64.28571428571429,33.33333333333333,,,,,2.0,,,1.0,,,2.0,,1.0,1.0,,,1.0,2.0,,,,,,,,,,,2.0,1.0,,,,
14015430,home,308176,FK IMT Beograd,314246,Luka Luković,luka-lukovic,F,8,True,7.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,6.0,4.0,,,,,,25.0,17.0,6.8,3.0,,"{'original': 6.8, 'alternative': 6.9}",0,0.1,0.19,0.37,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,71.42857142857143,100.0,,,,,3.0,2.0,,,2.0,1.0,1.0,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,
14015430,home,308176,FK IMT Beograd,1217033,Kenroy Campbell,kenroy-campbell,F,66,True,5.0,2.0,1.0,,0.0,2.0,3.0,,2.0,,2.0,,,,,13.0,9.0,6.5,4.0,,"{'original': 6.5, 'alternative': 6.7}",1,-0.04,0.1,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,40.0,,,,,,1.0,,,,,,1.0,,,1.0,,1.0,,,,,,,-0.51,,,1.0,,,,,,,,
14015430,home,308176,FK IMT Beograd,1516067,Miloš Jović,milos-jovic,F,9,True,,,,,0.0,,,,,,,,,,,1.0,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015430,home,246604,FK IMT Beograd,1595696,Stefan Baltic,stefan-baltic,F,29,True,,,,,0.0,,,,,,,,,,,1.0,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015430,home,308176,FK IMT Beograd,1957264,Kadir Gicić,kadir-gicic,G,12,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015430,home,229348,FK IMT Beograd,1516066,Irfan Zulfić,irfan-zulfic,M,80,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015430,home,308176,FK IMT Beograd,1627088,Stefan Bastaja,stefan-bastaja,M,16,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015430,home,229348,FK IMT Beograd,1393501,Lazar Konstantinov,lazar-konstantinov,D,3,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015430,away,5148,FK Radnički 1923,13691,Vladimir Stojković,vladimir-stojkovic,G,88,False,21.0,20.0,1.0,1.0,0.0,20.0,21.0,,,,5.0,,,,,90.0,22.0,5.9,1.0,,"{'original': 5.9, 'alternative': 6.2}",0,0.01,-0.04,-0.54,-0.76,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,95.23809523809523,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
