player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,blockCoordinates
"{'name': 'Diogo Bezerra', 'firstName': 'Diogo Bezerra', 'lastName': '', 'slug': 'diogo-bezerra', 'shortName': 'D. Bezerra', 'position': 'M', 'jerseyNumber': '7', 'userCount': 184, 'gender': 'M', 'id': 1176881, 'fieldTranslations': {'nameTranslation': {'ar': 'دييغو بيزيرا'}, 'shortNameTranslation': {'ar': 'د. بيزيرا'}}}",False,block,assisted,"{'x': 9.1, 'y': 45.6, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 45.8, 'z': 19}",5442056,61,3603,"{'start': {'x': 45.6, 'y': 9.1}, 'block': {'x': 48.4, 'y': 6.2}, 'end': {'x': 54.2, 'y': 0}, 'goal': {'x': 54.2, 'y': 81}}",30,1797,903,shot,,"{'x': 6.2, 'y': 48.4, 'z': 0}"
"{'name': 'Aleksandar Stančić', 'firstName': 'Aleksandar Stancic', 'slug': 'aleksandar-stancic', 'shortName': 'A. Stančić', 'position': 'M', 'jerseyNumber': '16', 'userCount': 47, 'gender': 'M', 'id': 1619543, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر ستانشيتش'}, 'shortNameTranslation': {'ar': 'أ. ستانشيتش'}}}",True,save,assisted,"{'x': 28.8, 'y': 56.6, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.6, 'z': 5.1}",5441874,58,3431,"{'start': {'x': 56.6, 'y': 28.8}, 'block': {'x': 51.1, 'y': 1.8}, 'end': {'x': 49.4, 'y': 0}, 'goal': {'x': 49.4, 'y': 94.9}}",33,1969,731,shot,,"{'x': 1.8, 'y': 51.1, 'z': 0}"
"{'name': 'Sarpreet Singh', 'firstName': '', 'lastName': '', 'slug': 'sarpreet-singh', 'shortName': 'S. Singh', 'position': 'M', 'jerseyNumber': '9', 'userCount': 427, 'gender': 'M', 'id': 822743, 'fieldTranslations': {'nameTranslation': {'ar': 'ساربريت سينغ', 'bn': 'সরপ্রীত সিং', 'hi': 'सरप्रीत सिंह'}, 'shortNameTranslation': {'ar': 'س. سينغ', 'bn': 'এস. সিং', 'hi': 'बी. हेनेन'}}}",True,block,assisted,"{'x': 21.8, 'y': 37.2, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.5, 'z': 19}",5442055,57,3384,"{'start': {'x': 37.2, 'y': 21.8}, 'block': {'x': 39.3, 'y': 18}, 'end': {'x': 49.5, 'y': 0}, 'goal': {'x': 49.5, 'y': 81}}",34,2016,684,shot,,"{'x': 18, 'y': 39.3, 'z': 0}"
"{'name': 'Miljan Momčilović', 'slug': 'miljan-momcilovic', 'shortName': 'M. Momčilović', 'position': 'M', 'jerseyNumber': '14', 'userCount': 46, 'gender': 'M', 'id': 1000367, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلجان مومتشيلوفيتش'}, 'shortNameTranslation': {'ar': 'م. مومتشيلوفيتش'}}}",False,save,assisted,"{'x': 8.6, 'y': 41.1, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 51.6, 'z': 7}",5441850,53,3166,"{'start': {'x': 41.1, 'y': 8.6}, 'block': {'x': 48.9, 'y': 1.5}, 'end': {'x': 48.4, 'y': 0}, 'goal': {'x': 48.4, 'y': 93}}",38,2234,466,shot,,"{'x': 1.5, 'y': 48.9, 'z': 0}"
"{'name': 'Nikola Knežević', 'firstName': 'Nikola Knezevic', 'slug': 'nikola-knezevic', 'shortName': 'N. Knežević', 'position': 'M', 'jerseyNumber': '11', 'userCount': 216, 'gender': 'M', 'id': 1147565, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا كنيزيفيتش'}, 'shortNameTranslation': {'ar': 'ن. كنيزيفيتش'}}}",False,goal,regular,"{'x': 14.2, 'y': 32.3, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 46.1, 'z': 28.5}",5441744,47,2769,"{'start': {'x': 32.3, 'y': 14.2}, 'end': {'x': 53.9, 'y': 0}, 'goal': {'x': 53.9, 'y': 71.5}}",44,2631,69,shot,regular,
"{'name': 'Uroš Kabić', 'firstName': '', 'lastName': '', 'slug': 'uros-kabic', 'shortName': 'U. Kabić', 'position': 'M', 'jerseyNumber': '17', 'userCount': 254, 'gender': 'M', 'id': 1087489, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروس كابيتش', 'bn': 'উরোস কাবিচ', 'hi': 'उरोस काबिक'}, 'shortNameTranslation': {'ar': 'أ. كابيتش', 'bn': 'ইউ. কাবিচ', 'hi': 'यू. काबिक'}}}",False,save,assisted,"{'x': 6.4, 'y': 56.4, 'z': 0}",head,low-centre,"{'x': 0, 'y': 48.2, 'z': 17.1}",5441502,44,2592,"{'start': {'x': 56.4, 'y': 6.4}, 'block': {'x': 51.4, 'y': 0.59999999999999}, 'end': {'x': 51.8, 'y': 0}, 'goal': {'x': 51.8, 'y': 82.9}}",2,108,2592,shot,,"{'x': 0.59999999999999, 'y': 51.4, 'z': 0}"
"{'name': 'Vieljeux Prestige Mboungou', 'firstName': '', 'lastName': '', 'slug': 'vieljeux-prestige-mboungou', 'shortName': 'V. P. Mboungou', 'position': 'M', 'jerseyNumber': '29', 'userCount': 260, 'gender': 'M', 'id': 923865, 'fieldTranslations': {'nameTranslation': {'ar': 'بريستيج مبونغو', 'bn': 'ভিয়েলজেউক্স প্রেস্টিজ মবুঙ্গৌ', 'hi': 'विएलजेक्स प्रेस्टीज म्बोंगौ'}, 'shortNameTranslation': {'ar': 'ف. ب. مبونغو', 'bn': 'ভি. পি. মবুঙ্গৌ', 'hi': 'वी.पी. म्बोंगौ'}}}",True,save,assisted,"{'x': 10.7, 'y': 44.8, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 48.8, 'z': 7.6}",5441501,43,2534,"{'start': {'x': 44.8, 'y': 10.7}, 'block': {'x': 48, 'y': 1}, 'end': {'x': 51.2, 'y': 0}, 'goal': {'x': 51.2, 'y': 92.4}}",3,166,2534,shot,,"{'x': 1, 'y': 48, 'z': 0}"
"{'name': 'Diogo Bezerra', 'firstName': 'Diogo Bezerra', 'lastName': '', 'slug': 'diogo-bezerra', 'shortName': 'D. Bezerra', 'position': 'M', 'jerseyNumber': '7', 'userCount': 184, 'gender': 'M', 'id': 1176881, 'fieldTranslations': {'nameTranslation': {'ar': 'دييغو بيزيرا'}, 'shortNameTranslation': {'ar': 'د. بيزيرا'}}}",False,miss,free-kick,"{'x': 18.2, 'y': 70.9, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 42.2, 'z': 43.1}",5441491,42,2480,"{'start': {'x': 70.9, 'y': 18.2}, 'end': {'x': 57.8, 'y': 0}, 'goal': {'x': 57.8, 'y': 56.9}}",4,220,2480,shot,,
"{'name': 'Andrej Todoroski', 'firstName': '', 'lastName': '', 'slug': 'andrej-todoroski', 'shortName': 'A. Todoroski', 'position': 'M', 'jerseyNumber': '10', 'userCount': 89, 'gender': 'M', 'id': 888023, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريه تودوروسكي'}, 'shortNameTranslation': {'ar': 'أ. تودوروسكي'}}}",True,goal,regular,"{'x': 5.4, 'y': 51.7, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.4, 'z': 11.4}",5441447,36,2106,"{'start': {'x': 51.7, 'y': 5.4}, 'end': {'x': 51.6, 'y': 0}, 'goal': {'x': 51.6, 'y': 88.6}}",10,594,2106,shot,regular,
"{'name': 'Vieljeux Prestige Mboungou', 'firstName': '', 'lastName': '', 'slug': 'vieljeux-prestige-mboungou', 'shortName': 'V. P. Mboungou', 'position': 'M', 'jerseyNumber': '29', 'userCount': 260, 'gender': 'M', 'id': 923865, 'fieldTranslations': {'nameTranslation': {'ar': 'بريستيج مبونغو', 'bn': 'ভিয়েলজেউক্স প্রেস্টিজ মবুঙ্গৌ', 'hi': 'विएलजेक्स प्रेस्टीज म्बोंगौ'}, 'shortNameTranslation': {'ar': 'ف. ب. مبونغو', 'bn': 'ভি. পি. মবুঙ্গৌ', 'hi': 'वी.पी. म्बोंगौ'}}}",True,block,assisted,"{'x': 17.5, 'y': 46.2, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 48.9, 'z': 19}",5441383,36,2104,"{'start': {'x': 46.2, 'y': 17.5}, 'block': {'x': 46.9, 'y': 14.7}, 'end': {'x': 51.1, 'y': 0}, 'goal': {'x': 51.1, 'y': 81}}",10,596,2104,shot,,"{'x': 14.7, 'y': 46.9, 'z': 0}"
"{'name': 'Uroš Kabić', 'firstName': '', 'lastName': '', 'slug': 'uros-kabic', 'shortName': 'U. Kabić', 'position': 'M', 'jerseyNumber': '17', 'userCount': 254, 'gender': 'M', 'id': 1087489, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروس كابيتش', 'bn': 'উরোস কাবিচ', 'hi': 'उरोस काबिक'}, 'shortNameTranslation': {'ar': 'أ. كابيتش', 'bn': 'ইউ. কাবিচ', 'hi': 'यू. काबिक'}}}",False,miss,regular,"{'x': 10.4, 'y': 65.6, 'z': 0}",left-foot,close-left,"{'x': 0, 'y': 57.6, 'z': 38.9}",5441365,32,1892,"{'start': {'x': 65.6, 'y': 10.4}, 'end': {'x': 42.4, 'y': 0}, 'goal': {'x': 42.4, 'y': 61.1}}",14,808,1892,shot,,
"{'name': 'Sarpreet Singh', 'firstName': '', 'lastName': '', 'slug': 'sarpreet-singh', 'shortName': 'S. Singh', 'position': 'M', 'jerseyNumber': '9', 'userCount': 427, 'gender': 'M', 'id': 822743, 'fieldTranslations': {'nameTranslation': {'ar': 'ساربريت سينغ', 'bn': 'সরপ্রীত সিং', 'hi': 'सरप्रीत सिंह'}, 'shortNameTranslation': {'ar': 'س. سينغ', 'bn': 'এস. সিং', 'hi': 'बी. हेनेन'}}}",True,miss,assisted,"{'x': 11.4, 'y': 54.2, 'z': 0}",head,close-left,"{'x': 0, 'y': 59, 'z': 20.8}",5441327,26,1530,"{'start': {'x': 54.2, 'y': 11.4}, 'end': {'x': 41, 'y': 0}, 'goal': {'x': 41, 'y': 79.2}}",20,1170,1530,shot,,
"{'name': 'Uroš Kabić', 'firstName': '', 'lastName': '', 'slug': 'uros-kabic', 'shortName': 'U. Kabić', 'position': 'M', 'jerseyNumber': '17', 'userCount': 254, 'gender': 'M', 'id': 1087489, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروس كابيتش', 'bn': 'উরোস কাবিচ', 'hi': 'उरोस काबिक'}, 'shortNameTranslation': {'ar': 'أ. كابيتش', 'bn': 'ইউ. কাবিচ', 'hi': 'यू. काबिक'}}}",False,miss,fast-break,"{'x': 21.2, 'y': 68.1, 'z': 0}",left-foot,left,"{'x': 0, 'y': 66.9, 'z': 19.4}",5441281,24,1386,"{'start': {'x': 68.1, 'y': 21.2}, 'end': {'x': 33.1, 'y': 0}, 'goal': {'x': 33.1, 'y': 80.6}}",22,1314,1386,shot,,
"{'name': 'Diogo Bezerra', 'firstName': 'Diogo Bezerra', 'lastName': '', 'slug': 'diogo-bezerra', 'shortName': 'D. Bezerra', 'position': 'M', 'jerseyNumber': '7', 'userCount': 184, 'gender': 'M', 'id': 1176881, 'fieldTranslations': {'nameTranslation': {'ar': 'دييغو بيزيرا'}, 'shortNameTranslation': {'ar': 'د. بيزيرا'}}}",False,save,assisted,"{'x': 12.6, 'y': 38, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49, 'z': 9.5}",5441267,21,1222,"{'start': {'x': 38, 'y': 12.6}, 'block': {'x': 48.9, 'y': 1.8}, 'end': {'x': 51, 'y': 0}, 'goal': {'x': 51, 'y': 90.5}}",25,1478,1222,shot,,"{'x': 1.8, 'y': 48.9, 'z': 0}"
"{'name': 'Nikola Knežević', 'firstName': 'Nikola Knezevic', 'slug': 'nikola-knezevic', 'shortName': 'N. Knežević', 'position': 'M', 'jerseyNumber': '11', 'userCount': 216, 'gender': 'M', 'id': 1147565, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا كنيزيفيتش'}, 'shortNameTranslation': {'ar': 'ن. كنيزيفيتش'}}}",False,miss,assisted,"{'x': 15, 'y': 30.3, 'z': 0}",left-foot,high,"{'x': 0, 'y': 50.4, 'z': 97.2}",5441253,19,1101,"{'start': {'x': 30.3, 'y': 15}, 'end': {'x': 49.6, 'y': 0}, 'goal': {'x': 49.6, 'y': 2.8}}",27,1599,1101,shot,,
"{'name': 'Andrej Todoroski', 'firstName': '', 'lastName': '', 'slug': 'andrej-todoroski', 'shortName': 'A. Todoroski', 'position': 'M', 'jerseyNumber': '10', 'userCount': 89, 'gender': 'M', 'id': 888023, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريه تودوروسكي'}, 'shortNameTranslation': {'ar': 'أ. تودوروسكي'}}}",True,save,assisted,"{'x': 23.5, 'y': 64, 'z': 0}",left-foot,high-centre,"{'x': 0, 'y': 49.7, 'z': 25.9}",5441239,18,1023,"{'start': {'x': 64, 'y': 23.5}, 'block': {'x': 52.3, 'y': 1}, 'end': {'x': 50.3, 'y': 0}, 'goal': {'x': 50.3, 'y': 74.1}}",28,1677,1023,shot,,"{'x': 1, 'y': 52.3, 'z': 0}"
"{'name': 'Stefan Šćepović', 'slug': 'stefan-scepovic', 'shortName': 'S. Šćepović', 'position': 'F', 'jerseyNumber': '12', 'userCount': 71, 'gender': 'M', 'id': 77512, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان سيبوفيتش'}, 'shortNameTranslation': {'ar': 'س. سيبوفيتش'}}}",False,miss,fast-break,"{'x': 3.4, 'y': 50.9, 'z': 0}",head,left,"{'x': 0, 'y': 62.4, 'z': 19.4}",5441224,16,932,"{'start': {'x': 50.9, 'y': 3.4}, 'end': {'x': 37.6, 'y': 0}, 'goal': {'x': 37.6, 'y': 80.6}}",30,1768,932,shot,,
"{'name': 'Uroš Kabić', 'firstName': '', 'lastName': '', 'slug': 'uros-kabic', 'shortName': 'U. Kabić', 'position': 'M', 'jerseyNumber': '17', 'userCount': 254, 'gender': 'M', 'id': 1087489, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروس كابيتش', 'bn': 'উরোস কাবিচ', 'hi': 'उरोस काबिक'}, 'shortNameTranslation': {'ar': 'أ. كابيتش', 'bn': 'ইউ. কাবিচ', 'hi': 'यू. काबिक'}}}",False,miss,fast-break,"{'x': 13.1, 'y': 42.7, 'z': 0}",left-foot,close-right,"{'x': 0, 'y': 41.8, 'z': 1.4}",5441134,8,423,"{'start': {'x': 42.7, 'y': 13.1}, 'end': {'x': 58.2, 'y': 0}, 'goal': {'x': 58.2, 'y': 98.6}}",38,2277,423,shot,,
"{'name': 'Stefan Šćepović', 'slug': 'stefan-scepovic', 'shortName': 'S. Šćepović', 'position': 'F', 'jerseyNumber': '12', 'userCount': 71, 'gender': 'M', 'id': 77512, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان سيبوفيتش'}, 'shortNameTranslation': {'ar': 'س. سيبوفيتش'}}}",False,miss,corner,"{'x': 4.3, 'y': 46.6, 'z': 0}",head,left,"{'x': 0, 'y': 69.9, 'z': 23.6}",5441074,5,283,"{'start': {'x': 46.6, 'y': 4.3}, 'end': {'x': 30.1, 'y': 0}, 'goal': {'x': 30.1, 'y': 76.4}}",41,2417,283,shot,,
"{'name': 'Miloš Degenek', 'slug': 'milos-degenek', 'shortName': 'M. Degenek', 'position': 'D', 'jerseyNumber': '5', 'userCount': 450, 'gender': 'M', 'id': 155961, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلوس ديجينيك', 'bn': 'মিলোস ডেজেনেক', 'hi': 'मिलोस डेगेनेक'}, 'shortNameTranslation': {'ar': 'م. ديجينيك', 'bn': 'এম. ডেজেনেক', 'hi': 'एम. डेगेनेक'}}}",True,miss,regular,"{'x': 34, 'y': 63, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 41.3, 'z': 73.6}",5441059,3,169,"{'start': {'x': 63, 'y': 34}, 'end': {'x': 58.7, 'y': 0}, 'goal': {'x': 58.7, 'y': 26.4}}",43,2531,169,shot,,
