match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,shotOffTarget,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,shotValueNormalized,totalCross,fouls,keyPass,accurateCross,onTargetScoringAttempt,dispossessed,totalOffside,blockedScoringAttempt,bigChanceMissed,bigChanceCreated,goals,hitWoodwork,goodHighClaim
14015421,home,3115,FK TSC Bačka Topola,1132010,Veljko Ilić,veljko-ilic,G,12,False,35.0,25.0,16.0,6.0,0.0,24.0,25.0,1.0,10.0,2.0,9.0,3.0,3.0,1.0,1.0,1.0,90.0,47.0,6.9,10.0,0.6195,"{'original': 6.9, 'alternative': 6.6}",0,0.04,0.0,-0.26,0.36,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,71.42857142857143,37.5,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015421,home,263360,FK TSC Bačka Topola,1584979,Stefan Mladenović,stefan-mladenovic,D,15,False,36.0,30.0,5.0,3.0,0.0,14.0,18.0,16.0,18.0,3.0,3.0,,,,,,90.0,75.0,7.3,10.0,,"{'original': 7.3, 'alternative': 7.9}",1,0.27,0.26,-0.42,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,4,13,11,2,83.33333333333334,60.0,,100.0,,2.0,2.0,4.0,13.0,2.0,2.0,2.0,1.0,1.0,4.0,7.0,7.0,3.0,2.0,-0.29,,,,,,,,,,,,,
14015421,home,3398,FK TSC Bačka Topola,155961,Miloš Degenek,milos-degenek,D,32,False,51.0,46.0,4.0,3.0,0.0,26.0,27.0,20.0,24.0,3.0,3.0,,,,,,90.0,57.0,6.2,5.0,,"{'original': 6.2, 'alternative': 6.3}",1,0.17,0.16,-0.56,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,1,2,90.19607843137256,75.0,,100.0,,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,,,,,,,-0.04,,,,,,,,,,,,,
14015421,home,263360,FK TSC Bačka Topola,1049576,Baptiste Roux,baptiste-roux,D,5,False,65.0,58.0,6.0,3.0,0.0,36.0,39.0,22.0,26.0,7.0,3.0,,,,,,90.0,77.0,6.6,8.0,,"{'original': 6.6, 'alternative': 6.5}",0,0.33,0.11,-0.48,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,2,3,89.23076923076924,50.0,,,,,3.0,3.0,5.0,,,,,,,,,,2.0,,1.0,3.0,1.0,,,,,,,,,,
14015421,home,263360,FK TSC Bačka Topola,879556,Stefan Jovanović,stefan-jovanovic,D,22,False,34.0,28.0,2.0,,0.0,14.0,16.0,14.0,18.0,2.0,4.0,,,,,,88.0,49.0,6.1,8.0,,"{'original': 6.1, 'alternative': 6.5}",0,0.12,0.08,-0.61,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,82.35294117647058,,33.33333333333333,,,,,2.0,2.0,2.0,,,,,1.0,1.0,1.0,,1.0,,3.0,,2.0,1.0,,,,,,,,,
14015421,home,263360,FK TSC Bačka Topola,1619543,Aleksandar Stančić,aleksandar-stancic,M,16,False,47.0,41.0,4.0,3.0,0.0,16.0,18.0,25.0,29.0,1.0,5.0,,,,,,90.0,57.0,6.9,7.0,,"{'original': 6.9, 'alternative': 6.9}",1,0.1,0.23,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,4,4,87.2340425531915,75.0,,50.0,,,2.0,4.0,6.0,1.0,2.0,1.0,,,,3.0,1.0,,,-0.03,,2.0,2.0,,1.0,,,,,,,,
14015421,home,263360,FK TSC Bačka Topola,589100,Saša Jovanović,sasa-jovanovic,M,8,False,20.0,14.0,1.0,,0.0,4.0,4.0,10.0,16.0,,1.0,,,,,,64.0,30.0,6.3,11.0,,"{'original': 6.3, 'alternative': 6.6}",0,-0.13,0.12,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,70.0,,33.33333333333333,,,,,3.0,2.0,,1.0,,,,,,,1.0,2.0,,3.0,1.0,2.0,1.0,,1.0,2.0,,,,,,
14015421,home,263360,FK TSC Bačka Topola,947036,Szabolcs Mezei,szabolcs-mezei,M,26,False,29.0,23.0,3.0,,0.0,6.0,9.0,17.0,20.0,,2.0,,,,,,77.0,37.0,6.3,11.0,,"{'original': 6.3, 'alternative': 6.5}",1,0.04,0.26,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,2,1,79.3103448275862,,,100.0,,1.0,1.0,2.0,3.0,,1.0,1.0,,,,1.0,,2.0,,-0.23,2.0,,,,1.0,1.0,,,,,,,
14015421,home,7568,FK TSC Bačka Topola,822743,Sarpreet Singh,sarpreet-singh,M,11,False,12.0,9.0,1.0,,0.0,4.0,5.0,5.0,7.0,,3.0,,,,,,63.0,23.0,6.4,8.0,,"{'original': 6.4, 'alternative': 6.5}",2,0.23,0.17,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,75.0,,,100.0,,,,3.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,2.0,,-0.38,1.0,,,,,2.0,,1.0,,,,,
14015421,home,263360,FK TSC Bačka Topola,923865,Vieljeux Prestige Mboungou,vieljeux-prestige-mboungou,M,29,False,20.0,19.0,2.0,1.0,0.0,6.0,6.0,13.0,14.0,,1.0,,,,,,78.0,41.0,6.8,11.0,,"{'original': 6.8, 'alternative': 6.7}",2,0.18,0.34,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,5,4,95.0,50.0,,25.0,,,,4.0,5.0,,4.0,1.0,,,1.0,1.0,1.0,4.0,3.0,0.12,1.0,,1.0,,1.0,1.0,,1.0,1.0,,,,
