match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalContest,wonContest,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,interceptionWon,totalTackle,wonTackle,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,aerialWon,challengeLost,dispossessed,bigChanceMissed,shotOffTarget,unsuccessfulTouch,shotValueNormalized,bigChanceCreated,blockedScoringAttempt,outfielderBlock,wasFouled,onTargetScoringAttempt,totalOffside
14015609,home,263360,FK TSC Bačka Topola,589100,Saša Jovanović,sasa-jovanovic,F,8,False,7.0,4.0,,,0.0,1.0,1.0,3.0,6.0,,1.0,,,,,,,,,90.0,16.0,5.9,7.0,32.675738390627,4.0,-9.2399613220966,0.0,,"{'original': 5.9, 'alternative': 6.7}",3,-0.24,-0.59,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,57.14285714285714,,100.0,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,1.0,3.0,-0.51,,1.0,,,1.0,2.0
14015609,home,263360,FK TSC Bačka Topola,1102967,Vukašin Krstić,vukasin-krstic,D,4,True,44.0,43.0,3.0,2.0,0.0,20.0,21.0,23.0,23.0,2.0,,,2.0,,,,,,,78.0,54.0,7.2,2.0,188.54084350611,22.0,131.67620752782,1.0,,"{'original': 7.2, 'alternative': 7}",0,0.21,0.16,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,97.72727272727273,66.66666666666666,,,,,,1.0,3.0,2.0,1.0,,2.0,15.049286420261,15.857497438121,,1.0,,,,,,,,,,,,
14015609,home,263360,FK TSC Bačka Topola,2035083,Stefan Tomović,stefan-tomovic,M,42,True,9.0,8.0,,,0.0,1.0,1.0,7.0,8.0,1.0,1.0,1.0,,3.0,,,,,,27.0,14.0,6.8,3.0,64.853356395917,5.0,41.880738752306,1.0,,"{'original': 6.8, 'alternative': 6.8}",0,0.1,0.13,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,88.88888888888889,,,100.0,,,,,,,,,,23.352606633152,25.067748702267,,,,,,,2.0,,,,,,,
14015609,home,263360,FK TSC Bačka Topola,923865,Vieljeux Prestige Mboungou,vieljeux-prestige-mboungou,F,29,True,11.0,10.0,,,0.0,1.0,1.0,9.0,10.0,2.0,1.0,,,,,,,,,27.0,14.0,6.8,2.0,121.54299431116,10.0,57.26481181234,3.0,,"{'original': 6.8, 'alternative': 6.9}",1,0.1,0.2,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,90.9090909090909,,,,,,,,2.0,,,,,26.013624203497,47.528035369122,1.0,1.0,1.0,,,,,-0.17,,,,1.0,1.0,
14015609,home,263360,FK TSC Bačka Topola,947036,Szabolcs Mezei,szabolcs-mezei,M,26,True,12.0,10.0,2.0,1.0,0.0,5.0,5.0,5.0,7.0,,,,,1.0,,,,,,16.0,14.0,6.6,3.0,34.175699715267,5.0,-1.0880576219923,0.0,,"{'original': 6.6, 'alternative': 6.8}",1,0.03,0.01,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,83.33333333333334,50.0,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,-0.29,,,,,,
14015609,home,263360,FK TSC Bačka Topola,980796,Dragoljub Savić,dragoljub-savic,F,21,True,8.0,6.0,,,0.0,,1.0,6.0,7.0,,,,,,,,,,,16.0,17.0,6.5,6.0,43.749653743464,6.0,-3.2163187500711,0.0,,"{'original': 6.5, 'alternative': 6.7}",0,0.14,-0.39,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,75.0,,50.0,,,2.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,2.0,,1.0,,,,,
14015609,home,802392,FK TSC Bačka Topola,1983676,Miloš Soprenić,milos-soprenic,F,55,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015609,home,263360,FK TSC Bačka Topola,1586205,Bogdan Petrović,bogdan-petrovic,F,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015609,home,263360,FK TSC Bačka Topola,1005774,Bojan Dimoski,bojan-dimoski,D,20,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015609,home,263360,FK TSC Bačka Topola,1584979,Stefan Mladenović,stefan-mladenovic,M,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
