match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,bigChanceCreated,onTargetScoringAttempt,goals,unsuccessfulTouch,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,shotValueNormalized,interceptionWon,errorLeadToAShot,totalTackle,wonTackle,challengeLost,totalContest,dispossessed,blockedScoringAttempt,shotOffTarget,bigChanceMissed,ownGoals,wonContest,goodHighClaim,punches,outfielderBlock
14015580,home,111127,FK Radnik Surdulica,954755,Stefan Ranđelović,stefan-randjelovic,G,99,False,16.0,14.0,4.0,2.0,0.0,14.0,14.0,2.0,2.0,9.0,1.0,2.0,2.0,2.0,90.0,25.0,6.0,2.0,52.183224929954,7.0,-1.5723518680373,0.0,0.508,"{'original': 6, 'alternative': 6.1}",0,0.0,-0.01,-0.28,0.36,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,87.5,50.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015580,home,111127,FK Radnik Surdulica,1147541,Mateja Gašić,mateja-gasic,D,66,False,40.0,29.0,4.0,3.0,1.0,7.0,10.0,30.0,2.0,2.0,,,,,90.0,74.0,8.1,23.0,212.52892530393,23.0,68.881632457814,4.0,,"{'original': 8.1, 'alternative': 8.4}",2,0.34,0.31,-0.55,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,2,2,72.5,75.0,23.076923076923077,,,22.0,13.0,3.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,23.0671735103,66.65928668476,1.0,0.54,,,,,,,,,,,,,,,
14015580,home,111127,FK Radnik Surdulica,1215907,David Stojanović,david-stojanovic,D,6,False,21.0,15.0,4.0,3.0,0.0,9.0,12.0,9.0,,3.0,,,,,45.0,24.0,5.7,8.0,106.22802744943,12.0,36.015971711378,1.0,,"{'original': 5.7, 'alternative': 6}",0,0.06,0.06,-0.65,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,71.42857142857143,75.0,,,,6.0,1.0,,,,,,,,,1.0,,,15.666895824169,21.950956698969,,,1.0,1.0,,,,,,,,,,,,,
14015580,home,111127,FK Radnik Surdulica,1388249,Sandro Trémoulet,sandro-tremoulet,D,18,False,63.0,52.0,6.0,1.0,0.0,33.0,38.0,25.0,3.0,5.0,,,,,90.0,76.0,6.8,11.0,417.20391587404,46.0,207.91646956891,4.0,,"{'original': 6.8, 'alternative': 6.6}",0,0.16,0.22,-0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,7,3,2,1,82.53968253968253,16.666666666666664,100.0,,,19.0,1.0,1.0,2.0,5.0,3.0,7.0,,,,,,1.0,22.246060236873,77.06341901599,,,1.0,,2.0,2.0,,,,,,,,,,,
14015580,home,111127,FK Radnik Surdulica,1147568,Sadick Abubakar,sadick-abubakar,D,37,False,56.0,44.0,11.0,4.0,0.0,25.0,28.0,28.0,1.0,2.0,,,,,90.0,78.0,7.1,15.0,310.26938981524,31.0,86.488723769496,2.0,,"{'original': 7.1, 'alternative': 7.3}",1,0.13,0.18,-0.56,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,3,4,78.57142857142857,36.36363636363637,50.0,,,19.0,2.0,1.0,,1.0,4.0,4.0,,1.0,1.0,,2.0,2.0,22.320810568794,39.032902309476,2.0,0.51,3.0,,1.0,1.0,1.0,1.0,,,,,,,,,
14015580,home,111127,FK Radnik Surdulica,804662,Aleksandar Pejović,aleksandar-pejovic,M,28,False,43.0,35.0,8.0,6.0,0.0,9.0,10.0,33.0,2.0,9.0,,,,,58.0,59.0,7.0,18.0,142.38641315056,16.0,68.549580608471,0.0,,"{'original': 7, 'alternative': 6.9}",0,0.3,0.15,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,81.3953488372093,75.0,,,,26.0,8.0,,,,1.0,2.0,,,,1.0,,,,,1.0,,,,2.0,1.0,1.0,,,,,,,,,,
14015580,home,111127,FK Radnik Surdulica,1165840,Miloš Popović,milos-popovic,M,5,False,27.0,22.0,2.0,1.0,0.0,10.0,11.0,16.0,,2.0,,,,,90.0,33.0,6.2,7.0,105.47344430754,16.0,42.667356309578,1.0,,"{'original': 6.2, 'alternative': 6.4}",1,-0.07,0.25,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,81.48148148148148,50.0,,,,12.0,1.0,,2.0,,4.0,1.0,,,,,1.0,1.0,8.2838605773862,8.2961148135739,1.0,-0.07,1.0,,,,,,1.0,1.0,,,,,,,
14015580,home,111127,FK Radnik Surdulica,1801667,Lazar Stojanović,lazar-stojanovic,M,20,False,32.0,25.0,1.0,,0.0,5.0,6.0,26.0,,4.0,,,,,90.0,60.0,7.5,23.0,299.12600093547,33.0,82.758101547912,5.0,,"{'original': 7.5, 'alternative': 7.2}",3,0.63,0.37,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,3,0,78.125,,8.333333333333332,,,20.0,12.0,1.0,,,,3.0,,1.0,,3.0,1.0,,17.099784024496,81.642549804744,2.0,-0.31,1.0,,2.0,1.0,,,,1.0,1.0,,,,,,
14015580,home,111127,FK Radnik Surdulica,901590,Haris Hajdarević,haris-hajdarevic,M,4,False,35.0,29.0,5.0,3.0,0.0,5.0,7.0,28.0,,7.0,,,,,84.0,51.0,6.1,14.0,234.83266691667,24.0,98.380383337512,4.0,,"{'original': 6.1, 'alternative': 6.8}",2,0.06,0.36,-0.71,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,2,4,82.85714285714286,60.0,,,,24.0,2.0,,3.0,,7.0,2.0,,,,2.0,2.0,,31.298242964127,80.229486481767,4.0,-0.19,1.0,,,,,1.0,3.0,,2.0,1.0,1.0,,,,
14015580,home,111127,FK Radnik Surdulica,1130262,Đorđe Jovanović,dorde-jovanovic,M,88,False,8.0,7.0,1.0,1.0,0.0,1.0,2.0,6.0,,2.0,,,,,45.0,15.0,6.2,4.0,95.318242435255,7.0,52.041937839391,3.0,,"{'original': 6.2, 'alternative': 6.6}",3,0.0,0.04,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,87.5,100.0,,,,6.0,1.0,,1.0,1.0,3.0,2.0,,1.0,,1.0,,,23.46836256287,74.16957470363,,-0.32,,,1.0,1.0,1.0,,1.0,,2.0,,,,,,
