player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,goalkeeper,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,blockCoordinates
"{'name': 'Lazar Stojanović', 'firstName': 'Lazar', 'lastName': 'Stojanovic', 'slug': 'lazar-stojanovic', 'shortName': 'L. Stojanović', 'position': 'M', 'jerseyNumber': '20', 'userCount': 13, 'gender': 'M', 'id': 1801667, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار ستويانوفيتش'}, 'shortNameTranslation': {'ar': 'ل. ستويانوفيتش'}}}",True,miss,regular,"{'x': 25.7, 'y': 33.3, 'z': 0}",right-foot,right,"{'x': 0, 'y': 37.1, 'z': 1.4}","{'name': 'Marko Milošević', 'firstName': '', 'lastName': '', 'slug': 'marko-milosevic', 'shortName': 'M. Milošević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 406, 'gender': 'M', 'id': 844305, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو ميلوشيفيتش'}, 'shortNameTranslation': {'ar': 'م. ميلوشيفيتش'}}}",6658912,90,5.0,5668,"{'start': {'x': 33.3, 'y': 25.7}, 'end': {'x': 62.9, 'y': 0}, 'goal': {'x': 62.9, 'y': 98.6}}",1,632,268,shot,,
"{'name': 'Mateja Gašić', 'firstName': 'Mateja Gasic', 'slug': 'mateja-gasic', 'shortName': 'M. Gašić', 'position': 'D', 'jerseyNumber': '66', 'userCount': 40, 'gender': 'M', 'id': 1147541, 'fieldTranslations': {'nameTranslation': {'ar': 'ماتيا غاشيتش'}, 'shortNameTranslation': {'ar': 'م. غاشيتش'}}}",True,goal,assisted,"{'x': 19.7, 'y': 70.3, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 54.3, 'z': 28.5}","{'name': 'Marko Milošević', 'firstName': '', 'lastName': '', 'slug': 'marko-milosevic', 'shortName': 'M. Milošević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 406, 'gender': 'M', 'id': 844305, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو ميلوشيفيتش'}, 'shortNameTranslation': {'ar': 'م. ميلوشيفيتش'}}}",6658821,90,1.0,5425,"{'start': {'x': 70.3, 'y': 19.7}, 'end': {'x': 45.7, 'y': 0}, 'goal': {'x': 45.7, 'y': 71.5}}",1,875,25,shot,regular,
"{'name': 'Ayouba Kosiah', 'firstName': '', 'lastName': '', 'slug': 'ayouba-kosiah', 'shortName': 'A. Kosiah', 'position': 'F', 'jerseyNumber': '92', 'userCount': 257, 'gender': 'M', 'id': 1046939, 'fieldTranslations': {'nameTranslation': {'ar': 'أيوبا كوسية', 'bn': 'আইয়ুবা কোসিয়াহ', 'hi': 'अयौबा कोसिया'}, 'shortNameTranslation': {'ar': 'أ. كوسية', 'bn': 'এ. কোসিয়াহ', 'hi': 'ए. कोसिया'}}}",True,block,assisted,"{'x': 9.8, 'y': 51.7, 'z': 0}",head,low-left,"{'x': 0, 'y': 52.4, 'z': 19}","{'name': 'Marko Milošević', 'firstName': '', 'lastName': '', 'slug': 'marko-milosevic', 'shortName': 'M. Milošević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 406, 'gender': 'M', 'id': 844305, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو ميلوشيفيتش'}, 'shortNameTranslation': {'ar': 'م. ميلوشيفيتش'}}}",6658735,82,,4909,"{'start': {'x': 51.7, 'y': 9.8}, 'block': {'x': 51, 'y': 8.2}, 'end': {'x': 47.6, 'y': 0}, 'goal': {'x': 47.6, 'y': 81}}",9,491,2209,shot,,"{'x': 8.2, 'y': 51, 'z': 0}"
"{'name': 'Martin Novaković', 'firstName': '', 'lastName': '', 'slug': 'martin-novakovic', 'shortName': 'M. Novaković', 'position': 'M', 'jerseyNumber': '30', 'userCount': 57, 'gender': 'M', 'id': 997184, 'fieldTranslations': {'nameTranslation': {'ar': 'مارتن نوفاكوفيتش'}, 'shortNameTranslation': {'ar': 'م. نوفاكوفيتش'}}}",True,save,assisted,"{'x': 23.5, 'y': 61.5, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.5, 'z': 7.6}","{'name': 'Marko Milošević', 'firstName': '', 'lastName': '', 'slug': 'marko-milosevic', 'shortName': 'M. Milošević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 406, 'gender': 'M', 'id': 844305, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو ميلوشيفيتش'}, 'shortNameTranslation': {'ar': 'م. ميلوشيفيتش'}}}",6658720,80,,4772,"{'start': {'x': 61.5, 'y': 23.5}, 'block': {'x': 51.6, 'y': 2.5}, 'end': {'x': 49.5, 'y': 0}, 'goal': {'x': 49.5, 'y': 92.4}}",11,628,2072,shot,,"{'x': 2.5, 'y': 51.6, 'z': 0}"
"{'name': 'Haris Hajdarević', 'slug': 'haris-hajdarevic', 'shortName': 'H. Hajdarević', 'position': 'M', 'jerseyNumber': '4', 'userCount': 39, 'gender': 'M', 'id': 901590, 'fieldTranslations': {'nameTranslation': {'ar': 'هاريس حاجداريفيتش', 'bn': 'হারিস হাজদারেভিচ', 'hi': 'हारिस हजदारेविक'}, 'shortNameTranslation': {'ar': 'ه. حاجداريفيتش', 'bn': 'এইচ. হাজদারেভিচ', 'hi': 'एच. हजदारेविक'}}}",True,miss,assisted,"{'x': 25.1, 'y': 57.5, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 57.6, 'z': 1.4}","{'name': 'Marko Milošević', 'firstName': '', 'lastName': '', 'slug': 'marko-milosevic', 'shortName': 'M. Milošević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 406, 'gender': 'M', 'id': 844305, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو ميلوشيفيتش'}, 'shortNameTranslation': {'ar': 'م. ميلوشيفيتش'}}}",6658686,76,,4516,"{'start': {'x': 57.5, 'y': 25.1}, 'end': {'x': 42.4, 'y': 0}, 'goal': {'x': 42.4, 'y': 98.6}}",15,884,1816,shot,,
"{'name': 'Ayouba Kosiah', 'firstName': '', 'lastName': '', 'slug': 'ayouba-kosiah', 'shortName': 'A. Kosiah', 'position': 'F', 'jerseyNumber': '92', 'userCount': 257, 'gender': 'M', 'id': 1046939, 'fieldTranslations': {'nameTranslation': {'ar': 'أيوبا كوسية', 'bn': 'আইয়ুবা কোসিয়াহ', 'hi': 'अयौबा कोसिया'}, 'shortNameTranslation': {'ar': 'أ. كوسية', 'bn': 'এ. কোসিয়াহ', 'hi': 'ए. कोसिया'}}}",True,miss,assisted,"{'x': 4.6, 'y': 51.7, 'z': 0}",left-foot,close-right,"{'x': 0, 'y': 41.8, 'z': 12.5}","{'name': 'Marko Milošević', 'firstName': '', 'lastName': '', 'slug': 'marko-milosevic', 'shortName': 'M. Milošević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 406, 'gender': 'M', 'id': 844305, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو ميلوشيفيتش'}, 'shortNameTranslation': {'ar': 'م. ميلوشيفيتش'}}}",6658673,69,,4131,"{'start': {'x': 51.7, 'y': 4.6}, 'end': {'x': 58.2, 'y': 0}, 'goal': {'x': 58.2, 'y': 87.5}}",22,1269,1431,shot,,
"{'name': 'Mateja Gašić', 'firstName': 'Mateja Gasic', 'slug': 'mateja-gasic', 'shortName': 'M. Gašić', 'position': 'D', 'jerseyNumber': '66', 'userCount': 40, 'gender': 'M', 'id': 1147541, 'fieldTranslations': {'nameTranslation': {'ar': 'ماتيا غاشيتش'}, 'shortNameTranslation': {'ar': 'م. غاشيتش'}}}",True,save,assisted,"{'x': 22.3, 'y': 67.5, 'z': 0}",left-foot,high-centre,"{'x': 0, 'y': 51.3, 'z': 29.1}","{'name': 'Marko Milošević', 'firstName': '', 'lastName': '', 'slug': 'marko-milosevic', 'shortName': 'M. Milošević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 406, 'gender': 'M', 'id': 844305, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو ميلوشيفيتش'}, 'shortNameTranslation': {'ar': 'م. ميلوشيفيتش'}}}",6658641,69,,4125,"{'start': {'x': 67.5, 'y': 22.3}, 'block': {'x': 51.4, 'y': 2.3}, 'end': {'x': 48.7, 'y': 0}, 'goal': {'x': 48.7, 'y': 70.9}}",22,1275,1425,shot,,"{'x': 2.3, 'y': 51.4, 'z': 0}"
"{'name': 'Lazar Stojanović', 'firstName': 'Lazar', 'lastName': 'Stojanovic', 'slug': 'lazar-stojanovic', 'shortName': 'L. Stojanović', 'position': 'M', 'jerseyNumber': '20', 'userCount': 13, 'gender': 'M', 'id': 1801667, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار ستويانوفيتش'}, 'shortNameTranslation': {'ar': 'ل. ستويانوفيتش'}}}",True,save,assisted,"{'x': 15.8, 'y': 32.3, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.4, 'z': 3.2}","{'name': 'Marko Milošević', 'firstName': '', 'lastName': '', 'slug': 'marko-milosevic', 'shortName': 'M. Milošević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 406, 'gender': 'M', 'id': 844305, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو ميلوشيفيتش'}, 'shortNameTranslation': {'ar': 'م. ميلوشيفيتش'}}}",6658570,64,,3818,"{'start': {'x': 32.3, 'y': 15.8}, 'block': {'x': 47.5, 'y': 1.1}, 'end': {'x': 48.6, 'y': 0}, 'goal': {'x': 48.6, 'y': 96.8}}",27,1582,1118,shot,,"{'x': 1.1, 'y': 47.5, 'z': 0}"
"{'name': 'Miloš Popović', 'firstName': 'Milos Popovic', 'slug': 'milos-popovic', 'shortName': 'M. Popović', 'position': 'M', 'jerseyNumber': '5', 'userCount': 27, 'gender': 'M', 'id': 1165840, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلوش بوبوفيتش'}, 'shortNameTranslation': {'ar': 'م. بوبوفيتش'}}}",True,block,assisted,"{'x': 26.6, 'y': 46.2, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.3, 'z': 19}","{'name': 'Marko Milošević', 'firstName': '', 'lastName': '', 'slug': 'marko-milosevic', 'shortName': 'M. Milošević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 406, 'gender': 'M', 'id': 844305, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو ميلوشيفيتش'}, 'shortNameTranslation': {'ar': 'م. ميلوشيفيتش'}}}",6658524,56,,3351,"{'start': {'x': 46.2, 'y': 26.6}, 'block': {'x': 46.8, 'y': 22.4}, 'end': {'x': 49.7, 'y': 0}, 'goal': {'x': 49.7, 'y': 81}}",35,2049,651,shot,,"{'x': 22.4, 'y': 46.8, 'z': 0}"
"{'name': 'Haris Hajdarević', 'slug': 'haris-hajdarevic', 'shortName': 'H. Hajdarević', 'position': 'M', 'jerseyNumber': '4', 'userCount': 39, 'gender': 'M', 'id': 901590, 'fieldTranslations': {'nameTranslation': {'ar': 'هاريس حاجداريفيتش', 'bn': 'হারিস হাজদারেভিচ', 'hi': 'हारिस हजदारेविक'}, 'shortNameTranslation': {'ar': 'ه. حاجداريفيتش', 'bn': 'এইচ. হাজদারেভিচ', 'hi': 'एच. हजदारेविक'}}}",True,miss,assisted,"{'x': 31.8, 'y': 33.3, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 59.2, 'z': 2.8}","{'name': 'Marko Milošević', 'firstName': '', 'lastName': '', 'slug': 'marko-milosevic', 'shortName': 'M. Milošević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 406, 'gender': 'M', 'id': 844305, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو ميلوشيفيتش'}, 'shortNameTranslation': {'ar': 'م. ميلوشيفيتش'}}}",6658433,47,,2805,"{'start': {'x': 33.3, 'y': 31.8}, 'end': {'x': 40.8, 'y': 0}, 'goal': {'x': 40.8, 'y': 97.2}}",44,2595,105,shot,,
