match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,keyPass,aerialWon,shotOffTarget,shotValueNormalized,wasFouled,dispossessed,blockedScoringAttempt,penaltyWon,bigChanceCreated,outfielderBlock,onTargetScoringAttempt,goals,bigChanceMissed,totalOffside,penaltyFaced,penaltyConceded
14015414,home,25737,FK Radnički Niš,1470370,Luka Izderić,luka-izderic,M,89,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015414,home,25737,FK Radnički Niš,804837,Dejan Stanivuković,dejan-stanivukovic,G,94,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015414,home,25737,FK Radnički Niš,926681,Miljan Ilić,miljan-ilic,D,24,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015414,home,25737,FK Radnički Niš,1153961,Mateja Radonjić,mateja-radonjic,M,30,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015414,away,25736,FK Novi Pazar,1047325,Željko Samčović,zeljko-samcovic,G,1,False,22.0,6.0,20.0,4.0,0.0,4.0,4.0,2.0,18.0,1.0,7.0,1.0,1.0,1.0,1.0,90.0,31.0,6.3,16.0,0.0878,"{'original': 6.3, 'alternative': 6.2}",0,0.08,0.0,-0.19,0.1,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,27.27272727272727,20.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
14015414,away,25736,FK Novi Pazar,948696,Jovan Marinković,jovan-marinkovic,D,23,False,21.0,12.0,5.0,,0.0,4.0,5.0,8.0,16.0,4.0,4.0,,,,,90.0,47.0,6.4,14.0,,"{'original': 6.4, 'alternative': 6.9}",1,0.15,0.08,-0.38,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,4,3,57.14285714285714,,,50.0,,1.0,,,3.0,8.0,1.0,2.0,1.0,4.0,,,1.0,1.0,1.0,4.0,,-0.04,3.0,,1.0,,1.0,,,,,,,
14015414,away,25736,FK Novi Pazar,1023999,Ensar Brunčević,ensar-bruncevic,D,5,False,13.0,10.0,1.0,1.0,0.0,7.0,9.0,3.0,4.0,9.0,1.0,,,,,90.0,30.0,6.4,3.0,,"{'original': 6.4, 'alternative': 7.1}",1,-0.03,0.08,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,6,4,1,3,76.92307692307693,100.0,,,,,,3.0,6.0,4.0,1.0,,,,1.0,1.0,,3.0,,3.0,,-0.12,,,,,,3.0,1.0,,,,,
14015414,away,25736,FK Novi Pazar,1981962,Ahmed Hadzimujovic,ahmed-hadzimujovic,D,4,False,21.0,16.0,7.0,3.0,0.0,14.0,15.0,2.0,6.0,8.0,2.0,,,,,90.0,37.0,6.5,7.0,,"{'original': 6.5, 'alternative': 6.7}",0,0.16,0.01,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,76.19047619047619,42.857142857142854,,,,,,1.0,2.0,1.0,,,,3.0,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,,
14015414,away,25736,FK Novi Pazar,799179,Nemanja Miletić,nemanja-miletic,D,3,False,31.0,20.0,4.0,,0.0,7.0,14.0,13.0,17.0,3.0,6.0,,,,,90.0,64.0,6.1,18.0,,"{'original': 6.1, 'alternative': 6.5}",0,0.14,0.1,-0.37,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,3,2,64.51612903225806,,40.0,100.0,,5.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,,
14015414,away,25736,FK Novi Pazar,1147753,Ivan Davidović,ivan-davidovic,M,24,False,19.0,10.0,3.0,2.0,1.0,3.0,7.0,7.0,12.0,,3.0,,,,,73.0,43.0,6.5,16.0,,"{'original': 6.5, 'alternative': 7}",2,0.02,0.35,-0.46,,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,7,14,9,5,52.63157894736842,66.66666666666666,,100.0,,1.0,,3.0,8.0,13.0,2.0,2.0,2.0,1.0,5.0,4.0,6.0,3.0,2.0,4.0,1.0,0.0,2.0,,1.0,,,1.0,,,,,,1.0
