match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,duelLost,totalContest,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalCross,aerialLost,aerialWon,duelWon,dispossessed,onTargetScoringAttempt,totalClearance,lastManTackle,totalTackle,wonTackle,unsuccessfulTouch,penaltyConceded,wasFouled,fouls,shotValueNormalized,challengeLost,outfielderBlock,interceptionWon,bestBallCarryProgression,totalProgressiveBallCarriesDistance,accurateCross,wonContest,keyPass,bigChanceMissed,shotOffTarget,bigChanceCreated,blockedScoringAttempt,goals,totalOffside,penaltyWon
14015630,home,36967,FK Spartak Subotica,1649511,Francis Ebuka Nwokeabia,francis-ebuka-nwokeabia,M,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015630,home,36967,FK Spartak Subotica,2189184,Kudu Shama Abdul,kudu-shama-abdul,D,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015630,home,36967,FK Spartak Subotica,1515520,Nikola Grujić,nikola-grujic,G,45,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015630,home,36967,FK Spartak Subotica,124960,Muhamed Bešić,muhamed-besic,M,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015630,home,36967,FK Spartak Subotica,54775,Nemanja Milunović,nemanja-milunovic,D,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015630,home,36967,FK Spartak Subotica,1157899,Uroš Čejić,uros-cejic,F,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015630,home,36967,FK Spartak Subotica,1063790,Brian Ramírez,brian-ramirez,M,99,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015630,away,111127,FK Radnik Surdulica,1424357,Lazar Radojičić,lazar-radojicic,G,23,False,17.0,6.0,15.0,4.0,0.0,3.0,5.0,12.0,,,8.0,,1.0,,3.0,,,90.0,23.0,7.0,11.0,6.4445142563269,1.0,6.0903796097666,0.0,0.1821,"{'original': 7, 'alternative': 6.6}",0,0.05,0.01,-0.04,0.09,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,35.294117647058826,26.666666666666668,,,,3.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
14015630,away,111127,FK Radnik Surdulica,1147541,Mateja Gašić,mateja-gasic,D,66,False,23.0,10.0,8.0,2.0,1.0,2.0,5.0,18.0,5.0,2.0,2.0,,,,,,,90.0,51.0,6.3,23.0,91.625629401985,13.0,37.372867593062,0.0,,"{'original': 6.3, 'alternative': 6.7}",0,0.68,0.11,-0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,1,5,43.47826086956522,25.0,62.5,50.0,,8.0,8.0,,2.0,3.0,2.0,,1.0,,,,1.0,,,1.0,,1.0,,,,,5.0,1.0,6.0,,,,,,,
14015630,away,111127,FK Radnik Surdulica,1165840,Miloš Popović,milos-popovic,D,5,False,19.0,16.0,5.0,2.0,0.0,12.0,14.0,5.0,2.0,,3.0,,,,,,,90.0,33.0,6.4,3.0,91.179967908685,10.0,19.195874246939,0.0,,"{'original': 6.4, 'alternative': 6.7}",0,0.16,0.04,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,84.21052631578947,40.0,,,,4.0,,1.0,,1.0,,,9.0,,,,,,1.0,1.0,,,,3.0,,,,,,,,,,,,
