match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,interceptionWon,shotOffTarget,blockedScoringAttempt,keyPass,dispossessed
14147355,home,6219,FK Jedinstvo Bijelo Polje,905682,Rijad Dzafic,rijad-dzafic,G,71,False,33.0,26.0,11.0,4.0,0.0,22.0,25.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,90.0,41.0,7.6,6.0,0.0,0.0,"{'original': 7.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,78.78787878787878,36.36363636363637,,,0.0,,,,,
14147355,home,383337,FK Jedinstvo Bijelo Polje,1391886,Sead Dacić,sead-dacic,D,19,False,22.0,14.0,8.0,6.0,0.0,7.0,10.0,6.0,8.0,2.0,1.0,6.0,3.0,11.0,6.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,,60.0,37.0,7.1,15.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,9,8,3,5,63.63636363636363,75.0,50.0,100.0,,2.0,,,,
14147355,home,6219,FK Jedinstvo Bijelo Polje,960227,Ognjen Obradović,ognjen-obradovic,D,6,False,66.0,47.0,16.0,7.0,0.0,26.0,33.0,15.0,23.0,0.0,0.0,5.0,5.0,10.0,9.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,90.0,79.0,7.7,22.0,0.12,0.0,"{'original': 7.7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,10,9,4,5,71.21212121212122,43.75,,,,6.0,1.0,1.0,,
14147355,home,6219,FK Jedinstvo Bijelo Polje,807581,Miloš Nikolić,milos-nikolic,D,23,False,48.0,45.0,8.0,6.0,0.0,32.0,33.0,12.0,13.0,0.0,0.0,1.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,52.0,7.5,7.0,0.0,0.0,"{'original': 7.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,5,3,1,2,93.75,75.0,,,,,,,,
14147355,home,6219,FK Jedinstvo Bijelo Polje,1440632,Georgios Makrydakis,makrydakis-georgios,D,56,False,30.0,26.0,3.0,2.0,0.0,10.0,11.0,11.0,13.0,4.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,60.0,41.0,7.5,8.0,0.0,0.04,"{'original': 7.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,86.66666666666667,66.66666666666666,50.0,100.0,,6.0,,,1.0,
14147355,home,282802,FK Jedinstvo Bijelo Polje,1978656,Nemanja Pavićević,nemanja-pavicevic,M,17,False,5.0,4.0,2.0,1.0,0.0,1.0,1.0,3.0,4.0,0.0,0.0,2.0,0.0,16.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,,,,,,,60.0,24.0,6.1,5.0,0.0,0.0,"{'original': 6.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,2,18,4,14,80.0,50.0,,33.33333333333333,,,,,,1.0
14147355,home,6219,FK Jedinstvo Bijelo Polje,1536333,Stefan Radojevic,stefan-radojevic,M,8,False,23.0,16.0,5.0,1.0,0.0,7.0,11.0,8.0,11.0,1.0,0.0,2.0,3.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,,,,,,,85.0,32.0,6.5,10.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,5,7,3,4,69.56521739130434,20.0,0.0,,,1.0,,,,
14147355,home,6219,FK Jedinstvo Bijelo Polje,1185130,Arsenije Čepić,arsenije-cepic,M,15,False,55.0,49.0,6.0,2.0,0.0,19.0,21.0,23.0,26.0,0.0,0.0,0.0,0.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,21.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,,,,,,,90.0,72.0,7.8,13.0,0.05,0.03,"{'original': 7.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,0,15,5,10,89.0909090909091,33.33333333333333,,100.0,,6.0,1.0,,2.0,
14147355,home,6219,FK Jedinstvo Bijelo Polje,874418,Mirza Idrizović,mirza-idrizovic,M,10,False,24.0,15.0,4.0,2.0,0.0,5.0,8.0,10.0,16.0,0.0,0.0,3.0,1.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,,,,,,,68.0,34.0,6.4,11.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,4,9,3,6,62.5,50.0,,,,,,,,1.0
14147355,home,241802,FK Jedinstvo Bijelo Polje,1391884,Takeru Komiya,takeru-komiya,M,30,False,22.0,14.0,2.0,1.0,0.0,4.0,6.0,10.0,16.0,2.0,0.0,3.0,4.0,11.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,,,,,,,90.0,44.0,6.8,13.0,0.27,0.0,"{'original': 6.8, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,7,12,4,8,63.63636363636363,50.0,0.0,100.0,,1.0,1.0,1.0,,1.0
