match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,bigChanceMissed,shotOffTarget,blockedScoringAttempt,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,shotValueNormalized,accurateCross,dispossessed,totalContest,wonContest,bigChanceCreated,hitWoodwork,outfielderBlock,totalOffside,onTargetScoringAttempt,savedShotsFromInsideTheBox,saves,punches,keeperSaveValue,goalkeeperValueNormalized
14015427,home,43981,FK Radnički 1923,1152919,Luka Lijeskić,luka-lijeskic,G,81,False,19.0,15.0,7.0,3.0,0.0,14.0,16.0,1.0,3.0,2.0,90.0,21.0,6.5,4.0,"{'original': 6.5, 'alternative': 6.7}",0,0.01,0.02,-0.01,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,78.94736842105263,42.857142857142854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015427,home,43981,FK Radnički 1923,876751,Mehmed Ćosić,mehmed-cosic,D,8,False,57.0,49.0,4.0,3.0,0.0,15.0,15.0,34.0,42.0,8.0,90.0,82.0,7.3,13.0,"{'original': 7.3, 'alternative': 8}",3,0.23,0.36,0.19,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,4,2,85.96491228070175,75.0,,,,4.0,1.0,2.0,3.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,-0.56,,,,,,,,,,,,,,
14015427,home,43981,FK Radnički 1923,79383,Slobodan Simović,slobodan-simovic,D,14,False,55.0,46.0,9.0,7.0,0.0,23.0,26.0,23.0,29.0,11.0,90.0,69.0,8.2,10.0,"{'original': 8.2, 'alternative': 8.2}",2,0.58,0.31,0.34,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,6,4,3,1,83.63636363636363,77.77777777777779,100.0,100.0,,1.0,4.0,2.0,5.0,5.0,,1.0,2.0,,1.0,3.0,,,,1.0,,1.0,-0.35,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,
14015427,home,43981,FK Radnički 1923,80236,Milan Mitrović,milan-mitrovic,D,15,False,80.0,75.0,12.0,9.0,0.0,26.0,26.0,49.0,54.0,5.0,90.0,85.0,8.1,5.0,"{'original': 8.1, 'alternative': 7.6}",1,0.59,0.32,-0.04,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,5,4,0,4,93.75,75.0,100.0,,,1.0,1.0,4.0,5.0,4.0,2.0,,1.0,,2.0,1.0,,,,,2.0,1.0,0.0,1.0,,,,,,,,,,,,,
14015427,home,43981,FK Radnički 1923,1802942,Stefan Petkoski Cimbaljević,stefan-petkoski-cimbaljevic,D,33,False,36.0,32.0,1.0,1.0,0.0,4.0,6.0,28.0,30.0,4.0,77.0,61.0,7.5,16.0,"{'original': 7.5, 'alternative': 7.4}",1,0.17,0.01,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,5,1,88.88888888888889,100.0,,,,7.0,1.0,2.0,2.0,7.0,1.0,,,,1.0,,3.0,2.0,3.0,2.0,,,-0.14,,,,,,,,1.0,1.0,,,,,
14015427,home,43981,FK Radnički 1923,879829,Miloš Ristić,milos-ristic,M,27,False,60.0,54.0,5.0,2.0,0.0,17.0,18.0,37.0,42.0,10.0,90.0,78.0,7.5,9.0,"{'original': 7.5, 'alternative': 8.1}",5,0.29,0.32,-0.01,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,9,5,2,3,90.0,40.0,50.0,,,4.0,2.0,7.0,5.0,9.0,1.0,,3.0,1.0,,2.0,2.0,1.0,1.0,,2.0,4.0,-0.45,2.0,,,,,,,,1.0,,,,,
14015427,home,43981,FK Radnički 1923,1158017,Alfa Baldé,alfa-balde,M,17,False,37.0,31.0,1.0,1.0,0.0,4.0,6.0,27.0,31.0,2.0,90.0,62.0,7.4,19.0,"{'original': 7.4, 'alternative': 7.7}",3,1.0,0.51,0.13,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,83.78378378378379,100.0,45.45454545454545,25.0,,11.0,1.0,,4.0,1.0,,,2.0,1.0,,,,,4.0,,,5.0,-0.53,5.0,,4.0,1.0,1.0,,,,,,,,,
14015427,home,35268,FK Radnički 1923,1382153,Bogdan Mirčetić,bogdan-mircetic,M,44,False,43.0,36.0,1.0,,0.0,7.0,7.0,29.0,36.0,6.0,90.0,75.0,8.0,13.0,"{'original': 8, 'alternative': 8.3}",4,0.63,0.38,0.21,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,5,9,5,4,83.72093023255815,,83.33333333333334,100.0,,6.0,3.0,2.0,7.0,7.0,,,3.0,,1.0,,4.0,3.0,2.0,,2.0,4.0,-0.49,5.0,2.0,1.0,1.0,1.0,,,,1.0,,,,,
14015427,home,43981,FK Radnički 1923,1000815,Louay Ben Hassine,louay-ben-hassine,M,99,False,45.0,39.0,,,0.0,4.0,4.0,35.0,41.0,5.0,64.0,54.0,6.7,9.0,"{'original': 6.7, 'alternative': 7}",1,0.14,0.18,-0.01,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,3,1,86.66666666666667,,,,,,2.0,,3.0,3.0,,,1.0,,,,1.0,,2.0,2.0,,3.0,0.0,,,1.0,,,,,,,,,,,
14015427,home,295152,FK Radnički 1923,1005356,Kilian Bevis,kilian-bevis,M,10,False,20.0,17.0,2.0,1.0,0.0,3.0,3.0,14.0,17.0,2.0,64.0,45.0,6.6,15.0,"{'original': 6.6, 'alternative': 7}",4,0.11,0.21,0.15,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,3,6,85.0,50.0,33.33333333333333,33.33333333333333,,6.0,,,6.0,3.0,,,1.0,2.0,,,1.0,1.0,2.0,,1.0,1.0,-0.13,2.0,1.0,6.0,2.0,,,,1.0,1.0,,,,,
