player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType
"{'name': 'Slobodan Simović', 'slug': 'slobodan-simovic', 'shortName': 'S. Simović', 'position': 'D', 'jerseyNumber': '14', 'userCount': 37, 'gender': 'M', 'id': 79383, 'fieldTranslations': {'nameTranslation': {'ar': 'سلوبودان سيموفيتش', 'bn': 'স্লোবোদান সিমোভিচ', 'hi': 'स्लोबोदान सिमोविच'}, 'shortNameTranslation': {'ar': 'س. سيموفيتش', 'bn': 'এস. সিমোভিচ', 'hi': 'एस. सिमोविच'}}}",True,post,corner,"{'x': 6.4, 'y': 54.2, 'z': 0}",head,high,"{'x': 0, 'y': 47.7, 'z': 39.9}",,5442062,57,,3392,"{'start': {'x': 54.2, 'y': 6.4}, 'end': {'x': 52.3, 'y': 0}, 'goal': {'x': 52.3, 'y': 60.1}}",34,2008,692,shot
"{'name': 'Stefan Petkoski Cimbaljević', 'firstName': 'Stefan Petkoski Cimbaljevic', 'slug': 'stefan-petkoski-cimbaljevic', 'shortName': 'S. P. Cimbaljević', 'position': 'D', 'jerseyNumber': '33', 'userCount': 23, 'gender': 'M', 'id': 1802942, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان بيتكوسكي سيمبالجييفيتش'}, 'shortNameTranslation': {'ar': 'س. سيمبالجييفيتش'}}}",True,save,assisted,"{'x': 6, 'y': 32.3, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 54.4, 'z': 3.2}","{'x': 0.59999999999999, 'y': 48.2, 'z': 0}",5442050,57,,3362,"{'start': {'x': 32.3, 'y': 6}, 'block': {'x': 48.2, 'y': 0.59999999999999}, 'end': {'x': 45.6, 'y': 0}, 'goal': {'x': 45.6, 'y': 96.8}}",34,2038,662,shot
"{'name': 'Kilian Bevis', 'firstName': '', 'lastName': '', 'slug': 'kilian-bevis', 'shortName': 'K. Bevis', 'position': 'M', 'jerseyNumber': '10', 'userCount': 127, 'gender': 'M', 'id': 1005356, 'fieldTranslations': {'nameTranslation': {'ar': 'كيليان بيفيس'}, 'shortNameTranslation': {'ar': 'ك. بيفيس'}}}",True,miss,assisted,"{'x': 7.3, 'y': 33.8, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 56.3, 'z': 66.7}",,5441860,52,,3072,"{'start': {'x': 33.8, 'y': 7.3}, 'end': {'x': 43.7, 'y': 0}, 'goal': {'x': 43.7, 'y': 33.3}}",39,2328,372,shot
"{'name': 'Alfa Baldé', 'firstName': 'Alfa Baldé', 'lastName': '', 'slug': 'alfa-balde', 'shortName': 'A. Baldé', 'position': 'F', 'jerseyNumber': '17', 'userCount': 92, 'gender': 'M', 'id': 1158017, 'fieldTranslations': {'nameTranslation': {'ar': 'لوباس، فالنتين'}, 'shortNameTranslation': {'ar': 'ف. لوباس'}}}",True,miss,assisted,"{'x': 13.5, 'y': 68.1, 'z': 0}",left-foot,left,"{'x': 0, 'y': 65.4, 'z': 23.6}",,5441847,50,,2969,"{'start': {'x': 68.1, 'y': 13.5}, 'end': {'x': 34.6, 'y': 0}, 'goal': {'x': 34.6, 'y': 76.4}}",41,2431,269,shot
"{'name': 'Bogdan Mirčetić', 'slug': 'bogdan-mircetic', 'shortName': 'B. Mirčetić', 'position': 'M', 'jerseyNumber': '44', 'userCount': 325, 'gender': 'M', 'id': 1382153, 'fieldTranslations': {'nameTranslation': {'ar': 'بوغدان ميريتيتش'}, 'shortNameTranslation': {'ar': 'ب. ميريتيتش'}}}",True,save,assisted,"{'x': 19.2, 'y': 54.2, 'z': 0}",left-foot,high-centre,"{'x': 0, 'y': 51.3, 'z': 29.1}","{'x': 2.2, 'y': 49.8, 'z': 0}",5441831,48,,2840,"{'start': {'x': 54.2, 'y': 19.2}, 'block': {'x': 49.8, 'y': 2.2}, 'end': {'x': 48.7, 'y': 0}, 'goal': {'x': 48.7, 'y': 70.9}}",43,2560,140,shot
"{'name': 'Bogdan Mirčetić', 'slug': 'bogdan-mircetic', 'shortName': 'B. Mirčetić', 'position': 'M', 'jerseyNumber': '44', 'userCount': 325, 'gender': 'M', 'id': 1382153, 'fieldTranslations': {'nameTranslation': {'ar': 'بوغدان ميريتيتش'}, 'shortNameTranslation': {'ar': 'ب. ميريتيتش'}}}",True,miss,assisted,"{'x': 18.4, 'y': 63.8, 'z': 0}",left-foot,high,"{'x': 0, 'y': 53.9, 'z': 66.7}",,5441594,45,3.0,2822,"{'start': {'x': 63.8, 'y': 18.4}, 'end': {'x': 46.1, 'y': 0}, 'goal': {'x': 46.1, 'y': 33.3}}",1,2578,122,shot
"{'name': 'Louay Ben Hassine', 'slug': 'louay-ben-hassine', 'shortName': 'L. B. Hassine', 'position': 'M', 'jerseyNumber': '99', 'userCount': 214, 'gender': 'M', 'id': 1000815, 'fieldTranslations': {'nameTranslation': {'ar': 'لؤي بن حسين'}, 'shortNameTranslation': {'ar': 'ل. حسين'}}}",True,miss,free-kick,"{'x': 21.3, 'y': 29.9, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 58.8, 'z': 23.6}",,5441574,44,,2638,"{'start': {'x': 29.9, 'y': 21.3}, 'end': {'x': 41.2, 'y': 0}, 'goal': {'x': 41.2, 'y': 76.4}}",2,62,2638,shot
"{'name': 'Alfa Baldé', 'firstName': 'Alfa Baldé', 'lastName': '', 'slug': 'alfa-balde', 'shortName': 'A. Baldé', 'position': 'F', 'jerseyNumber': '17', 'userCount': 92, 'gender': 'M', 'id': 1158017, 'fieldTranslations': {'nameTranslation': {'ar': 'لوباس، فالنتين'}, 'shortNameTranslation': {'ar': 'ف. لوباس'}}}",True,miss,corner,"{'x': 21.2, 'y': 69.5, 'z': 0}",left-foot,right,"{'x': 0, 'y': 40, 'z': 20.8}",,5441486,39,,2323,"{'start': {'x': 69.5, 'y': 21.2}, 'end': {'x': 60, 'y': 0}, 'goal': {'x': 60, 'y': 79.2}}",7,377,2323,shot
"{'name': 'Kilian Bevis', 'firstName': '', 'lastName': '', 'slug': 'kilian-bevis', 'shortName': 'K. Bevis', 'position': 'M', 'jerseyNumber': '10', 'userCount': 127, 'gender': 'M', 'id': 1005356, 'fieldTranslations': {'nameTranslation': {'ar': 'كيليان بيفيس'}, 'shortNameTranslation': {'ar': 'ك. بيفيس'}}}",True,save,assisted,"{'x': 17.9, 'y': 26.8, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.4, 'z': 7.6}","{'x': 1.1, 'y': 48.4, 'z': 0}",5441475,38,,2223,"{'start': {'x': 26.8, 'y': 17.9}, 'block': {'x': 48.4, 'y': 1.1}, 'end': {'x': 47.6, 'y': 0}, 'goal': {'x': 47.6, 'y': 92.4}}",8,477,2223,shot
"{'name': 'Milan Vidakov', 'firstName': '', 'lastName': '', 'slug': 'vidakov-milan', 'shortName': 'M. Vidakov', 'position': 'F', 'jerseyNumber': '90', 'userCount': 33, 'gender': 'M', 'id': 1022058, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلان فيداكوف'}, 'shortNameTranslation': {'ar': 'م. فيداكوف'}}}",True,block,corner,"{'x': 7.9, 'y': 43, 'z': 0}",head,low-left,"{'x': 0, 'y': 52.2, 'z': 19}","{'x': 6.2, 'y': 44, 'z': 0}",5441474,36,,2133,"{'start': {'x': 43, 'y': 7.9}, 'block': {'x': 44, 'y': 6.2}, 'end': {'x': 47.8, 'y': 0}, 'goal': {'x': 47.8, 'y': 81}}",10,567,2133,shot
"{'name': 'Miloš Ristić', 'firstName': '', 'lastName': '', 'slug': 'milos-ristic', 'shortName': 'M. Ristić', 'position': 'M', 'jerseyNumber': '27', 'userCount': 27, 'gender': 'M', 'id': 879829, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلوش ريستيتش'}, 'shortNameTranslation': {'ar': 'م. ريستيتش'}}}",True,block,assisted,"{'x': 29.9, 'y': 30.5, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.3, 'z': 11.1}","{'x': 15.3, 'y': 40.2, 'z': 0}",5441363,30,,1753,"{'start': {'x': 30.5, 'y': 29.9}, 'block': {'x': 40.2, 'y': 15.3}, 'end': {'x': 47.7, 'y': 0}, 'goal': {'x': 47.7, 'y': 88.9}}",16,947,1753,shot
"{'name': 'Alfa Baldé', 'firstName': 'Alfa Baldé', 'lastName': '', 'slug': 'alfa-balde', 'shortName': 'A. Baldé', 'position': 'F', 'jerseyNumber': '17', 'userCount': 92, 'gender': 'M', 'id': 1158017, 'fieldTranslations': {'nameTranslation': {'ar': 'لوباس، فالنتين'}, 'shortNameTranslation': {'ar': 'ف. لوباس'}}}",True,block,assisted,"{'x': 9.7, 'y': 40.9, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 46.9, 'z': 5.6}","{'x': 4.6, 'y': 46.2, 'z': 0}",5441339,27,,1567,"{'start': {'x': 40.9, 'y': 9.7}, 'block': {'x': 46.2, 'y': 4.6}, 'end': {'x': 53.1, 'y': 0}, 'goal': {'x': 53.1, 'y': 94.4}}",19,1133,1567,shot
"{'name': 'Miloš Ristić', 'firstName': '', 'lastName': '', 'slug': 'milos-ristic', 'shortName': 'M. Ristić', 'position': 'M', 'jerseyNumber': '27', 'userCount': 27, 'gender': 'M', 'id': 879829, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلوش ريستيتش'}, 'shortNameTranslation': {'ar': 'م. ريستيتش'}}}",True,save,assisted,"{'x': 27.5, 'y': 52.3, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.2, 'z': 12.7}","{'x': 2.7, 'y': 51.4, 'z': 0}",5441294,25,,1451,"{'start': {'x': 52.3, 'y': 27.5}, 'block': {'x': 51.4, 'y': 2.7}, 'end': {'x': 49.8, 'y': 0}, 'goal': {'x': 49.8, 'y': 87.3}}",21,1249,1451,shot
"{'name': 'Mehmed Ćosić', 'firstName': '', 'lastName': '', 'slug': 'mehmed-cosic', 'shortName': 'M. Ćosić', 'position': 'D', 'jerseyNumber': '8', 'userCount': 46, 'gender': 'M', 'id': 876751, 'fieldTranslations': {'nameTranslation': {'ar': 'محمد يوسيتش', 'bn': 'মেহমেদ সিওসিচ', 'hi': 'मेहमद कोसिक'}, 'shortNameTranslation': {'ar': 'م. يوسيتش', 'bn': 'এম. সিওসিচ', 'hi': 'एम. कोसिक'}}}",True,block,regular,"{'x': 15.6, 'y': 58.9, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 48.2, 'z': 19}","{'x': 12, 'y': 56.9, 'z': 0}",5441241,16,,924,"{'start': {'x': 58.9, 'y': 15.6}, 'block': {'x': 56.9, 'y': 12}, 'end': {'x': 51.8, 'y': 0}, 'goal': {'x': 51.8, 'y': 81}}",30,1776,924,shot
"{'name': 'Slobodan Simović', 'slug': 'slobodan-simovic', 'shortName': 'S. Simović', 'position': 'D', 'jerseyNumber': '14', 'userCount': 37, 'gender': 'M', 'id': 79383, 'fieldTranslations': {'nameTranslation': {'ar': 'سلوبودان سيموفيتش', 'bn': 'স্লোবোদান সিমোভিচ', 'hi': 'स्लोबोदान सिमोविच'}, 'shortNameTranslation': {'ar': 'س. سيموفيتش', 'bn': 'এস. সিমোভিচ', 'hi': 'एस. सिमोविच'}}}",True,miss,assisted,"{'x': 27.7, 'y': 53.4, 'z': 0}",right-foot,left,"{'x': 0, 'y': 60.5, 'z': 30.6}",,5441180,11,,627,"{'start': {'x': 53.4, 'y': 27.7}, 'end': {'x': 39.5, 'y': 0}, 'goal': {'x': 39.5, 'y': 69.4}}",35,2073,627,shot
"{'name': 'Nikola Vukajlović', 'firstName': 'Nikola', 'lastName': 'Vukajlović', 'slug': 'nikola-vukajlovic', 'shortName': 'N. Vukajlović', 'position': 'D', 'jerseyNumber': '7', 'userCount': 16, 'gender': 'M', 'id': 937992, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا فوكاجلوفيتش'}, 'shortNameTranslation': {'ar': 'ن. فوكاجلوفيتش'}}}",False,miss,assisted,"{'x': 8, 'y': 49.1, 'z': 0}",head,close-high,"{'x': 0, 'y': 52.4, 'z': 52.8}",,5441152,7,,416,"{'start': {'x': 49.1, 'y': 8}, 'end': {'x': 47.6, 'y': 0}, 'goal': {'x': 47.6, 'y': 47.2}}",39,2284,416,shot
"{'name': 'Miloš Ristić', 'firstName': '', 'lastName': '', 'slug': 'milos-ristic', 'shortName': 'M. Ristić', 'position': 'M', 'jerseyNumber': '27', 'userCount': 27, 'gender': 'M', 'id': 879829, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلوش ريستيتش'}, 'shortNameTranslation': {'ar': 'م. ريستيتش'}}}",True,miss,corner,"{'x': 8, 'y': 44.2, 'z': 0}",head,right,"{'x': 0, 'y': 35.5, 'z': 31.9}","{'x': 6, 'y': 48.7, 'z': 0}",5441139,5,,263,"{'start': {'x': 44.2, 'y': 8}, 'block': {'x': 48.7, 'y': 6}, 'end': {'x': 64.5, 'y': 0}, 'goal': {'x': 64.5, 'y': 68.1}}",41,2437,263,shot
