match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,blockedScoringAttempt,shotOffTarget,hitWoodwork,keyPass,bigChanceMissed
14147372,home,24312,FK Jezero,1391888,Šaban Kolić,saban-kolic,G,1,False,28.0,21.0,12.0,6.0,0.0,16.0,18.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,90.0,35.0,7.3,5.0,0.0,0.0,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,75.0,50.0,,,0.0,,,,,,
14147372,home,24312,FK Jezero,1000154,Abdel Osmanović,abdel-osmanovic,D,2,False,24.0,16.0,5.0,3.0,0.0,5.0,6.0,9.0,15.0,0.0,0.0,3.0,1.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,35.0,6.7,20.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,4,9,1,8,66.66666666666666,60.0,,,,3.0,1.0,,,,
14147372,home,24312,FK Jezero,1035787,Nikola Jovićević,nikola-jovicevic,D,6,False,35.0,21.0,6.0,0.0,0.0,14.0,17.0,4.0,12.0,0.0,0.0,4.0,3.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,12.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,90.0,46.0,7.0,14.0,0.09,0.0,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,7,6,3,3,60.0,0.0,,,,,,1.0,,,
14147372,home,24312,FK Jezero,1182552,Nemanja Jovičić,nemanja-jovicic,D,27,False,34.0,25.0,12.0,4.0,0.0,19.0,22.0,2.0,8.0,0.0,0.0,2.0,2.0,11.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,90.0,45.0,6.8,8.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,4,13,4,9,73.52941176470588,33.33333333333333,,0.0,,,,,,,
14147372,home,24312,FK Jezero,812745,Ilija Tučević,ilija-tucevic,D,17,False,27.0,18.0,4.0,0.0,0.0,6.0,8.0,9.0,15.0,2.0,1.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,35.0,6.9,16.0,0.03,0.0,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,2,5,66.66666666666666,0.0,50.0,,,,,1.0,1.0,,
14147372,home,24312,FK Jezero,797928,Aldin Adžović,aldin-adzovic,M,5,False,31.0,18.0,8.0,1.0,0.0,6.0,7.0,10.0,22.0,0.0,0.0,0.0,1.0,5.0,8.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,,,,,,,90.0,44.0,7.0,11.0,0.0,0.09,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,7,5,58.06451612903226,12.5,,66.66666666666666,,,,,,1.0,
14147372,home,464804,FK Jezero,1218103,Hiroki Harada,hiroki-harada,M,10,False,19.0,12.0,5.0,1.0,0.0,8.0,9.0,4.0,10.0,1.0,0.0,3.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,66.0,28.0,6.2,6.0,0.0,0.0,"{'original': 6.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,3,6,63.1578947368421,20.0,0.0,,,1.0,,1.0,,,
14147372,home,24312,FK Jezero,1149284,Nenad Krivokapić,nenad-krivokapic,M,11,False,11.0,9.0,1.0,1.0,0.0,,,9.0,11.0,1.0,0.0,0.0,0.0,6.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,,,,,66.0,21.0,6.7,9.0,0.0,0.01,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,4,6,81.81818181818183,100.0,0.0,33.33333333333333,,,,,,1.0,
14147372,home,24312,FK Jezero,128765,Milivoje Raičević,milivoje-raicevic,M,45,False,29.0,19.0,0.0,0.0,0.0,4.0,4.0,14.0,24.0,0.0,0.0,5.0,1.0,14.0,4.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,85.0,38.0,6.3,16.0,0.45,0.03,"{'original': 6.3, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,6,12,3,9,65.51724137931035,,,33.33333333333333,,1.0,,,,1.0,1.0
14147372,home,24312,FK Jezero,1408188,Petar Bogdanović,petar-bogdanovic,M,7,False,23.0,13.0,1.0,1.0,0.0,5.0,7.0,8.0,16.0,2.0,0.0,0.0,0.0,14.0,4.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,,,,,,85.0,44.0,6.3,14.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,0,18,4,14,56.52173913043478,100.0,0.0,33.33333333333333,,3.0,,,,1.0,
