player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,xgot,blockCoordinates,goalType,addedTime
"{'name': 'Alhassan Baba Musah', 'firstName': '', 'lastName': '', 'slug': 'alhassan-baba-musah', 'shortName': 'A. B. Musah', 'position': 'M', 'jerseyNumber': '19', 'userCount': 30, 'gender': 'M', 'id': 1486746, 'fieldTranslations': {'nameTranslation': {'ar': 'الحسن بابا موسى'}, 'shortNameTranslation': {'ar': 'ا. موسى'}}}",True,block,throw-in-set-piece,"{'x': 13, 'y': 73, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.01682,6704509,61,3640,"{'start': {'x': 73, 'y': 13}, 'block': {'x': 73, 'y': 13}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",30,1760,940,shot,,"{'x': 13, 'y': 73, 'z': 0}",,
"{'name': 'Savo Arambašić', 'slug': 'savo-arambasic', 'shortName': 'S. Arambašić', 'position': 'F', 'jerseyNumber': '17', 'userCount': 29, 'gender': 'M', 'id': 1046042, 'fieldTranslations': {'nameTranslation': {'ar': 'سافو أرامباشيتش'}, 'shortNameTranslation': {'ar': 'س. أرامباشيتش'}}}",False,goal,regular,"{'x': 27, 'y': 28, 'z': 0}",right-foot,high-left,"{'x': 0, 'y': 54.6, 'z': 30}",0.03087,6704508,53,3162,"{'start': {'x': 28, 'y': 27}, 'end': {'x': 45.4, 'y': 0}, 'goal': {'x': 45.4, 'y': 70}}",38,2238,462,shot,0.1924,,regular,
"{'name': 'Zaim Divanović', 'firstName': '', 'lastName': '', 'slug': 'zaim-divanovic', 'shortName': 'Z. Divanović', 'position': 'M', 'jerseyNumber': '23', 'userCount': 13, 'gender': 'M', 'id': 959010, 'fieldTranslations': {'nameTranslation': {'ar': 'زايم ديفانوفيتش', 'hi': 'ज़ैम दिवानोविक', 'bn': 'জাইম ডিভানোভিচ'}, 'shortNameTranslation': {'ar': 'ز. ديفانوفيتش', 'hi': 'ज़ेड. दिवानोविक', 'bn': 'জেড. ডিভানোভিচ'}}}",False,block,regular,"{'x': 24, 'y': 63, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.01556,6704507,50,2972,"{'start': {'x': 63, 'y': 24}, 'block': {'x': 63, 'y': 24}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",41,2428,272,shot,,"{'x': 24, 'y': 63, 'z': 0}",,
"{'name': 'Adnan Bašić', 'slug': 'adnan-basic', 'shortName': 'A. Bašić', 'position': 'F', 'jerseyNumber': '10', 'userCount': 6, 'gender': 'M', 'id': 791606, 'fieldTranslations': {'nameTranslation': {'ar': 'عدنان باشيتش'}, 'shortNameTranslation': {'ar': 'ع. باشيتش'}}}",False,block,regular,"{'x': 19, 'y': 45, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.001286,6704506,47,2799,"{'start': {'x': 45, 'y': 19}, 'block': {'x': 45, 'y': 19}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",44,2601,99,shot,,"{'x': 19, 'y': 45, 'z': 0}",,
"{'name': 'Zaim Divanović', 'firstName': '', 'lastName': '', 'slug': 'zaim-divanovic', 'shortName': 'Z. Divanović', 'position': 'M', 'jerseyNumber': '23', 'userCount': 13, 'gender': 'M', 'id': 959010, 'fieldTranslations': {'nameTranslation': {'ar': 'زايم ديفانوفيتش', 'hi': 'ज़ैम दिवानोविक', 'bn': 'জাইম ডিভানোভিচ'}, 'shortNameTranslation': {'ar': 'ز. ديفانوفيتش', 'hi': 'ज़ेड. दिवानोविक', 'bn': 'জেড. ডিভানোভিচ'}}}",False,save,free-kick,"{'x': 22, 'y': 38, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.9, 'z': 6.5}",0.1328,6704520,45,2720,"{'start': {'x': 38, 'y': 22}, 'end': {'x': 50.1, 'y': 0}, 'goal': {'x': 50.1, 'y': 93.5}}",1,2680,20,shot,0.03965,,,1.0
"{'name': 'Savo Arambašić', 'slug': 'savo-arambasic', 'shortName': 'S. Arambašić', 'position': 'F', 'jerseyNumber': '17', 'userCount': 29, 'gender': 'M', 'id': 1046042, 'fieldTranslations': {'nameTranslation': {'ar': 'سافو أرامباشيتش'}, 'shortNameTranslation': {'ar': 'س. أرامباشيتش'}}}",False,save,regular,"{'x': 12, 'y': 46, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.5, 'z': 1.9}",0.3838,6704505,37,2199,"{'start': {'x': 46, 'y': 12}, 'end': {'x': 50.5, 'y': 0}, 'goal': {'x': 50.5, 'y': 98.1}}",9,501,2199,shot,0.2581,,,
"{'name': 'Žarko Popović', 'firstName': '', 'lastName': '', 'slug': 'zarko-popovic', 'shortName': 'Ž. Popović', 'position': 'M', 'jerseyNumber': '4', 'userCount': 5, 'gender': 'M', 'id': 1030468, 'fieldTranslations': {'nameTranslation': {'ar': 'زاركو بوبوفيتش'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش'}}}",False,block,regular,"{'x': 23, 'y': 50, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.0008889,6704504,37,2198,"{'start': {'x': 50, 'y': 23}, 'block': {'x': 50, 'y': 23}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",9,502,2198,shot,,"{'x': 23, 'y': 50, 'z': 0}",,
"{'name': 'Savo Arambašić', 'slug': 'savo-arambasic', 'shortName': 'S. Arambašić', 'position': 'F', 'jerseyNumber': '17', 'userCount': 29, 'gender': 'M', 'id': 1046042, 'fieldTranslations': {'nameTranslation': {'ar': 'سافو أرامباشيتش'}, 'shortNameTranslation': {'ar': 'س. أرامباشيتش'}}}",False,miss,regular,"{'x': 22, 'y': 34, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 54.3, 'z': 57.7}",0.05457,6704503,27,1609,"{'start': {'x': 34, 'y': 22}, 'end': {'x': 45.7, 'y': 0}, 'goal': {'x': 45.7, 'y': 42.3}}",19,1091,1609,shot,,,,
"{'name': 'Marko Merdović', 'firstName': '', 'lastName': '', 'slug': 'merdovic-marko', 'shortName': 'M. Merdović', 'position': 'D', 'jerseyNumber': '44', 'userCount': 10, 'gender': 'M', 'id': 986362, 'fieldTranslations': {'nameTranslation': {'ar': 'ميردوفيتش، ماركو', 'hi': 'मेरडोविक, मार्को', 'bn': 'মারডোভিচ, মার্ক'}, 'shortNameTranslation': {'ar': 'م. ميردوفيتش', 'hi': 'एम. मेरडोविक', 'bn': 'এম. মারডোভিচ'}}}",False,miss,set-piece,"{'x': 4, 'y': 55, 'z': 0}",head,close-high-right,"{'x': 0, 'y': 41.1, 'z': 44.9}",0.363,6704502,22,1304,"{'start': {'x': 55, 'y': 4}, 'end': {'x': 58.9, 'y': 0}, 'goal': {'x': 58.9, 'y': 55.1}}",24,1396,1304,shot,,,,
"{'name': 'Savo Arambašić', 'slug': 'savo-arambasic', 'shortName': 'S. Arambašić', 'position': 'F', 'jerseyNumber': '17', 'userCount': 29, 'gender': 'M', 'id': 1046042, 'fieldTranslations': {'nameTranslation': {'ar': 'سافو أرامباشيتش'}, 'shortNameTranslation': {'ar': 'س. أرامباشيتش'}}}",False,block,regular,"{'x': 15, 'y': 39, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.01148,6704501,21,1253,"{'start': {'x': 39, 'y': 15}, 'block': {'x': 39, 'y': 15}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",25,1447,1253,shot,,"{'x': 15, 'y': 39, 'z': 0}",,
"{'name': 'Igor Poček', 'slug': 'igor-pocek', 'shortName': 'I. Poček', 'position': 'F', 'jerseyNumber': '10', 'userCount': 14, 'gender': 'M', 'id': 138949, 'fieldTranslations': {'nameTranslation': {'ar': 'إيغور بوتشيك'}, 'shortNameTranslation': {'ar': 'إ. بوتشيك'}}}",True,save,regular,"{'x': 27, 'y': 21, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 48.9, 'z': 25}",0.01795,6704500,10,543,"{'start': {'x': 21, 'y': 27}, 'end': {'x': 51.1, 'y': 0}, 'goal': {'x': 51.1, 'y': 75}}",36,2157,543,shot,0.007418,,,
"{'name': 'Zaim Divanović', 'firstName': '', 'lastName': '', 'slug': 'zaim-divanovic', 'shortName': 'Z. Divanović', 'position': 'M', 'jerseyNumber': '23', 'userCount': 13, 'gender': 'M', 'id': 959010, 'fieldTranslations': {'nameTranslation': {'ar': 'زايم ديفانوفيتش', 'hi': 'ज़ैम दिवानोविक', 'bn': 'জাইম ডিভানোভিচ'}, 'shortNameTranslation': {'ar': 'ز. ديفانوفيتش', 'hi': 'ज़ेड. दिवानोविक', 'bn': 'জেড. ডিভানোভিচ'}}}",False,miss,regular,"{'x': 24, 'y': 75, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 40.8, 'z': 53.2}",0.003318,6704499,2,111,"{'start': {'x': 75, 'y': 24}, 'end': {'x': 59.2, 'y': 0}, 'goal': {'x': 59.2, 'y': 46.8}}",44,2589,111,shot,,,,
