match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,onTargetScoringAttempt,goals,outfielderBlock,shotValueNormalized,challengeLost,dispossessed,shotOffTarget,hitWoodwork,errorLeadToAShot,accurateCross,wasFouled,blockedScoringAttempt,totalOffside,totalKeeperSweeper,accurateKeeperSweeper
14015607,home,5144,FK Javor Ivanjica,895905,Ibrahim Tanko,ibrahim-tanko,F,9,False,21.0,12.0,1.0,1.0,0.0,1.0,1.0,11.0,20.0,1.0,,,,87.0,40.0,6.0,21.0,120.21788203371,8.0,71.313087280094,3.0,,"{'original': 6, 'alternative': 6.1}",0,-0.11,0.3,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",24,15,9,2,7,57.14285714285714,100.0,,,,1.0,11.0,4.0,18.0,6.0,2.0,,,,1.0,1.0,4.0,,32.721617872035,89.278520899707,1.0,,,,,,5.0,,,,,1.0,,,,
14015607,home,5144,FK Javor Ivanjica,1392891,Nemanja Đokić,nemanja-dokic,M,5,True,11.0,8.0,3.0,1.0,0.0,2.0,2.0,6.0,9.0,2.0,,,,27.0,18.0,7.0,4.0,11.415295065055,2.0,-1.4508592533967,0.0,,"{'original': 7, 'alternative': 6.8}",0,0.19,-0.01,0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,72.72727272727273,33.33333333333333,,,,,,,,2.0,,,,,2.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,
14015607,home,5144,FK Javor Ivanjica,1153911,Dušan Ristić,dusan-ristic,D,15,True,2.0,1.0,1.0,,0.0,1.0,2.0,,,,,,,14.0,5.0,6.7,1.0,65.817130651848,2.0,-38.629685283079,0.0,,"{'original': 6.7, 'alternative': 6.6}",0,0.03,0.08,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,50.0,,,,,,,1.0,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
14015607,home,5144,FK Javor Ivanjica,1473508,Mass Sise,mass-sise,M,24,True,3.0,2.0,,,0.0,1.0,1.0,1.0,2.0,,,,,9.0,8.0,6.6,4.0,9.9898228713026,1.0,9.2909158453005,0.0,,"{'original': 6.6, 'alternative': 6.5}",0,-0.02,-0.1,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,66.66666666666666,,,,,,1.0,1.0,3.0,2.0,2.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
14015607,home,5144,FK Javor Ivanjica,1150815,Andreja Ristic,andreja-ristic,F,8,True,1.0,1.0,,,0.0,1.0,1.0,,,1.0,,,,8.0,2.0,6.5,,4.8865211551778,1.0,-0.37953960080325,0.0,,"{'original': 6.5, 'alternative': 6.6}",0,0.0,0.09,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,100.0,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,
14015607,home,5144,FK Javor Ivanjica,1126871,Benjamin Acquah,benjamin-acquah,M,17,True,,,,,0.0,,,,,,,,,8.0,3.0,6.7,1.0,6.5167299314917,1.0,-5.8338266450786,0.0,,"{'original': 6.7, 'alternative': 6.7}",0,,0.04,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,,,,,,,,,2.0,2.0,,,,,2.0,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,
14015607,home,5144,FK Javor Ivanjica,1113474,Herve Toure,toure-herve,D,18,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015607,home,5144,FK Javor Ivanjica,1047458,Mateja Zuvić,mateja-zuvic,F,32,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015607,home,5144,FK Javor Ivanjica,1910871,Petar Đoković,dokovic-petar,M,25,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015607,home,5144,FK Javor Ivanjica,799178,Marko Kolaković,marko-kolakovic,D,30,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
