minute,value
0.0,0
1.0,3
2.0,2
3.0,8
4.0,41
5.0,22
6.0,20
7.0,20
8.0,83
9.0,8
10.0,7
11.0,21
12.0,8
13.0,31
14.0,28
15.0,18
16.0,16
17.0,2
18.0,-1
19.0,2
20.0,-4
21.0,-7
22.0,12
23.0,12
24.0,9
25.0,12
26.0,15
27.0,11
28.0,8
29.0,7
30.0,-33
31.0,-11
32.0,-4
33.0,-31
34.0,-6
35.0,3
36.0,8
37.0,-8
38.0,8
39.0,6
40.0,-23
41.0,-15
42.0,-1
43.0,43
44.0,57
45.0,33
45.5,-10
46.0,3
47.0,-13
48.0,-31
49.0,-26
50.0,-89
51.0,-56
52.0,-26
53.0,-12
54.0,12
55.0,31
56.0,21
57.0,44
58.0,33
59.0,31
60.0,19
61.0,3
62.0,2
63.0,77
64.0,47
65.0,-49
66.0,-21
67.0,27
68.0,35
69.0,22
70.0,18
71.0,13
72.0,7
73.0,8
74.0,6
75.0,80
76.0,48
77.0,30
78.0,14
79.0,-79
80.0,-47
81.0,-2
82.0,-6
83.0,-7
84.0,3
85.0,-20
86.0,-17
87.0,-9
88.0,-35
89.0,-25
90.0,-33
90.5,-45
