match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,shotOffTarget,bigChanceCreated,keyPass,dispossessed,blockedScoringAttempt,bigChanceMissed,hitWoodwork
15280981,home,24312,FK Jezero,1035777,Igor Asanović,igor-asanovic,G,50,False,22.0,18.0,5.0,1.0,0.0,17.0,18.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,0.0,90.0,28.0,7.3,5.0,0.0,0.0,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,81.81818181818183,20.0,,,0.0,,,,,,,,
15280981,home,24312,FK Jezero,1000154,Abdel Osmanović,abdel-osmanovic,D,2,False,27.0,20.0,4.0,1.0,0.0,11.0,13.0,12.0,1.0,0.0,1.0,4.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,90.0,36.0,6.7,13.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,5,9,1,8,74.07407407407408,25.0,0.0,,,7.0,,,,,,,
15280981,home,24312,FK Jezero,1393483,Mihailo Ilić,mihailo-ilic,D,4,False,36.0,25.0,7.0,1.0,0.0,18.0,24.0,7.0,0.0,0.0,2.0,2.0,10.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,90.0,44.0,6.5,16.0,0.17,0.0,"{'original': 6.5, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,4,12,4,8,69.44444444444444,14.285714285714285,,,,4.0,2.0,,,,,,
15280981,home,24312,FK Jezero,1182552,Nemanja Jovičić,nemanja-jovicic,D,27,False,47.0,36.0,10.0,4.0,0.0,29.0,31.0,8.0,0.0,0.0,0.0,4.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,6.0,21.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,90.0,60.0,7.8,14.0,0.0,0.0,"{'original': 7.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,4,3,76.59574468085107,40.0,,,,2.0,,,,,,,
15280981,home,24312,FK Jezero,812745,Ilija Tučević,ilija-tucevic,D,17,False,46.0,37.0,4.0,1.0,0.0,15.0,20.0,22.0,2.0,1.0,2.0,1.0,7.0,6.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,90.0,58.0,7.5,11.0,0.0,0.58,"{'original': 7.5, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,5,5,80.43478260869566,25.0,50.0,100.0,,19.0,2.0,1.0,2.0,,,,
15280981,home,24312,FK Jezero,1149284,Nenad Krivokapić,nenad-krivokapic,M,11,False,12.0,7.0,1.0,1.0,0.0,4.0,5.0,7.0,0.0,0.0,1.0,0.0,7.0,7.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,,,,,,,71.0,30.0,6.9,10.0,0.04,0.0,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,7,6,58.333333333333336,100.0,,100.0,,3.0,,,,1.0,1.0,,
15280981,home,6225,FK Jezero,1391890,Uroš Bulatović,uros-bulatovic,M,8,False,54.0,42.0,8.0,3.0,0.0,17.0,20.0,31.0,0.0,0.0,0.0,4.0,15.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,,,,,,,90.0,63.0,6.4,14.0,0.01,0.0,"{'original': 6.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,4,17,2,15,77.77777777777779,37.5,,,,22.0,,,,,1.0,,
15280981,home,24312,FK Jezero,797928,Aldin Adžović,aldin-adzovic,M,5,False,52.0,37.0,7.0,3.0,0.0,24.0,27.0,25.0,0.0,0.0,0.0,3.0,8.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,90.0,66.0,7.1,14.0,0.15,0.16,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,3,12,4,8,71.15384615384616,42.857142857142854,,,,13.0,,,1.0,,,,
15280981,home,24312,FK Jezero,1063202,Mario Gjolaj,mario-gjolaj,M,14,False,33.0,20.0,6.0,2.0,0.0,10.0,11.0,22.0,1.0,1.0,0.0,3.0,15.0,14.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,,,,,,,90.0,64.0,7.3,19.0,0.0,0.18,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",29,3,26,11,15,60.60606060606061,33.33333333333333,100.0,50.0,,10.0,,,2.0,,,,
15280981,home,24312,FK Jezero,128765,Milivoje Raičević,milivoje-raicevic,F,45,False,22.0,15.0,1.0,0.0,0.0,6.0,7.0,12.0,0.0,0.0,5.0,9.0,14.0,11.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,,,,,,,71.0,39.0,7.7,19.0,0.55,0.0,"{'original': 7.7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",25,14,11,2,9,68.18181818181817,0.0,,,,6.0,,,1.0,1.0,,,
