minute,value
1.0,48
2.0,27
3.0,-110
4.0,-50
5.0,-36
6.0,-30
7.0,30
8.0,15
9.0,8
10.0,10
11.0,8
12.0,100
13.0,86
14.0,22
15.0,-20
16.0,5
17.0,-16
18.0,-85
19.0,-94
20.0,-55
21.0,-33
22.0,46
23.0,22
24.0,18
25.0,100
26.0,74
27.0,51
28.0,36
29.0,-30
30.0,-18
31.0,-11
32.0,-2
33.0,-6
34.0,-1
35.0,1
36.0,-5
37.0,-7
38.0,-9
39.0,-10
40.0,-31
41.0,-23
42.0,-54
43.0,-27
44.0,-16
45.0,-12
45.5,-10
46.0,6
47.0,9
48.0,11
49.0,7
50.0,-10
51.0,-14
52.0,-59
53.0,-45
54.0,-27
55.0,-15
56.0,-39
57.0,-15
58.0,-8
59.0,5
60.0,1
61.0,13
62.0,-60
63.0,-37
64.0,-23
65.0,-14
66.0,-40
67.0,-20
68.0,-12
69.0,10
70.0,-6
71.0,1
72.0,6
73.0,9
74.0,100
75.0,100
76.0,-191
77.0,-71
78.0,-43
79.0,-43
80.0,-24
81.0,1
82.0,26
83.0,21
84.0,69
85.0,31
86.0,14
87.0,-10
88.0,-13
89.0,-12
90.0,-6
90.5,40
