player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType,xgot
"{'name': 'Ognjen Rolović', 'firstName': '', 'lastName': '', 'slug': 'ognjen-rolovic', 'shortName': 'O. Rolović', 'position': 'F', 'jerseyNumber': '19', 'userCount': 6, 'gender': 'M', 'id': 196634, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنيين رولوفيتش', 'bn': 'ওগনজেন রোলোভিচ', 'hi': 'ओग्जेन रोलोविच'}, 'shortNameTranslation': {'ar': 'أ. رولوفيتش', 'bn': 'ও. রোলোভিচ', 'hi': 'ओ. रोलोविक'}}}",True,miss,regular,"{'x': 9, 'y': 49, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 41.7, 'z': 19.7}",0.371,6833570,90,2.0,5470,"{'start': {'x': 49, 'y': 9}, 'end': {'x': 58.3, 'y': 0}, 'goal': {'x': 58.3, 'y': 80.3}}",1,830,70,shot,,,
"{'name': 'Ognjen Rolović', 'firstName': '', 'lastName': '', 'slug': 'ognjen-rolovic', 'shortName': 'O. Rolović', 'position': 'F', 'jerseyNumber': '19', 'userCount': 6, 'gender': 'M', 'id': 196634, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنيين رولوفيتش', 'bn': 'ওগনজেন রোলোভিচ', 'hi': 'ओग्जेन रोलोविच'}, 'shortNameTranslation': {'ar': 'أ. رولوفيتش', 'bn': 'ও. রোলোভিচ', 'hi': 'ओ. रोलोविक'}}}",True,block,regular,"{'x': 14, 'y': 30, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.0454,6833569,84,,5008,"{'start': {'x': 30, 'y': 14}, 'block': {'x': 30, 'y': 14}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",7,392,2308,shot,"{'x': 14, 'y': 30, 'z': 0}",,
"{'name': 'Mihailo Ilić', 'slug': 'mihailo-ilic', 'shortName': 'M. Ilić', 'position': 'D', 'jerseyNumber': '4', 'userCount': 6, 'gender': 'M', 'id': 1393483, 'fieldTranslations': {'nameTranslation': {'ar': 'ميهايلو إيليتش'}, 'shortNameTranslation': {'ar': 'م. إيليتش'}}}",True,miss,regular,"{'x': 28, 'y': 66, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 43.6, 'z': 59.3}",0.003563,6833568,82,,4905,"{'start': {'x': 66, 'y': 28}, 'end': {'x': 56.4, 'y': 0}, 'goal': {'x': 56.4, 'y': 40.7}}",9,495,2205,shot,,,
"{'name': 'Imran Redžepagić', 'firstName': 'Imran Redžepagić', 'lastName': '', 'slug': 'imran-redzepagic', 'shortName': 'I. Redžepagić', 'position': 'M', 'jerseyNumber': '16', 'userCount': 10, 'gender': 'M', 'id': 1190522, 'fieldTranslations': {'nameTranslation': {'ar': 'إمران ريدجيبابيتش'}, 'shortNameTranslation': {'ar': 'إ. ريدجيبابيتش'}}}",True,miss,regular,"{'x': 15, 'y': 45, 'z': 0}",head,close-high-right,"{'x': 0, 'y': 43.2, 'z': 49.9}",0.06371,6833567,79,,4722,"{'start': {'x': 45, 'y': 15}, 'end': {'x': 56.8, 'y': 0}, 'goal': {'x': 56.8, 'y': 50.1}}",12,678,2022,shot,,,
"{'name': 'Šaleta Kordić', 'firstName': '', 'lastName': '', 'slug': 'saleta-kordic', 'shortName': 'Š. Kordić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 4, 'gender': 'M', 'id': 227396, 'fieldTranslations': {'nameTranslation': {'ar': 'شاليتا كورديتش', 'bn': 'শ্যালেট কোর্ডিচ', 'hi': 'शालेटा कोर्डिक'}, 'shortNameTranslation': {'ar': 'ش. كورديتش', 'bn': 'এস. কোর্ডিক', 'hi': 'एस. कोर्डिक'}}}",False,block,throw-in-set-piece,"{'x': 12, 'y': 66, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.06998,6833566,79,,4705,"{'start': {'x': 66, 'y': 12}, 'block': {'x': 66, 'y': 12}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",12,695,2005,shot,"{'x': 12, 'y': 66, 'z': 0}",,
"{'name': 'Kristijan Radunović', 'firstName': 'Kristijan Radunović', 'lastName': '', 'slug': 'kristijan-radunovic', 'shortName': 'K. Radunović', 'position': 'M', 'jerseyNumber': '14', 'userCount': 3, 'gender': 'M', 'id': 1381377, 'fieldTranslations': {'nameTranslation': {'ar': 'كريستيجان رادونوفيتش'}, 'shortNameTranslation': {'ar': 'ك. رادونوفيتش'}}}",False,goal,corner,"{'x': 2, 'y': 52, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 49, 'z': 11.1}",0.8329,6833565,76,,4531,"{'start': {'x': 52, 'y': 2}, 'end': {'x': 51, 'y': 0}, 'goal': {'x': 51, 'y': 88.9}}",15,869,1831,shot,,regular,0.8809
"{'name': 'Kristijan Radunović', 'firstName': 'Kristijan Radunović', 'lastName': '', 'slug': 'kristijan-radunovic', 'shortName': 'K. Radunović', 'position': 'M', 'jerseyNumber': '14', 'userCount': 3, 'gender': 'M', 'id': 1381377, 'fieldTranslations': {'nameTranslation': {'ar': 'كريستيجان رادونوفيتش'}, 'shortNameTranslation': {'ar': 'ك. رادونوفيتش'}}}",False,save,corner,"{'x': 4, 'y': 53, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.9, 'z': 4.6}",0.7868,6833564,76,,4530,"{'start': {'x': 53, 'y': 4}, 'end': {'x': 49.1, 'y': 0}, 'goal': {'x': 49.1, 'y': 95.4}}",15,870,1830,shot,,,0.8012
"{'name': 'Šaleta Kordić', 'firstName': '', 'lastName': '', 'slug': 'saleta-kordic', 'shortName': 'Š. Kordić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 4, 'gender': 'M', 'id': 227396, 'fieldTranslations': {'nameTranslation': {'ar': 'شاليتا كورديتش', 'bn': 'শ্যালেট কোর্ডিচ', 'hi': 'शालेटा कोर्डिक'}, 'shortNameTranslation': {'ar': 'ش. كورديتش', 'bn': 'এস. কোর্ডিক', 'hi': 'एस. कोर्डिक'}}}",False,save,corner,"{'x': 6, 'y': 51, 'z': 0}",head,high-centre,"{'x': 0, 'y': 50.1, 'z': 21.8}",0.1778,6833563,76,,4529,"{'start': {'x': 51, 'y': 6}, 'end': {'x': 49.9, 'y': 0}, 'goal': {'x': 49.9, 'y': 78.2}}",15,871,1829,shot,,,0.3067
"{'name': 'Mihailo Ilić', 'slug': 'mihailo-ilic', 'shortName': 'M. Ilić', 'position': 'D', 'jerseyNumber': '4', 'userCount': 6, 'gender': 'M', 'id': 1393483, 'fieldTranslations': {'nameTranslation': {'ar': 'ميهايلو إيليتش'}, 'shortNameTranslation': {'ar': 'م. إيليتش'}}}",True,miss,corner,"{'x': 7, 'y': 46, 'z': 0}",head,close-high-left,"{'x': 0, 'y': 56.1, 'z': 53.7}",0.1621,6833562,75,,4459,"{'start': {'x': 46, 'y': 7}, 'end': {'x': 43.9, 'y': 0}, 'goal': {'x': 43.9, 'y': 46.3}}",16,941,1759,shot,,,
"{'name': 'Đorđe Maksimović', 'slug': 'djordje-maksimovic', 'shortName': 'Đ. Maksimović', 'position': 'F', 'jerseyNumber': '44', 'userCount': 13, 'gender': 'M', 'id': 905970, 'fieldTranslations': {'nameTranslation': {'ar': 'دورجي ماكسيموفيتش'}, 'shortNameTranslation': {'ar': 'د. ماكسيموفيتش'}}}",True,save,throw-in-set-piece,"{'x': 13, 'y': 43, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49, 'z': 3.5}",0.3822,6833561,74,,4413,"{'start': {'x': 43, 'y': 13}, 'end': {'x': 51, 'y': 0}, 'goal': {'x': 51, 'y': 96.5}}",17,987,1713,shot,,,0.3971
