match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,duelLost,duelWon,challengeLost,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalCross,aerialLost,aerialWon,dispossessed,totalContest,onTargetScoringAttempt,totalTackle,wonTackle,unsuccessfulTouch,keyPass,shotValueNormalized,totalClearance,interceptionWon,fouls,outfielderBlock,wonContest,accurateCross,shotOffTarget,blockedScoringAttempt,hitWoodwork,totalOffside,goodHighClaim,bigChanceCreated,goals,bigChanceMissed
14015480,home,43981,FK Radnički 1923,1152919,Luka Lijeskić,luka-lijeskic,G,81,False,31.0,29.0,3.0,2.0,0.0,29.0,30.0,1.0,1.0,1.0,1.0,9.0,1.0,2.0,4.0,90.0,41.0,6.5,2.0,0.3857,"{'original': 6.5, 'alternative': 6.7}",0,0.04,0.02,-0.08,0.21,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,93.54838709677419,66.66666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015480,home,43981,FK Radnički 1923,1159434,Bojan Adžić,bojan-adzic,D,23,False,35.0,26.0,4.0,,0.0,9.0,15.0,20.0,10.0,2.0,,5.0,,,,83.0,67.0,5.4,21.0,,"{'original': 5.4, 'alternative': 6}",1,-0.05,-0.54,-0.38,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,5,7,1,6,74.28571428571429,,,,,17.0,3.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,0.07,,,,,,,,,,,,,,
14015480,home,43981,FK Radnički 1923,1165919,Nikola Miličić,nikola-milicic,D,4,False,71.0,62.0,4.0,2.0,0.0,28.0,32.0,39.0,7.0,5.0,2.0,2.0,1.0,,,90.0,88.0,6.5,10.0,,"{'original': 6.5, 'alternative': 7.4}",1,0.37,0.19,-0.38,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,5,4,87.32394366197182,50.0,,,,34.0,,3.0,,,,1.0,4.0,3.0,,2.0,-0.5,4.0,2.0,2.0,,,,,,,,,,,
14015480,home,43981,FK Radnički 1923,79383,Slobodan Simović,slobodan-simovic,D,14,False,19.0,14.0,4.0,1.0,0.0,11.0,13.0,6.0,2.0,2.0,,1.0,,,,33.0,24.0,6.6,6.0,,"{'original': 6.6, 'alternative': 6.6}",0,-0.01,0.05,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,0,2,73.68421052631578,25.0,,,,3.0,,,2.0,,,,,,1.0,,,2.0,,2.0,2.0,,,,,,,,,,
14015480,home,43981,FK Radnički 1923,1802942,Stefan Petkoski Cimbaljević,stefan-petkoski-cimbaljevic,D,33,False,12.0,10.0,1.0,,0.0,4.0,5.0,7.0,3.0,,,3.0,,,,45.0,22.0,6.0,7.0,,"{'original': 6, 'alternative': 6.2}",0,-0.04,-0.17,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,83.33333333333334,,,,,6.0,2.0,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,
14015480,home,7674,FK Radnički 1923,1046779,Jovan Ilić,jovan-ilic,M,21,False,20.0,16.0,2.0,,0.0,9.0,9.0,11.0,3.0,4.0,,2.0,1.0,,,45.0,25.0,6.5,6.0,,"{'original': 6.5, 'alternative': 6.4}",0,0.03,0.1,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,80.0,,,,,7.0,1.0,,2.0,,1.0,,1.0,1.0,,,,1.0,,2.0,,,,,,,,,,,
14015480,home,43981,FK Radnički 1923,1000815,Louay Ben Hassine,louay-ben-hassine,M,99,False,34.0,32.0,,,0.0,7.0,7.0,27.0,1.0,4.0,,5.0,1.0,,,67.0,43.0,7.4,6.0,,"{'original': 7.4, 'alternative': 7.3}",1,0.47,0.18,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,3,0,94.11764705882352,,,100.0,,25.0,,1.0,1.0,,1.0,1.0,1.0,,4.0,2.0,0.2,,,,,1.0,,,,,,,,,
14015480,home,43981,FK Radnički 1923,1158017,Alfa Baldé,alfa-balde,M,17,False,27.0,20.0,1.0,1.0,0.0,5.0,5.0,22.0,7.0,11.0,2.0,5.0,3.0,,,90.0,68.0,7.3,27.0,,"{'original': 7.3, 'alternative': 7.7}",4,0.19,0.33,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,1,17,11,6,74.07407407407408,100.0,6.666666666666667,50.0,,15.0,15.0,1.0,,2.0,4.0,2.0,6.0,3.0,2.0,1.0,0.15,,,,,2.0,1.0,2.0,,,,,,,
14015480,home,43981,FK Radnički 1923,1013823,Wajdi Sahli,wajdi-sahli,M,7,False,44.0,35.0,2.0,1.0,0.0,12.0,15.0,29.0,8.0,4.0,1.0,6.0,1.0,,,90.0,79.0,6.4,26.0,,"{'original': 6.4, 'alternative': 7.4}",8,0.02,0.25,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,0,12,4,8,79.54545454545455,50.0,14.285714285714285,33.33333333333333,,23.0,14.0,,,2.0,3.0,1.0,2.0,2.0,1.0,1.0,-0.55,,,3.0,1.0,1.0,2.0,6.0,1.0,1.0,,,,,
14015480,home,295152,FK Radnički 1923,1005356,Kilian Bevis,kilian-bevis,M,10,False,31.0,24.0,,,0.0,3.0,4.0,27.0,2.0,7.0,,1.0,2.0,,,90.0,57.0,7.1,17.0,,"{'original': 7.1, 'alternative': 7.3}",3,0.25,0.47,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,6,2,77.41935483870968,,57.14285714285714,50.0,,21.0,7.0,,1.0,,4.0,,2.0,1.0,4.0,3.0,-0.13,,1.0,,,2.0,4.0,,3.0,,,,,,
14015480,home,43981,FK Radnički 1923,862199,Ester Sokler,sokler-ester,F,19,False,14.0,10.0,,,0.0,4.0,6.0,8.0,7.0,4.0,1.0,,1.0,,,90.0,28.0,6.6,11.0,,"{'original': 6.6, 'alternative': 6.7}",1,0.31,0.33,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,2,5,71.42857142857143,,,50.0,,6.0,,2.0,2.0,2.0,2.0,,,,4.0,,-0.13,,,1.0,,1.0,,1.0,,1.0,,,,,
14015480,home,43981,FK Radnički 1923,80236,Milan Mitrović,milan-mitrovic,D,15,True,59.0,54.0,3.0,3.0,0.0,28.0,30.0,29.0,2.0,3.0,,4.0,,,,57.0,61.0,6.8,6.0,,"{'original': 6.8, 'alternative': 6.8}",0,0.27,0.15,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,0,2,91.52542372881356,100.0,,,,26.0,,,3.0,1.0,,,,,,2.0,,,,1.0,,,,,,,,,,,
14015480,home,43981,FK Radnički 1923,879829,Miloš Ristić,milos-ristic,D,27,True,37.0,29.0,5.0,2.0,0.0,9.0,10.0,27.0,4.0,2.0,1.0,5.0,1.0,,,45.0,45.0,6.6,9.0,,"{'original': 6.6, 'alternative': 6.8}",3,0.1,0.27,-0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,78.37837837837837,40.0,,,,20.0,,2.0,,,,1.0,1.0,,1.0,,-0.07,,1.0,1.0,,,,,2.0,,,,,,
14015480,home,2318,FK Radnički 1923,978293,Tomislav Dadić,tomislav-dadic,M,50,True,39.0,36.0,4.0,3.0,0.0,9.0,11.0,28.0,1.0,2.0,,4.0,,,,45.0,53.0,7.0,7.0,,"{'original': 7, 'alternative': 7.2}",0,0.31,0.35,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,92.3076923076923,75.0,50.0,100.0,,27.0,4.0,,,,1.0,,1.0,1.0,2.0,3.0,,,1.0,1.0,,1.0,2.0,,,,,,,,
14015480,home,32870,FK Radnički 1923,990630,Yankuba Jarju,yankuba-jarju,F,66,True,3.0,3.0,,,0.0,1.0,1.0,2.0,3.0,3.0,,,1.0,,,23.0,9.0,6.5,3.0,,"{'original': 6.5, 'alternative': 6.8}",1,0.05,0.09,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,100.0,,,,,2.0,,1.0,1.0,2.0,,,1.0,1.0,1.0,1.0,-0.55,,,,,,,1.0,,,,,,,
14015480,home,43981,FK Radnički 1923,971009,António Pina Gomes,pina-gomes-antonio,F,11,True,4.0,3.0,,,0.0,1.0,1.0,3.0,,,,1.0,,,,11.0,4.0,7.0,1.0,,"{'original': 7, 'alternative': 6.7}",0,0.26,0.04,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,75.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,
14015480,home,5148,FK Radnički 1923,13691,Vladimir Stojković,vladimir-stojkovic,G,88,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
