player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,goalkeeper,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType,addedTime
"{'name': 'Lazar Nikolić', 'slug': 'lazar-nikolic', 'shortName': 'L. Nikolić', 'position': 'D', 'jerseyNumber': '22', 'userCount': 115, 'gender': 'M', 'id': 862782, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار نيكوليتش'}, 'shortNameTranslation': {'ar': 'ل. نيكوليتش'}}}",True,miss,regular,"{'x': 14.4, 'y': 63.8, 'z': 0}",left-foot,left,"{'x': 0, 'y': 61, 'z': 22.2}","{'name': 'Lazar Balević', 'firstName': 'Lazar Balevic', 'slug': 'lazar-balevic', 'shortName': 'L. Balević', 'position': 'G', 'jerseyNumber': '84', 'userCount': 103, 'gender': 'M', 'id': 1937361, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار باليفيتش'}, 'shortNameTranslation': {'ar': 'ل. باليفيتش'}}}",6930151,90,5394,"{'start': {'x': 63.8, 'y': 14.4}, 'end': {'x': 39, 'y': 0}, 'goal': {'x': 39, 'y': 77.8}}",1,6,2694,shot,,,
"{'name': 'John Mary', 'slug': 'john-mary', 'shortName': 'J. Mary', 'position': 'F', 'jerseyNumber': '28', 'userCount': 155, 'gender': 'M', 'id': 795913, 'fieldTranslations': {'nameTranslation': {'ar': 'جون ماري', 'bn': 'জন মেরি', 'hi': 'जॉन मैरी'}, 'shortNameTranslation': {'ar': 'ج. ماري', 'bn': 'জে. মেরি', 'hi': 'जे. मैरी'}}}",True,save,assisted,"{'x': 8.3, 'y': 52.1, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.6, 'z': 7.6}","{'name': 'Lazar Balević', 'firstName': 'Lazar Balevic', 'slug': 'lazar-balevic', 'shortName': 'L. Balević', 'position': 'G', 'jerseyNumber': '84', 'userCount': 103, 'gender': 'M', 'id': 1937361, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار باليفيتش'}, 'shortNameTranslation': {'ar': 'ل. باليفيتش'}}}",6930138,88,5238,"{'start': {'x': 52.1, 'y': 8.3}, 'block': {'x': 50.7, 'y': 1.4}, 'end': {'x': 49.4, 'y': 0}, 'goal': {'x': 49.4, 'y': 92.4}}",3,162,2538,shot,"{'x': 1.4, 'y': 50.7, 'z': 0}",,
"{'name': 'Dragan Kokanović', 'slug': 'dragan-kokanovic', 'shortName': 'D. Kokanović', 'position': 'M', 'jerseyNumber': '20', 'userCount': 54, 'gender': 'M', 'id': 1114797, 'fieldTranslations': {'nameTranslation': {'ar': 'دراغان كوكانوفيتش'}, 'shortNameTranslation': {'ar': 'د. كوكانوفيتش'}}}",True,goal,assisted,"{'x': 4.5, 'y': 52.1, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 47.4, 'z': 4.4}","{'name': 'Lazar Balević', 'firstName': 'Lazar Balevic', 'slug': 'lazar-balevic', 'shortName': 'L. Balević', 'position': 'G', 'jerseyNumber': '84', 'userCount': 103, 'gender': 'M', 'id': 1937361, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار باليفيتش'}, 'shortNameTranslation': {'ar': 'ل. باليفيتش'}}}",6930113,81,4849,"{'start': {'x': 52.1, 'y': 4.5}, 'end': {'x': 52.6, 'y': 0}, 'goal': {'x': 52.6, 'y': 95.6}}",10,551,2149,shot,,regular,
"{'name': 'Lazar Nikolić', 'slug': 'lazar-nikolic', 'shortName': 'L. Nikolić', 'position': 'D', 'jerseyNumber': '22', 'userCount': 115, 'gender': 'M', 'id': 862782, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار نيكوليتش'}, 'shortNameTranslation': {'ar': 'ل. نيكوليتش'}}}",True,miss,regular,"{'x': 20, 'y': 63.6, 'z': 0}",right-foot,left,"{'x': 0, 'y': 61.3, 'z': 12.5}","{'name': 'Lazar Balević', 'firstName': 'Lazar Balevic', 'slug': 'lazar-balevic', 'shortName': 'L. Balević', 'position': 'G', 'jerseyNumber': '84', 'userCount': 103, 'gender': 'M', 'id': 1937361, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار باليفيتش'}, 'shortNameTranslation': {'ar': 'ل. باليفيتش'}}}",6930112,81,4817,"{'start': {'x': 63.6, 'y': 20}, 'block': {'x': 47.8, 'y': 8.5}, 'end': {'x': 38.7, 'y': 0}, 'goal': {'x': 38.7, 'y': 87.5}}",10,583,2117,shot,"{'x': 8.5, 'y': 47.8, 'z': 0}",,
"{'name': 'Nikola Bogdanovski', 'firstName': 'Nikola', 'lastName': 'Bogdanovski', 'slug': 'nikola-bogdanovski', 'shortName': 'N. Bogdanovski', 'position': 'M', 'jerseyNumber': '33', 'userCount': 16, 'gender': 'M', 'id': 956793, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا بوغدانوفيسكي'}, 'shortNameTranslation': {'ar': 'ن. بوغدانوفيسكي'}}}",False,goal,assisted,"{'x': 10.4, 'y': 67.3, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.6, 'z': 3.8}","{'name': 'Dragan Rosić', 'firstName': '', 'lastName': '', 'slug': 'dragan-rosic', 'shortName': 'D. Rosić', 'position': 'G', 'jerseyNumber': '12', 'userCount': 210, 'gender': 'M', 'id': 844128, 'fieldTranslations': {'nameTranslation': {'ar': 'دراغان روسيتش', 'bn': 'ড্রাগান রোজিক', 'hi': 'ड्रेगन रोसिक'}, 'shortNameTranslation': {'ar': 'د. روسيتش', 'bn': 'ডি. রোজিক', 'hi': 'डी. रोसिच'}}}",6930046,79,4726,"{'start': {'x': 67.3, 'y': 10.4}, 'end': {'x': 46.4, 'y': 0}, 'goal': {'x': 46.4, 'y': 96.2}}",12,674,2026,shot,,regular,
"{'name': 'Lucas Barros', 'firstName': '', 'lastName': '', 'slug': 'lucas-barros', 'shortName': 'L. Barros', 'position': 'D', 'jerseyNumber': '23', 'userCount': 68, 'gender': 'M', 'id': 974434, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكاس باروس'}, 'shortNameTranslation': {'ar': 'ل. باروس'}}}",True,miss,assisted,"{'x': 14.1, 'y': 27.4, 'z': 0}",left-foot,close-right,"{'x': 0, 'y': 41.2, 'z': 8.3}","{'name': 'Lazar Balević', 'firstName': 'Lazar Balevic', 'slug': 'lazar-balevic', 'shortName': 'L. Balević', 'position': 'G', 'jerseyNumber': '84', 'userCount': 103, 'gender': 'M', 'id': 1937361, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار باليفيتش'}, 'shortNameTranslation': {'ar': 'ل. باليفيتش'}}}",6929989,68,4069,"{'start': {'x': 27.4, 'y': 14.1}, 'end': {'x': 58.8, 'y': 0}, 'goal': {'x': 58.8, 'y': 91.7}}",23,1331,1369,shot,,,
"{'name': 'Milutin Vidosavljević', 'slug': 'milutin-vidosavljevic', 'shortName': 'M. Vidosavljević', 'position': 'M', 'jerseyNumber': '55', 'userCount': 182, 'gender': 'M', 'id': 858238, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلوتين فيدوسافليفيتش', 'bn': 'মিলুটিন ভিদোসাভলজেভিচ', 'hi': 'मिलुटिन विडोसावलेजेविक'}, 'shortNameTranslation': {'ar': 'م. فيدوسافليفيتش', 'bn': 'এম. ভিদোসাভলজেভিচ', 'hi': 'एम. विडोसावलेजेविक'}}}",True,save,fast-break,"{'x': 14.1, 'y': 45, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 51.2, 'z': 15.2}","{'name': 'Lazar Balević', 'firstName': 'Lazar Balevic', 'slug': 'lazar-balevic', 'shortName': 'L. Balević', 'position': 'G', 'jerseyNumber': '84', 'userCount': 103, 'gender': 'M', 'id': 1937361, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار باليفيتش'}, 'shortNameTranslation': {'ar': 'ل. باليفيتش'}}}",6929977,66,3927,"{'start': {'x': 45, 'y': 14.1}, 'block': {'x': 48.9, 'y': 2.7}, 'end': {'x': 48.8, 'y': 0}, 'goal': {'x': 48.8, 'y': 84.8}}",25,1473,1227,shot,"{'x': 2.7, 'y': 48.9, 'z': 0}",,
"{'name': 'Lazar Ranđelović', 'slug': 'lazar-randelovic', 'shortName': 'L. Ranđelović', 'position': 'M', 'jerseyNumber': '77', 'userCount': 316, 'gender': 'M', 'id': 938000, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار راندجيلوفيتش', 'bn': 'লাজার রানডেলোভিচ', 'hi': 'लाज़र रांडेलोविच'}, 'shortNameTranslation': {'ar': 'ل. راندجيلوفيتش', 'bn': 'এল. রানডেলোভিচ', 'hi': 'एल. रांडेलोविच'}}}",True,goal,assisted,"{'x': 7.5, 'y': 60.7, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.4, 'z': 5.1}","{'name': 'Lazar Balević', 'firstName': 'Lazar Balevic', 'slug': 'lazar-balevic', 'shortName': 'L. Balević', 'position': 'G', 'jerseyNumber': '84', 'userCount': 103, 'gender': 'M', 'id': 1937361, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار باليفيتش'}, 'shortNameTranslation': {'ar': 'ل. باليفيتش'}}}",6929959,63,3729,"{'start': {'x': 60.7, 'y': 7.5}, 'end': {'x': 51.6, 'y': 0}, 'goal': {'x': 51.6, 'y': 94.9}}",28,1671,1029,shot,,regular,
"{'name': 'Kornél Szűcs', 'slug': 'kornel-szucs', 'shortName': 'K. Szűcs', 'position': 'D', 'jerseyNumber': '26', 'userCount': 475, 'gender': 'M', 'id': 1008297, 'fieldTranslations': {'nameTranslation': {'ar': 'كورنيلي سزوتش'}, 'shortNameTranslation': {'ar': 'ك. سزوتش'}}}",True,block,corner,"{'x': 6.7, 'y': 53.6, 'z': 0}",head,low-centre,"{'x': 0, 'y': 51.6, 'z': 19}","{'name': 'Lazar Balević', 'firstName': 'Lazar Balevic', 'slug': 'lazar-balevic', 'shortName': 'L. Balević', 'position': 'G', 'jerseyNumber': '84', 'userCount': 103, 'gender': 'M', 'id': 1937361, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار باليفيتش'}, 'shortNameTranslation': {'ar': 'ل. باليفيتش'}}}",6930511,49,2884,"{'start': {'x': 53.6, 'y': 6.7}, 'block': {'x': 52.9, 'y': 5.8}, 'end': {'x': 48.4, 'y': 0}, 'goal': {'x': 48.4, 'y': 81}}",42,2516,184,shot,"{'x': 5.8, 'y': 52.9, 'z': 0}",,
"{'name': 'Aleksa Vukanović', 'slug': 'aleksa-vukanovic', 'shortName': 'A. Vukanović', 'position': 'F', 'jerseyNumber': '9', 'userCount': 157, 'gender': 'M', 'id': 842317, 'fieldTranslations': {'nameTranslation': {'ar': 'أليكسا فوكانوفيتش', 'bn': 'আলেক্সা ভুকানোভিচ', 'hi': 'अलेक्सा वुकानोविक'}, 'shortNameTranslation': {'ar': 'أ. فوكانوفيتش', 'bn': 'এ. ভুকানোভিচ', 'hi': 'ए. वुकानोविक'}}}",True,block,assisted,"{'x': 9.8, 'y': 55.4, 'z': 0}",head,high-right,"{'x': 0, 'y': 47.2, 'z': 20.8}","{'name': 'Lazar Balević', 'firstName': 'Lazar Balevic', 'slug': 'lazar-balevic', 'shortName': 'L. Balević', 'position': 'G', 'jerseyNumber': '84', 'userCount': 103, 'gender': 'M', 'id': 1937361, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار باليفيتش'}, 'shortNameTranslation': {'ar': 'ل. باليفيتش'}}}",6929842,48,2856,"{'start': {'x': 55.4, 'y': 9.8}, 'block': {'x': 54.2, 'y': 8}, 'end': {'x': 52.8, 'y': 0}, 'goal': {'x': 52.8, 'y': 79.2}}",43,2544,156,shot,"{'x': 8, 'y': 54.2, 'z': 0}",,
