match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,shotOffTarget,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,shotValueNormalized,aerialLost,blockedScoringAttempt,interceptionWon,bigChanceCreated,onTargetScoringAttempt,dispossessed,bigChanceMissed,goals,wasFouled,totalOffside,errorLeadToAGoal,goodHighClaim,clearanceOffLine,errorLeadToAShot
14015627,home,5150,FK Vojvodina,844128,Dragan Rosić,dragan-rosic,G,12,False,18.0,14.0,6.0,2.0,0.0,14.0,15.0,3.0,2.0,5.0,1.0,2.0,2.0,2.0,90.0,24.0,7.3,4.0,14.234351426622,3.0,5.6136146676197,0.0,0.8992,"{'original': 7.3, 'alternative': 6.5}",0,0.01,-0.06,-0.02,0.65,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,77.77777777777779,33.33333333333333,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015627,home,5150,FK Vojvodina,862782,Lazar Nikolić,lazar-nikolic,D,22,False,52.0,42.0,6.0,2.0,0.0,15.0,18.0,34.0,4.0,7.0,,,,,90.0,76.0,7.8,13.0,176.41140227758,21.0,25.878734676019,1.0,,"{'original': 7.8, 'alternative': 7.5}",3,0.79,0.34,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,3,4,80.76923076923077,33.33333333333333,50.0,100.0,,27.0,2.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,33.143338834765,33.435347777464,3.0,-0.4,,,,,,,,,,,,,,
14015627,home,5150,FK Vojvodina,1008297,Kornél Szűcs,kornel-szucs,D,26,False,75.0,66.0,2.0,1.0,0.0,42.0,44.0,31.0,5.0,3.0,,,,,90.0,85.0,6.9,9.0,231.60971795171,27.0,116.66111165119,0.0,,"{'original': 6.9, 'alternative': 6.8}",1,0.38,0.19,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,8,3,0,3,88.0,50.0,,,,24.0,,,5.0,6.0,5.0,,,,,,,,,3.0,,,,-0.13,3.0,1.0,2.0,,,,,,,,,,,
14015627,home,5150,FK Vojvodina,795878,Đorđe Crnomarković,dorde-crnomarkovic,D,5,False,73.0,65.0,8.0,4.0,0.0,46.0,46.0,27.0,4.0,6.0,,,,,90.0,84.0,7.2,9.0,260.63866462959,32.0,124.44958948518,0.0,,"{'original': 7.2, 'alternative': 7}",0,0.35,0.12,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,2,0,89.04109589041096,50.0,,,,19.0,1.0,,2.0,,4.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,
14015627,home,5150,FK Vojvodina,974434,Lucas Barros,lucas-barros,D,23,False,41.0,33.0,5.0,2.0,0.0,12.0,13.0,28.0,1.0,3.0,,,,,90.0,62.0,6.4,15.0,182.43764056551,16.0,74.452182203679,3.0,,"{'original': 6.4, 'alternative': 6.7}",2,0.18,0.18,-0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,80.48780487804879,40.0,50.0,,,21.0,4.0,2.0,,3.0,2.0,,1.0,,2.0,,2.0,1.0,2.0,2.0,41.770357129635,82.090024188143,1.0,-0.37,,,1.0,,,,,,,,,,,
14015627,home,5150,FK Vojvodina,858238,Milutin Vidosavljević,milutin-vidosavljevic,M,55,False,44.0,38.0,1.0,1.0,0.0,11.0,14.0,30.0,,7.0,,,,,74.0,62.0,7.1,13.0,141.78453358664,16.0,21.696623760139,1.0,,"{'original': 7.1, 'alternative': 7.7}",2,0.28,0.15,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,4,2,86.36363636363636,100.0,16.666666666666664,100.0,,27.0,6.0,1.0,,3.0,4.0,1.0,1.0,1.0,1.0,,3.0,3.0,2.0,1.0,15.905936047705,15.991138170875,2.0,-0.09,1.0,,2.0,1.0,1.0,,,,,,,,,
14015627,home,5150,FK Vojvodina,111754,Marko Poletanović,marko-poletanovic,M,4,False,55.0,48.0,7.0,3.0,0.0,22.0,23.0,32.0,1.0,8.0,,,,,65.0,62.0,7.2,10.0,140.88280904995,20.0,18.236789670465,0.0,,"{'original': 7.2, 'alternative': 6.7}",0,0.44,-0.03,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,87.27272727272727,42.857142857142854,,,,26.0,,,1.0,2.0,1.0,,1.0,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,
14015627,home,5150,FK Vojvodina,938000,Lazar Ranđelović,lazar-randelovic,M,77,False,40.0,33.0,2.0,1.0,2.0,8.0,8.0,32.0,,2.0,,,,,80.0,56.0,10.0,12.0,182.25863690399,18.0,55.835296138083,2.0,,"{'original': 10, 'alternative': 9.2}",2,1.0,0.38,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,82.5,50.0,50.0,,,25.0,4.0,2.0,,2.0,2.0,,1.0,,,,1.0,1.0,1.0,1.0,51.559673496405,60.250940610255,4.0,0.47,,,,3.0,2.0,,1.0,1.0,1.0,,,,,
14015627,home,5150,FK Vojvodina,1121635,Marko Veličković,marko-velickovic,M,24,False,32.0,27.0,4.0,1.0,2.0,9.0,9.0,23.0,,1.0,,,,,90.0,48.0,8.8,10.0,140.48293260688,17.0,81.078952131651,4.0,,"{'original': 8.8, 'alternative': 8.8}",4,1.0,0.44,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,2,7,84.375,25.0,100.0,,,18.0,1.0,1.0,1.0,8.0,3.0,3.0,1.0,,2.0,,1.0,,2.0,1.0,14.544576274105,49.703052650761,3.0,0.52,1.0,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,
14015627,home,5150,FK Vojvodina,1656646,Milan Kolarević,milan-kolarevic,M,21,False,10.0,7.0,,,0.0,5.0,5.0,5.0,,1.0,,,,,65.0,24.0,6.5,12.0,36.495268713039,6.0,6.9667290088343,0.0,,"{'original': 6.5, 'alternative': 6.4}",0,-0.03,0.04,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,3,5,70.0,,,,,2.0,3.0,,1.0,6.0,4.0,,3.0,,,,2.0,1.0,2.0,1.0,,,,,1.0,,1.0,,,1.0,,,1.0,,,,,
