player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,xgot,goalType,blockCoordinates
"{'name': 'Marko Đurišić', 'slug': 'marko-durisic', 'shortName': 'M. Đurišić', 'position': 'M', 'jerseyNumber': '8', 'userCount': 14, 'gender': 'M', 'id': 843005, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو دوريسيتش', 'bn': 'মার্কো ডুরিসিক', 'hi': 'मार्को ड्यूरिशिक'}, 'shortNameTranslation': {'ar': 'م. دوريسيتش', 'bn': 'এম. ডুরিসিক', 'hi': 'एम. ड्यूरिशिक'}}}",True,miss,regular,"{'x': 23, 'y': 41, 'z': 0}",left-foot,close-high,"{'x': 0, 'y': 51.5, 'z': 55.5}",0.05391,6825419,90,3.0,5565,"{'start': {'x': 41, 'y': 23}, 'end': {'x': 48.5, 'y': 0}, 'goal': {'x': 48.5, 'y': 44.5}}",1,735,165,shot,,,
"{'name': 'Rodrigo Faust', 'slug': 'rodrigo-faust', 'shortName': 'R. Faust', 'position': 'F', 'jerseyNumber': '9', 'userCount': 8, 'gender': 'M', 'id': 871881, 'fieldTranslations': {'nameTranslation': {'ar': 'رودريغو فاوست'}, 'shortNameTranslation': {'ar': 'ر. فاوست'}}}",False,miss,regular,"{'x': 59, 'y': 73, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 43.4, 'z': 43}",0.0003812,6825418,89,,5326,"{'start': {'x': 73, 'y': 59}, 'end': {'x': 56.6, 'y': 0}, 'goal': {'x': 56.6, 'y': 57}}",2,74,2626,shot,,,
"{'name': 'Nikola Pavličević', 'firstName': 'Nikola', 'lastName': 'Pavličević', 'slug': 'nikola-pavlicevic', 'shortName': 'N. Pavličević', 'position': 'M', 'jerseyNumber': '18', 'userCount': 1, 'gender': 'M', 'id': 1648560, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا بافليتشيفيتش'}, 'shortNameTranslation': {'ar': 'ن. بافليتشيفيتش'}}}",False,save,regular,"{'x': 16, 'y': 30, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 51.1, 'z': 21.4}",0.0561,6825417,87,,5194,"{'start': {'x': 30, 'y': 16}, 'end': {'x': 48.9, 'y': 0}, 'goal': {'x': 48.9, 'y': 78.6}}",4,206,2494,shot,0.01585,,
"{'name': 'Nikola Pavličević', 'firstName': 'Nikola', 'lastName': 'Pavličević', 'slug': 'nikola-pavlicevic', 'shortName': 'N. Pavličević', 'position': 'M', 'jerseyNumber': '18', 'userCount': 1, 'gender': 'M', 'id': 1648560, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا بافليتشيفيتش'}, 'shortNameTranslation': {'ar': 'ن. بافليتشيفيتش'}}}",False,save,regular,"{'x': 6, 'y': 30, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 54.4, 'z': 10}",0.07633,6825416,82,,4883,"{'start': {'x': 30, 'y': 6}, 'end': {'x': 45.6, 'y': 0}, 'goal': {'x': 45.6, 'y': 90}}",9,517,2183,shot,0.08208,,
"{'name': 'Balša Sekulić', 'slug': 'balsa-sekulic', 'shortName': 'B. Sekulić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 23, 'gender': 'M', 'id': 856483, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا سيكوليتش', 'bn': 'বালসা সেকুলিক', 'hi': 'बाल्सा सेकुलिक'}, 'shortNameTranslation': {'ar': 'ب. سيكوليتش', 'bn': 'বি. সেকুলিক', 'hi': 'बी. सेकुलिक'}}}",True,goal,regular,"{'x': 4, 'y': 51, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 48.3, 'z': 9}",0.6125,6825415,78,,4646,"{'start': {'x': 51, 'y': 4}, 'end': {'x': 51.7, 'y': 0}, 'goal': {'x': 51.7, 'y': 91}}",13,754,1946,shot,0.7854,regular,
"{'name': 'Balša Sekulić', 'slug': 'balsa-sekulic', 'shortName': 'B. Sekulić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 23, 'gender': 'M', 'id': 856483, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا سيكوليتش', 'bn': 'বালসা সেকুলিক', 'hi': 'बाल्सा सेकुलिक'}, 'shortNameTranslation': {'ar': 'ب. سيكوليتش', 'bn': 'বি. সেকুলিক', 'hi': 'बी. सेकुलिक'}}}",True,save,regular,"{'x': 8, 'y': 33, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 53.3, 'z': 26.9}",0.08889,6825414,75,,4474,"{'start': {'x': 33, 'y': 8}, 'end': {'x': 46.7, 'y': 0}, 'goal': {'x': 46.7, 'y': 73.1}}",16,926,1774,shot,0.3244,,
"{'name': 'Dušan Vuković', 'firstName': '', 'lastName': '', 'slug': 'dusan-vukovic', 'shortName': 'D. Vuković', 'position': 'M', 'jerseyNumber': '77', 'userCount': 23, 'gender': 'M', 'id': 1103884, 'fieldTranslations': {'nameTranslation': {'ar': 'دوشان فوكوفيتش'}, 'shortNameTranslation': {'ar': 'د. فوكوفيتش'}}}",False,miss,regular,"{'x': 28, 'y': 50, 'z': 0}",left-foot,close-left,"{'x': 0, 'y': 56.2, 'z': 20.4}",0.01573,6825413,71,,4220,"{'start': {'x': 50, 'y': 28}, 'end': {'x': 43.8, 'y': 0}, 'goal': {'x': 43.8, 'y': 79.6}}",20,1180,1520,shot,,,
"{'name': 'Matije Badnjar', 'firstName': 'Matije Badnjar', 'slug': 'matije-badnjar', 'shortName': 'M. Badnjar', 'position': 'D', 'jerseyNumber': '3', 'userCount': 4, 'gender': 'M', 'id': 1381381, 'fieldTranslations': {'nameTranslation': {'ar': 'ماتييه بادنجار'}, 'shortNameTranslation': {'ar': 'م. بادنجار'}}}",False,goal,own-goal,"{'x': 1, 'y': 45, 'z': 0}",other,low-centre,"{'x': 0, 'y': 50, 'z': 20}",,6825420,70,,4156,"{'start': {'x': 45, 'y': 1}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",21,1244,1456,shot,,own,
"{'name': 'Mamadou Camara', 'firstName': '', 'lastName': '', 'slug': 'mamadou-camara', 'shortName': 'M. Camara', 'position': 'M', 'jerseyNumber': '78', 'userCount': 110, 'gender': 'M', 'id': 1134549, 'fieldTranslations': {'nameTranslation': {'ar': 'مامادو كامارا', 'bn': 'মামাদু কামারা', 'hi': 'मामादौ कैमारा'}, 'shortNameTranslation': {'ar': 'م. كامارا', 'bn': 'এম. কামারা', 'hi': 'एम. कैमारा'}}}",False,block,set-piece,"{'x': 28, 'y': 57, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.02404,6825412,68,,4042,"{'start': {'x': 57, 'y': 28}, 'block': {'x': 57, 'y': 28}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",23,1358,1342,shot,,,"{'x': 28, 'y': 57, 'z': 0}"
"{'name': 'Balša Sekulić', 'slug': 'balsa-sekulic', 'shortName': 'B. Sekulić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 23, 'gender': 'M', 'id': 856483, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا سيكوليتش', 'bn': 'বালসা সেকুলিক', 'hi': 'बाल्सा सेकुलिक'}, 'shortNameTranslation': {'ar': 'ب. سيكوليتش', 'bn': 'বি. সেকুলিক', 'hi': 'बी. सेकुलिक'}}}",True,goal,regular,"{'x': 11, 'y': 48, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.6, 'z': 9.7}",0.2456,6825411,48,,2853,"{'start': {'x': 48, 'y': 11}, 'end': {'x': 49.4, 'y': 0}, 'goal': {'x': 49.4, 'y': 90.3}}",43,2547,153,shot,0.3526,regular,
