match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,bigChanceMissed,onTargetScoringAttempt,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,shotValueNormalized,aerialWon,bigChanceCreated,interceptionWon,totalContest,wonContest,blockedScoringAttempt,shotOffTarget,goals,dispossessed,totalOffside,totalKeeperSweeper,accurateKeeperSweeper
14015497,home,5152,FK Partizan,19191,Bibars Natcho,bibars-natcho,M,10,True,8.0,8.0,,,1.0,4.0,4.0,4.0,4.0,,1.0,,,,,12.0,8.0,6.9,,,"{'original': 6.9, 'alternative': 7.1}",0,0.3,0.04,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,
14015497,home,5152,FK Partizan,1147544,Vukašin Đurđević,vukasin-durdevic,D,24,True,11.0,11.0,,,0.0,10.0,10.0,1.0,1.0,,1.0,,,,,12.0,11.0,6.7,,,"{'original': 6.7, 'alternative': 6.6}",0,0.04,0.0,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015497,home,5152,FK Partizan,1427161,Ognjen Ugrešić,ognjen-ugresic,M,36,True,4.0,4.0,,,0.0,1.0,1.0,3.0,3.0,,1.0,,,,,5.0,7.0,,2.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,100.0,,,50.0,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,2.0,1.0,,,,,,,
14015497,home,5152,FK Partizan,807245,Miloš Krunić,milos-krunic,G,31,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015497,home,5152,FK Partizan,1851627,Abdulmalik Mohammed,abdulmalik-mohammed,D,13,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015497,home,5152,FK Partizan,252121,Ghayas Zahid,ghayas-zahid,M,29,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015497,home,5152,FK Partizan,1429960,Dimitrije Janković,dimitrije-jankovic,M,70,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015497,home,77629,FK Partizan,1218053,Ibrahim Zubairu,zubairu-ibrahim,F,39,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015497,home,282203,FK Partizan,1500279,Dusan Jovanović,dusan-jovanovic,F,42,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015497,away,7771,FK Mladost Lučani,1166128,Bogdan Matijasevic,bogdan-matijasevic,G,23,False,20.0,8.0,14.0,2.0,0.0,6.0,9.0,2.0,11.0,2.0,7.0,,4.0,6.0,1.0,90.0,32.0,7.0,13.0,0.5505,"{'original': 7, 'alternative': 7}",0,0.01,-0.07,-0.3,0.36,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,40.0,14.285714285714285,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
