minute,value
0.0,0
1.0,9
2.0,10
3.0,55
4.0,74
5.0,52
6.0,-74
7.0,-18
8.0,-12
9.0,-42
10.0,-23
11.0,-6
12.0,-2
13.0,7
14.0,18
15.0,43
16.0,32
17.0,22
18.0,15
19.0,86
20.0,56
21.0,36
22.0,29
23.0,19
24.0,8
25.0,2
26.0,-3
27.0,13
28.0,15
29.0,11
30.0,15
31.0,47
32.0,25
33.0,17
34.0,13
35.0,40
36.0,100
37.0,77
38.0,-68
39.0,-6
40.0,-4
41.0,-8
42.0,-48
43.0,-31
44.0,27
45.0,2
45.5,-95
46.0,4
47.0,74
48.0,-64
49.0,-6
50.0,32
51.0,23
52.0,10
53.0,-44
54.0,-15
55.0,-15
56.0,-8
57.0,-44
58.0,36
59.0,14
60.0,14
61.0,64
62.0,82
63.0,47
64.0,-40
65.0,-8
66.0,-3
67.0,-15
68.0,-9
69.0,-12
70.0,-17
71.0,-10
72.0,-15
73.0,-9
74.0,-5
75.0,5
76.0,-5
77.0,6
78.0,58
79.0,70
80.0,92
81.0,50
82.0,25
83.0,-11
84.0,-4
85.0,-6
86.0,-4
87.0,-12
88.0,10
89.0,3
90.0,22
90.5,-70
