player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,xgot,goalType
"{'name': 'Danilo Vukanić', 'slug': 'danilo-vukanic', 'shortName': 'D. Vukanić', 'position': 'M', 'jerseyNumber': '44', 'userCount': 48, 'gender': 'M', 'id': 1423515, 'fieldTranslations': {'nameTranslation': {'ar': 'دانييلو فوكانيتش'}, 'shortNameTranslation': {'ar': 'د. فوكانيتش'}}}",False,block,regular,"{'x': 14, 'y': 44, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 14, 'y': 44, 'z': 0}",0.06317,6528852,38,,2240,"{'start': {'x': 44, 'y': 14}, 'block': {'x': 44, 'y': 14}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",8,460,2240,shot,,
"{'name': 'Danilo Vukanić', 'slug': 'danilo-vukanic', 'shortName': 'D. Vukanić', 'position': 'M', 'jerseyNumber': '44', 'userCount': 48, 'gender': 'M', 'id': 1423515, 'fieldTranslations': {'nameTranslation': {'ar': 'دانييلو فوكانيتش'}, 'shortNameTranslation': {'ar': 'د. فوكانيتش'}}}",False,block,regular,"{'x': 21, 'y': 31, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 21, 'y': 31, 'z': 0}",0.01393,6528851,38,,2235,"{'start': {'x': 31, 'y': 21}, 'block': {'x': 31, 'y': 21}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",8,465,2235,shot,,
"{'name': 'Viktor Živojinović', 'slug': 'viktor-zivojinovic', 'shortName': 'V. Živojinović', 'position': 'M', 'userCount': 35, 'gender': 'M', 'id': 989177, 'fieldTranslations': {'nameTranslation': {'ar': 'فيكتور زيفوجينوفيتش'}, 'shortNameTranslation': {'ar': 'ف. زيفوجينوفيتش'}}}",True,goal,corner,"{'x': 8, 'y': 27, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.4, 'z': 4}",,0.02506,6528850,36,,2146,"{'start': {'x': 27, 'y': 8}, 'end': {'x': 48.6, 'y': 0}, 'goal': {'x': 48.6, 'y': 96}}",10,554,2146,shot,0.02357,regular
"{'name': 'Žarko Popović', 'firstName': '', 'lastName': '', 'slug': 'zarko-popovic', 'shortName': 'Ž. Popović', 'position': 'M', 'jerseyNumber': '4', 'userCount': 5, 'gender': 'M', 'id': 1030468, 'fieldTranslations': {'nameTranslation': {'ar': 'زاركو بوبوفيتش'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش'}}}",True,miss,regular,"{'x': 31, 'y': 46, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 41.8, 'z': 17.4}",,0.001186,6528849,35,,2055,"{'start': {'x': 46, 'y': 31}, 'end': {'x': 58.2, 'y': 0}, 'goal': {'x': 58.2, 'y': 82.6}}",11,645,2055,shot,,
"{'name': 'Dejan Boljević', 'slug': 'dejan-boljevic', 'shortName': 'D. Boljević', 'position': 'D', 'jerseyNumber': '33', 'userCount': 4, 'gender': 'M', 'id': 57339, 'fieldTranslations': {'nameTranslation': {'ar': 'ديان بوليفيتش', 'hi': 'देजान बोलजेविक', 'bn': 'দেজান বলজেভিচ'}, 'shortNameTranslation': {'ar': 'د. بوليفيتش', 'hi': 'डी. बोलजेविक', 'bn': 'ডি. বলজেভিচ'}}}",True,save,set-piece,"{'x': 13, 'y': 45, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 48.8, 'z': 30.2}",,0.1654,6528848,31,,1824,"{'start': {'x': 45, 'y': 13}, 'end': {'x': 51.2, 'y': 0}, 'goal': {'x': 51.2, 'y': 69.8}}",15,876,1824,shot,0.2068,
"{'name': 'Nemanja Carević', 'firstName': 'Nemanja Carevic', 'lastName': '', 'slug': 'nemanja-carevic', 'shortName': 'N. Carević', 'position': 'M', 'jerseyNumber': '21', 'userCount': 8, 'gender': 'M', 'id': 1381384, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا كاريتش'}, 'shortNameTranslation': {'ar': 'ن. كاريتش'}}}",True,goal,regular,"{'x': 30, 'y': 40, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 54.7, 'z': 2.7}",,0.0101,6528847,19,,1089,"{'start': {'x': 40, 'y': 30}, 'end': {'x': 45.3, 'y': 0}, 'goal': {'x': 45.3, 'y': 97.3}}",27,1611,1089,shot,0.02486,regular
"{'name': 'Viktor Živojinović', 'slug': 'viktor-zivojinovic', 'shortName': 'V. Živojinović', 'position': 'M', 'userCount': 35, 'gender': 'M', 'id': 989177, 'fieldTranslations': {'nameTranslation': {'ar': 'فيكتور زيفوجينوفيتش'}, 'shortNameTranslation': {'ar': 'ف. زيفوجينوفيتش'}}}",True,miss,regular,"{'x': 21, 'y': 37, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 43.2, 'z': 7.2}",,0.08761,6528846,15,,843,"{'start': {'x': 37, 'y': 21}, 'end': {'x': 56.8, 'y': 0}, 'goal': {'x': 56.8, 'y': 92.8}}",31,1857,843,shot,,
"{'name': 'Ivan Bulatović', 'slug': 'ivan-bulatovic', 'shortName': 'I. Bulatović', 'position': 'F', 'jerseyNumber': '11', 'userCount': 46, 'gender': 'M', 'id': 894403, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفان بولاتوفيتش'}, 'shortNameTranslation': {'ar': 'إ. بولاتوفيتش'}}}",False,save,regular,"{'x': 8, 'y': 62, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.9, 'z': 1.3}",,0.2098,6528845,9,,535,"{'start': {'x': 62, 'y': 8}, 'end': {'x': 51.1, 'y': 0}, 'goal': {'x': 51.1, 'y': 98.7}}",37,2165,535,shot,0.1904,
"{'name': 'Danilo Vukanić', 'slug': 'danilo-vukanic', 'shortName': 'D. Vukanić', 'position': 'M', 'jerseyNumber': '44', 'userCount': 48, 'gender': 'M', 'id': 1423515, 'fieldTranslations': {'nameTranslation': {'ar': 'دانييلو فوكانيتش'}, 'shortNameTranslation': {'ar': 'د. فوكانيتش'}}}",False,goal,regular,"{'x': 28, 'y': 57, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 46.6, 'z': 27}",,0.03829,6528844,6,,329,"{'start': {'x': 57, 'y': 28}, 'end': {'x': 53.4, 'y': 0}, 'goal': {'x': 53.4, 'y': 73}}",40,2371,329,shot,0.2939,regular
"{'name': 'Žarko Popović', 'firstName': '', 'lastName': '', 'slug': 'zarko-popovic', 'shortName': 'Ž. Popović', 'position': 'M', 'jerseyNumber': '4', 'userCount': 5, 'gender': 'M', 'id': 1030468, 'fieldTranslations': {'nameTranslation': {'ar': 'زاركو بوبوفيتش'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش'}}}",True,save,throw-in-set-piece,"{'x': 30, 'y': 60, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 49.8, 'z': 11.8}",,0.003326,6528843,4,,233,"{'start': {'x': 60, 'y': 30}, 'end': {'x': 50.2, 'y': 0}, 'goal': {'x': 50.2, 'y': 88.2}}",42,2467,233,shot,0.006674,
"{'name': 'Adnan Bašić', 'slug': 'adnan-basic', 'shortName': 'A. Bašić', 'position': 'F', 'jerseyNumber': '10', 'userCount': 6, 'gender': 'M', 'id': 791606, 'fieldTranslations': {'nameTranslation': {'ar': 'عدنان باشيتش'}, 'shortNameTranslation': {'ar': 'ع. باشيتش'}}}",True,miss,corner,"{'x': 10, 'y': 61, 'z': 0}",left-foot,close-right,"{'x': 0, 'y': 42.9, 'z': 1.1}",,0.2276,6528842,3,,156,"{'start': {'x': 61, 'y': 10}, 'end': {'x': 57.1, 'y': 0}, 'goal': {'x': 57.1, 'y': 98.9}}",43,2544,156,shot,,
