match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,keyPass,blockedScoringAttempt,shotOffTarget,bigChanceCreated,bigChanceMissed
14147312,home,6219,FK Jedinstvo Bijelo Polje,905682,Rijad Dzafic,rijad-dzafic,G,71,False,17.0,13.0,10.0,7.0,0.0,7.0,7.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,90.0,25.0,8.1,7.0,0.0,0.0,"{'original': 8.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,76.47058823529412,70.0,,,,,,,,,
14147312,home,6219,FK Jedinstvo Bijelo Polje,1190521,Lazar Šekularac,lazar-sekularac,D,27,False,24.0,8.0,4.0,0.0,0.0,2.0,8.0,5.0,14.0,2.0,0.0,0.0,0.0,10.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,,,,,,,90.0,28.0,5.9,19.0,0.0,0.0,"{'original': 5.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,0,12,2,10,33.33333333333333,0.0,0.0,,,,,,,,
14147312,home,6219,FK Jedinstvo Bijelo Polje,1424818,Srđan Šćepanović,srdan-scepanovic,D,55,False,14.0,8.0,2.0,1.0,0.0,6.0,9.0,2.0,5.0,0.0,0.0,0.0,1.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,17.0,6.5,5.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,0,5,57.14285714285714,50.0,,,,,,,,,
14147312,home,6219,FK Jedinstvo Bijelo Polje,807581,Miloš Nikolić,milos-nikolic,D,23,False,16.0,14.0,2.0,1.0,0.0,9.0,9.0,5.0,6.0,0.0,0.0,0.0,3.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,80.0,24.0,6.8,4.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,2,4,87.5,50.0,,,,1.0,,,,,
14147312,home,6219,FK Jedinstvo Bijelo Polje,1440632,Georgios Makrydakis,makrydakis-georgios,D,56,False,18.0,10.0,2.0,0.0,0.0,3.0,8.0,5.0,7.0,2.0,1.0,1.0,3.0,13.0,6.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,69.0,29.0,6.5,10.0,0.0,0.08,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,4,15,3,12,55.55555555555556,0.0,50.0,0.0,,1.0,1.0,,,,
14147312,home,6219,FK Jedinstvo Bijelo Polje,1536333,Stefan Radojevic,stefan-radojevic,M,8,False,21.0,11.0,1.0,0.0,0.0,7.0,11.0,4.0,10.0,1.0,0.0,2.0,3.0,15.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,,,,90.0,44.0,7.5,17.0,0.1,0.0,"{'original': 7.5, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,5,17,4,13,52.38095238095239,0.0,0.0,100.0,,2.0,,,,,
14147312,home,6219,FK Jedinstvo Bijelo Polje,1185130,Arsenije Čepić,arsenije-cepic,M,15,False,44.0,35.0,10.0,4.0,0.0,16.0,18.0,13.0,18.0,0.0,0.0,1.0,1.0,8.0,4.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,57.0,7.2,11.0,0.14,0.0,"{'original': 7.2, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,3,7,79.54545454545455,40.0,,100.0,,,,1.0,,,
14147312,home,6219,FK Jedinstvo Bijelo Polje,1131050,Andrej Cvijović,andrej-cvijovic,M,33,False,17.0,10.0,1.0,0.0,0.0,2.0,2.0,7.0,14.0,5.0,1.0,1.0,1.0,10.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,90.0,34.0,6.7,10.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,2,12,3,9,58.82352941176471,0.0,20.0,100.0,,,,,,,
14147312,home,6219,FK Jedinstvo Bijelo Polje,874418,Mirza Idrizović,mirza-idrizovic,M,10,False,25.0,17.0,2.0,1.0,0.0,6.0,9.0,11.0,16.0,2.0,1.0,1.0,0.0,10.0,6.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,,,,,,,69.0,40.0,6.9,11.0,0.0,0.05,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,1,15,6,9,68.0,50.0,50.0,66.66666666666666,,,2.0,,,,
14147312,home,6219,FK Jedinstvo Bijelo Polje,1391891,Danis Kolić,danis-kolic,M,22,False,22.0,14.0,5.0,2.0,0.0,4.0,6.0,10.0,16.0,4.0,2.0,0.0,0.0,13.0,6.0,2.0,6.0,5.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,,,,,,,90.0,45.0,6.9,9.0,0.15,0.06,"{'original': 6.9, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,0,19,6,13,63.63636363636363,40.0,50.0,83.33333333333334,,1.0,1.0,,3.0,,
14147312,home,6219,FK Jedinstvo Bijelo Polje,54752,Žarko Korać,zarko-korac,F,11,False,12.0,10.0,2.0,1.0,0.0,4.0,4.0,6.0,8.0,1.0,0.0,8.0,1.0,15.0,6.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,,3.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,2.0,,,,,,,90.0,29.0,7.7,12.0,0.4,0.0,"{'original': 7.7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,9,12,5,7,83.33333333333334,50.0,0.0,100.0,,,,,,,
14147312,home,383337,FK Jedinstvo Bijelo Polje,1391886,Sead Dacić,sead-dacic,D,19,True,3.0,3.0,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,21.0,9.0,6.9,2.0,0.01,0.0,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,100.0,,,,,,,,1.0,,
14147312,home,241802,FK Jedinstvo Bijelo Polje,1391884,Takeru Komiya,takeru-komiya,M,30,True,5.0,5.0,1.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,21.0,14.0,6.4,5.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,2,4,100.0,100.0,,0.0,,,,,,,
14147312,home,6219,FK Jedinstvo Bijelo Polje,960227,Ognjen Obradović,ognjen-obradovic,D,6,True,2.0,0.0,0.0,0.0,0.0,,1.0,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,10.0,3.0,6.3,3.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,0.0,,,,,,,,,,
14147312,home,6219,FK Jedinstvo Bijelo Polje,1382874,Aldin Mušović,aldin-musovic,F,9,True,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,1.0,1.0,,1.0,0.0,0.0,,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,,,,,,,,,,,
14147312,home,6219,FK Jedinstvo Bijelo Polje,1134689,Goran Aković,goran-akovic,G,44,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147312,home,6219,FK Jedinstvo Bijelo Polje,808563,Momčilo Dulović,momcilo-dulovic,D,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147312,home,6219,FK Jedinstvo Bijelo Polje,1166154,Mladen Kovačević,mladen-kovacevic,M,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147312,home,6219,FK Jedinstvo Bijelo Polje,2444869,Pavle  Božović,pavle-bozovic,F,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147312,home,6219,FK Jedinstvo Bijelo Polje,2223988,Zijad Mahmutović,zijad-mahmutovic,,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147312,away,36019,FK Mornar Bar,187341,Stefan Popović,stefan-popovic,G,12,False,28.0,25.0,11.0,8.0,0.0,21.0,22.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,3.0,2.0,0.0,90.0,32.0,6.5,3.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,89.28571428571429,72.72727272727273,,,0.0,,,,,,
