match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,bigChanceCreated,interceptionWon,keyPass,shotOffTarget,penaltyWon,dispossessed,bigChanceMissed,blockedScoringAttempt,savedShotsFromInsideTheBox,penaltyConceded
14147357,home,327162,Mladost DG,1423524,Ognjen Milović,ognjen-milovic,G,99,False,25.0,22.0,5.0,3.0,0.0,22.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,90.0,28.0,5.7,3.0,0.0,0.0,"{'original': 5.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,88.0,60.0,,,,,,,,,,,,,,
14147357,home,327162,Mladost DG,1036138,Jovan Vujisic,jovan-vujisic,D,5,False,76.0,65.0,4.0,1.0,0.0,40.0,42.0,28.0,1.0,1.0,1.0,1.0,7.0,6.0,2.0,1.0,1.0,0.0,0.0,4.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,,,,,90.0,93.0,7.1,14.0,0.0,0.38,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,5,6,85.52631578947368,25.0,100.0,100.0,,21.0,1.0,3.0,3.0,,,,,,,
14147357,home,327162,Mladost DG,605370,Luka Uskoković,luka-uskokovic,D,4,False,70.0,60.0,8.0,4.0,0.0,30.0,34.0,32.0,0.0,0.0,1.0,2.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90.0,89.0,7.0,9.0,0.03,0.0,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,1,4,85.71428571428571,50.0,,,,26.0,,5.0,,,,,,,,
14147357,home,327162,Mladost DG,880655,Zvonko Ceklić,zvonko-ceklic,D,6,False,42.0,37.0,3.0,3.0,0.0,17.0,18.0,23.0,1.0,0.0,1.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,69.0,49.0,6.6,16.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,1,8,88.09523809523809,100.0,0.0,,,19.0,,1.0,,,,,,,,
14147357,home,327162,Mladost DG,978475,Stephano Almeida,stephano-almeida,M,27,False,46.0,34.0,5.0,3.0,0.0,7.0,9.0,35.0,8.0,6.0,0.0,1.0,21.0,12.0,0.0,10.0,6.0,0.0,0.0,2.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,,,,,,90.0,77.0,7.9,23.0,0.04,0.25,"{'original': 7.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",33,1,32,11,21,73.91304347826086,60.0,75.0,60.0,,26.0,,,2.0,1.0,1.0,,,,,
14147357,home,327162,Mladost DG,1163021,Nelson Augustin Cordoba,nelson-augustin-cordoba,M,28,False,50.0,43.0,2.0,2.0,0.0,16.0,17.0,32.0,3.0,3.0,1.0,4.0,13.0,9.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,90.0,71.0,6.5,16.0,0.99,0.0,"{'original': 6.5, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,5,17,5,12,86.0,100.0,100.0,50.0,,26.0,,1.0,,1.0,,1.0,2.0,1.0,,
14147357,home,7887,Mladost DG,1149289,Balša Mrvaljević,balsa-mrvaljevic,M,18,False,19.0,14.0,2.0,2.0,0.0,6.0,7.0,12.0,2.0,1.0,1.0,0.0,6.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,,,,,,62.0,33.0,6.7,7.0,0.0,0.17,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,5,5,73.68421052631578,100.0,50.0,100.0,,8.0,,,1.0,,,,,,,
14147357,home,327162,Mladost DG,929719,Davor Kontić,davor-kontic,M,8,False,37.0,31.0,0.0,0.0,0.0,20.0,22.0,14.0,0.0,0.0,1.0,2.0,11.0,5.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,62.0,51.0,6.7,7.0,0.18,0.03,"{'original': 6.7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,3,13,3,10,83.78378378378379,,,33.33333333333333,,11.0,,1.0,1.0,2.0,,,,,,
14147357,home,327162,Mladost DG,1030487,Anđelko Jovanović,andelko-jovanovic,M,10,False,73.0,57.0,4.0,1.0,0.0,13.0,15.0,56.0,4.0,1.0,3.0,1.0,13.0,11.0,1.0,9.0,8.0,1.0,1.0,4.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,,,,90.0,99.0,7.9,17.0,0.93,0.02,"{'original': 7.9, 'alternative': None}",5.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",24,4,20,10,10,78.08219178082192,25.0,25.0,88.88888888888889,,42.0,,2.0,1.0,2.0,,,,2.0,,
14147357,home,327162,Mladost DG,871881,Rodrigo Faust,rodrigo-faust,F,9,False,4.0,4.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,6.0,1.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,38.0,7.0,5.2,2.0,0.3,0.0,"{'original': 5.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,7,4,0,4,100.0,,,,,1.0,,,,,,,1.0,,,
