match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,shotOffTarget,interceptionWon,shotValueNormalized,challengeLost,dispossessed,totalContest,wonContest,keyPass,onTargetScoringAttempt,blockedScoringAttempt,totalOffside,goodHighClaim,punches,bigChanceCreated,errorLeadToAGoal,goals
14015520,home,25737,FK Radnički Niš,1566364,Babacar Mboup,babacar-mboup,F,12,False,16.0,12.0,,,0.0,2.0,2.0,10.0,14.0,,2.0,,,,,90.0,35.0,6.4,17.0,,"{'original': 6.4, 'alternative': 6.6}",0,0.13,0.25,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,8,9,3,6,75.0,,,,,1.0,,5.0,3.0,11.0,6.0,,,,9.0,3.0,3.0,,,,,2.0,1.0,,1.0,,,2.0,,,,,
14015520,home,40261,FK Radnički Niš,844332,Jovan Nišić,jovan-nisic,M,45,True,13.0,9.0,2.0,1.0,0.0,2.0,2.0,7.0,11.0,,,,,,,25.0,21.0,6.6,8.0,,"{'original': 6.6, 'alternative': 6.7}",0,0.0,0.04,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,3,0,69.23076923076923,50.0,33.33333333333333,,,3.0,1.0,,1.0,,4.0,,2.0,1.0,2.0,1.0,,,,,,,,,1.0,,,,,,,,
14015520,home,6216,FK Radnički Niš,979046,Nemanja Belaković,nemanja-belakovic,F,8,True,7.0,4.0,1.0,,0.0,3.0,3.0,1.0,4.0,1.0,1.0,,,,,17.0,11.0,6.6,5.0,,"{'original': 6.6, 'alternative': 6.7}",1,-0.02,0.0,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,57.14285714285714,,,,,1.0,,,2.0,,2.0,,,,,,,1.0,,-0.22,,,,,,,,,,,,,
14015520,home,245405,FK Radnički Niš,99533,Stefan Aškovski,stefan-askovski,F,11,True,6.0,4.0,,,0.0,,,4.0,6.0,,1.0,,,,,10.0,9.0,6.5,3.0,,"{'original': 6.5, 'alternative': 6.5}",1,-0.01,0.14,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,66.66666666666666,,,,,,,,,,,,,,1.0,,,,,-0.21,,,,,,,1.0,,,,,,
14015520,home,25737,FK Radnički Niš,1894089,Stefan Nikolić,stefan-nikolic,M,70,True,5.0,5.0,1.0,1.0,0.0,3.0,3.0,2.0,2.0,,1.0,,,,,10.0,9.0,6.5,2.0,,"{'original': 6.5, 'alternative': 6.5}",1,0.01,0.02,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,100.0,100.0,,,,,,1.0,,2.0,,,,,1.0,,,1.0,,-0.15,,1.0,,,,,,,,,,,
14015520,home,37053,FK Radnički Niš,1429076,Lacine Kone,lacine-kone,F,9,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015520,home,25737,FK Radnički Niš,1429523,Nikola Ćuruvija,curuvija-nikola,G,44,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015520,home,25737,FK Radnički Niš,137702,Uroš Vitas,uros-vitas,D,4,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015520,home,25737,FK Radnički Niš,1470370,Luka Izderić,luka-izderic,M,89,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015520,home,25737,FK Radnički Niš,827547,Marko Mijailović,marko-mijailovic,D,2,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
