match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,shotOffTarget,interceptionWon,unsuccessfulTouch,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,shotValueNormalized,aerialLost,outfielderBlock,errorLeadToAShot,bigChanceCreated,totalTackle,wonTackle,keyPass,bigChanceMissed,onTargetScoringAttempt,lastManTackle,dispossessed,blockedScoringAttempt,totalOffside,savedShotsFromInsideTheBox,saves,keeperSaveValue,goalkeeperValueNormalized
14015585,home,43981,FK Radnički 1923,862199,Ester Sokler,sokler-ester,F,19,False,17.0,12.0,,,0.0,7.0,7.0,5.0,10.0,1.0,1.0,,,,,90.0,24.0,6.5,7.0,10.601981632749,2.0,1.1269828584609,0.0,"{'original': 6.5, 'alternative': 6.5}",0,-0.01,0.01,-0.01,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,70.58823529411765,,,,,,,1.0,1.0,2.0,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,
14015585,home,43981,FK Radnički 1923,1133670,Mohamed Cissé,mohamed-cisse,F,10,True,5.0,1.0,1.0,1.0,0.0,,2.0,1.0,3.0,,,,,,,27.0,14.0,6.4,7.0,62.668339498691,5.0,37.678102118464,1.0,"{'original': 6.4, 'alternative': 6.5}",0,-0.08,0.08,-0.06,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,20.0,100.0,,,,2.0,,,4.0,2.0,1.0,,,,,,1.0,1.0,18.06667987378,28.871928944911,,1.0,,,,1.0,,,,,,1.0,,,,,,
14015585,home,43981,FK Radnički 1923,801236,Evandro,evandro,F,9,True,9.0,5.0,,,0.0,1.0,2.0,4.0,7.0,,1.0,,,,,27.0,14.0,6.8,5.0,26.412810710397,2.0,25.208936757344,1.0,"{'original': 6.8, 'alternative': 6.7}",0,-0.03,0.01,-0.06,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,6,3,2,1,55.55555555555556,,,,,,,4.0,3.0,6.0,,,,,,,2.0,1.0,17.927256898619,18.849636707374,,2.0,,,,,,,,,,,,,,,,
14015585,home,43981,FK Radnički 1923,1158017,Alfa Baldé,alfa-balde,F,17,True,,,,,0.0,,,,,,,,,,,1.0,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
14015585,home,43981,FK Radnički 1923,1159434,Bojan Adžić,bojan-adzic,D,23,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015585,home,43981,FK Radnički 1923,1802942,Stefan Petkoski Cimbaljević,stefan-petkoski-cimbaljevic,D,33,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015585,home,43981,FK Radnički 1923,1022058,Milan Vidakov,vidakov-milan,F,90,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015585,home,43981,FK Radnički 1923,1865381,Vanja Tomic,vanja-tomic,M,16,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015585,home,263765,FK Radnički 1923,1853855,Ibrahim Yusuf Omosanya,ibrahim-yusuf-omosanya,M,22,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015585,home,43981,FK Radnički 1923,1468038,Miloš Mladenović,milos-mladenovic,G,45,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
