match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,challengeLost,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelWon,bigChanceMissed,shotOffTarget,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,shotValueNormalized,totalContest,wonContest,bigChanceCreated,onTargetScoringAttempt,interceptionWon,dispossessed,outfielderBlock,goals,errorLeadToAShot,blockedScoringAttempt,totalOffside,errorLeadToAGoal,hitWoodwork
14015440,home,48614,FK Čukarički,792127,Nikola Mirković,nikola-mirkovic,G,1,False,24.0,16.0,10.0,2.0,0.0,15.0,17.0,1.0,7.0,1.0,1.0,2.0,9.0,2.0,3.0,4.0,2.0,1.0,90.0,36.0,6.6,8.0,0.3849,"{'original': 6.6, 'alternative': 6.5}",0,0.01,-0.01,-0.24,0.29,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,66.66666666666666,20.0,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015440,home,5148,FK Čukarički,1464578,Lazar Stojanović,lazar-stojanovic,D,29,False,37.0,33.0,5.0,4.0,0.0,11.0,12.0,22.0,25.0,9.0,4.0,1.0,4.0,,,,,,90.0,60.0,6.6,12.0,,"{'original': 6.6, 'alternative': 6.8}",1,0.4,0.17,-0.62,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,7,10,5,5,89.1891891891892,80.0,25.0,,,4.0,1.0,4.0,3.0,8.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,2.0,-0.38,,,,,,,,,,,,,
14015440,home,5148,FK Čukarički,38574,Nenad Tomović,nenad-tomovic,D,4,False,46.0,42.0,11.0,8.0,0.0,25.0,26.0,17.0,20.0,3.0,1.0,5.0,2.0,,,,,,90.0,65.0,6.8,7.0,,"{'original': 6.8, 'alternative': 6.8}",1,0.48,0.19,-0.41,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,2,1,91.30434782608695,72.72727272727273,66.66666666666666,100.0,,3.0,2.0,2.0,,2.0,,,1.0,,2.0,,,1.0,-0.06,1.0,1.0,1.0,1.0,1.0,,,,,,,,
14015440,home,5148,FK Čukarički,1595759,Ismael Maiga,ismael-maiga,D,13,False,25.0,22.0,3.0,1.0,0.0,14.0,14.0,8.0,11.0,2.0,1.0,3.0,4.0,,,,,,42.0,31.0,5.5,4.0,,"{'original': 5.5, 'alternative': 5.4}",0,0.15,0.02,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,88.0,33.33333333333333,,,,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,
14015440,home,5148,FK Čukarički,976131,Andreja Stojanović,andreja-stojanovic,D,3,False,24.0,19.0,2.0,,0.0,9.0,10.0,10.0,14.0,5.0,1.0,2.0,4.0,,,,,,77.0,46.0,6.1,14.0,,"{'original': 6.1, 'alternative': 6.3}",1,0.33,0.12,-0.44,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,2,5,79.16666666666666,,37.5,,,8.0,3.0,,1.0,3.0,,1.0,1.0,1.0,2.0,1.0,3.0,3.0,-0.02,1.0,,2.0,,1.0,,,,,,,,
14015440,home,5148,FK Čukarički,1008225,Sambou Sissoko,sambou-sissoko,M,14,False,58.0,49.0,5.0,4.0,0.0,16.0,19.0,33.0,39.0,3.0,1.0,,5.0,,,,,,90.0,74.0,6.7,14.0,,"{'original': 6.7, 'alternative': 6.8}",0,0.26,0.16,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,3,3,84.48275862068965,80.0,,100.0,,,,,2.0,5.0,,,2.0,1.0,3.0,,1.0,,,1.0,1.0,,,3.0,1.0,,,,,,,
14015440,home,5148,FK Čukarički,345141,Marko Docić,marko-docic,M,5,False,68.0,62.0,6.0,4.0,0.0,13.0,14.0,49.0,54.0,4.0,,4.0,5.0,,,,,,90.0,87.0,7.5,14.0,,"{'original': 7.5, 'alternative': 7}",1,0.58,0.3,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,3,4,91.17647058823529,66.66666666666666,25.0,,,4.0,1.0,,,3.0,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,-0.11,,,,,,3.0,,,,,,,
14015440,home,33584,FK Čukarički,947437,Paul Mbong,paul-mbong,M,88,False,18.0,14.0,1.0,1.0,0.0,,1.0,14.0,17.0,2.0,,,3.0,,,,,,62.0,25.0,6.1,9.0,,"{'original': 6.1, 'alternative': 6.4}",0,-0.09,-0.15,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,77.77777777777779,100.0,,,,1.0,,,,,,,,,2.0,,1.0,1.0,,1.0,,,,,,1.0,,,,,,
14015440,home,5148,FK Čukarički,1981976,Filip Matijašević,filip-matijasevic,M,22,False,15.0,13.0,,,0.0,4.0,5.0,9.0,10.0,5.0,,,3.0,,,,,,45.0,21.0,5.6,5.0,,"{'original': 5.6, 'alternative': 6.2}",1,-0.08,-0.17,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,0,5,86.66666666666667,,,,,,,,,,,1.0,,,,,2.0,1.0,-0.64,3.0,,,,,,,,,,,,
14015440,home,5148,FK Čukarički,1165971,Uroš Miladinović,uros-miladinovic,M,90,False,10.0,6.0,,,0.0,1.0,1.0,5.0,9.0,2.0,,,3.0,,,,,,45.0,16.0,6.3,7.0,,"{'original': 6.3, 'alternative': 6.5}",2,-0.15,0.28,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,60.0,,,,,,,,1.0,2.0,,2.0,,,1.0,1.0,,,-0.51,1.0,,,,,1.0,,,,,,,
