match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialWon,duelLost,duelWon,dispossessed,totalClearance,totalTackle,wonTackle,unsuccessfulTouch,fouls,aerialLost,shotOffTarget,shotValueNormalized,onTargetScoringAttempt,goals,interceptionWon,totalCross,challengeLost,wasFouled,accurateCross,totalContest,wonContest,outfielderBlock,keyPass,totalOffside,bigChanceCreated,blockedScoringAttempt,bigChanceMissed
14015536,home,5148,FK Čukarički,1464578,Lazar Stojanović,lazar-stojanovic,D,29,True,6.0,2.0,6.0,2.0,0.0,1.0,1.0,1.0,5.0,,,,28.0,8.0,6.3,4.0,,,,,,"{'original': 6.3, 'alternative': 6.3}",0,0.03,,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,33.33333333333333,33.33333333333333,,,,,2.0,2.0,,,,,,1.0,1.0,,,,,,,,2.0,,,,,,,,,
14015536,home,5148,FK Čukarički,804183,Milan Pavkov,milan-pavkov,F,50,True,6.0,3.0,,,0.0,3.0,3.0,,3.0,,,,11.0,9.0,6.4,4.0,8.8727423043837,1.0,7.77,7.77,,"{'original': 6.4, 'alternative': 6.5}",0,-0.12,0.12,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,0,1,50.0,,,,,1.0,3.0,1.0,,,,,1.0,1.0,2.0,,,,,,,,,,,,,1.0,,,,
14015536,home,5148,FK Čukarički,988549,Bojica Nikčević,nikcevic-bojica,M,17,True,2.0,1.0,,,0.0,1.0,1.0,,1.0,,,,10.0,8.0,6.4,3.0,9.1093481507535,2.0,1.365,3.57,,"{'original': 6.4, 'alternative': 6.4}",1,-0.04,-0.06,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,50.0,,,,,,,1.0,,,,,1.0,,,,-0.23,,,,1.0,,1.0,,,,,,,,1.0,
14015536,home,5148,FK Čukarički,267523,Dušan Jovančić,dusan-jovancic,M,77,True,3.0,2.0,,,0.0,1.0,1.0,1.0,2.0,,,,1.0,7.0,,2.0,29.354538128115,2.0,19.53,16.38,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,66.66666666666666,,,100.0,,,,2.0,,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,
14015536,home,5148,FK Čukarički,1515308,Godswill Vadze,godswill-vadze,F,11,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015536,home,33584,FK Čukarički,947437,Paul Mbong,paul-mbong,F,88,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015536,home,5148,FK Čukarički,1446160,Aboubacar Cisse,aboubacar-cisse,F,20,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015536,home,48614,FK Čukarički,792127,Nikola Mirković,nikola-mirkovic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015536,home,5148,FK Čukarički,976131,Andreja Stojanović,andreja-stojanovic,D,3,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015536,home,5148,FK Čukarički,69362,Miloš Cvetković,milos-cvetkovic,D,27,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
