player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,xgot,goalType
"{'name': 'Nikola Pavličević', 'firstName': 'Nikola', 'lastName': 'Pavličević', 'slug': 'nikola-pavlicevic', 'shortName': 'N. Pavličević', 'position': 'M', 'jerseyNumber': '18', 'userCount': 1, 'gender': 'M', 'id': 1648560, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا بافليتشيفيتش'}, 'shortNameTranslation': {'ar': 'ن. بافليتشيفيتش'}}}",False,block,regular,"{'x': 17, 'y': 65, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 17, 'y': 65, 'z': 0}",0.02544,6532518,90,4.0,5622,"{'start': {'x': 65, 'y': 17}, 'block': {'x': 65, 'y': 17}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",1,678,222,shot,,
"{'name': 'Jagoš Roganović', 'slug': 'jagos-roganovic', 'shortName': 'J. Roganović', 'position': 'M', 'jerseyNumber': '29', 'userCount': 7, 'gender': 'M', 'id': 1620437, 'fieldTranslations': {'nameTranslation': {'ar': 'ياجوش روجانوفيتش'}, 'shortNameTranslation': {'ar': 'ي. روجانوفيتش'}}}",False,save,regular,"{'x': 12, 'y': 46, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.7, 'z': 10.3}",,0.2087,6532517,90,3.0,5577,"{'start': {'x': 46, 'y': 12}, 'end': {'x': 48.3, 'y': 0}, 'goal': {'x': 48.3, 'y': 89.7}}",1,723,177,shot,0.2364,
"{'name': 'Vasko Kalezić', 'firstName': '', 'lastName': '', 'slug': 'vasko-kalezic', 'shortName': 'V. Kalezić', 'position': 'F', 'jerseyNumber': '70', 'userCount': 18, 'gender': 'M', 'id': 172957, 'fieldTranslations': {'nameTranslation': {'ar': 'فاسكو كاليزيك', 'hi': 'वास्को कालेज़िक', 'bn': 'ভাস্কো কালেজিক'}, 'shortNameTranslation': {'ar': 'ف. كاليزيك', 'hi': 'वी. कालेज़िक', 'bn': 'ভি. কালেজিক'}}}",True,save,regular,"{'x': 22, 'y': 27, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.4, 'z': 5.6}",,0.03531,6532516,90,2.0,5492,"{'start': {'x': 27, 'y': 22}, 'end': {'x': 47.6, 'y': 0}, 'goal': {'x': 47.6, 'y': 94.4}}",1,808,92,shot,0.02513,
"{'name': 'Vasko Kalezić', 'firstName': '', 'lastName': '', 'slug': 'vasko-kalezic', 'shortName': 'V. Kalezić', 'position': 'F', 'jerseyNumber': '70', 'userCount': 18, 'gender': 'M', 'id': 172957, 'fieldTranslations': {'nameTranslation': {'ar': 'فاسكو كاليزيك', 'hi': 'वास्को कालेज़िक', 'bn': 'ভাস্কো কালেজিক'}, 'shortNameTranslation': {'ar': 'ف. كاليزيك', 'hi': 'वी. कालेज़िक', 'bn': 'ভি. কালেজিক'}}}",True,save,throw-in-set-piece,"{'x': 4, 'y': 31, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.7, 'z': 20}",,0.02682,6532515,90,1.0,5445,"{'start': {'x': 31, 'y': 4}, 'end': {'x': 49.3, 'y': 0}, 'goal': {'x': 49.3, 'y': 80}}",1,855,45,shot,0.1056,
"{'name': 'Balša Mrvaljević', 'firstName': 'Balša', 'lastName': 'Mrvaljević', 'slug': 'balsa-mrvaljevic', 'shortName': 'B. Mrvaljević', 'position': 'M', 'jerseyNumber': '18', 'userCount': 30, 'gender': 'M', 'id': 1149289, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا مرفالييفيتش'}, 'shortNameTranslation': {'ar': 'ب. مرفالييفيتش'}}}",False,goal,free-kick,"{'x': 19, 'y': 45, 'z': 0}",right-foot,high-left,"{'x': 0, 'y': 53.3, 'z': 34.6}",,0.2394,6532521,88,,5223,"{'start': {'x': 45, 'y': 19}, 'end': {'x': 46.7, 'y': 0}, 'goal': {'x': 46.7, 'y': 65.4}}",3,177,2523,shot,0.7231,regular
"{'name': 'Rodrigo Faust', 'slug': 'rodrigo-faust', 'shortName': 'R. Faust', 'position': 'F', 'jerseyNumber': '9', 'userCount': 9, 'gender': 'M', 'id': 871881, 'fieldTranslations': {'nameTranslation': {'ar': 'رودريغو فاوست'}, 'shortNameTranslation': {'ar': 'ر. فاوست'}}}",False,save,set-piece,"{'x': 8, 'y': 64, 'z': 0}",head,high-right,"{'x': 0, 'y': 47.4, 'z': 31.4}",,0.1203,6532514,86,,5103,"{'start': {'x': 64, 'y': 8}, 'end': {'x': 52.6, 'y': 0}, 'goal': {'x': 52.6, 'y': 68.6}}",5,297,2403,shot,0.3034,
"{'name': 'Marko Brnović', 'firstName': 'Marko Brnovic\xa0', 'slug': 'marko-brnovic', 'shortName': 'M. Brnović', 'position': 'M', 'jerseyNumber': '60', 'userCount': 16, 'gender': 'M', 'id': 1467725, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو برنوفيتش'}, 'shortNameTranslation': {'ar': 'م. برنوفيتش'}}}",True,miss,regular,"{'x': 21, 'y': 53, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 40.9, 'z': 10.8}",,0.02968,6532513,82,,4888,"{'start': {'x': 53, 'y': 21}, 'end': {'x': 59.1, 'y': 0}, 'goal': {'x': 59.1, 'y': 89.2}}",9,512,2188,shot,,
"{'name': 'Balša Mrvaljević', 'firstName': 'Balša', 'lastName': 'Mrvaljević', 'slug': 'balsa-mrvaljevic', 'shortName': 'B. Mrvaljević', 'position': 'M', 'jerseyNumber': '18', 'userCount': 30, 'gender': 'M', 'id': 1149289, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا مرفالييفيتش'}, 'shortNameTranslation': {'ar': 'ب. مرفالييفيتش'}}}",False,save,throw-in-set-piece,"{'x': 2, 'y': 32, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 52.7, 'z': 4.3}",,0.023,6532512,81,,4820,"{'start': {'x': 32, 'y': 2}, 'end': {'x': 47.3, 'y': 0}, 'goal': {'x': 47.3, 'y': 95.7}}",10,580,2120,shot,0.03617,
"{'name': 'Vasko Kalezić', 'firstName': '', 'lastName': '', 'slug': 'vasko-kalezic', 'shortName': 'V. Kalezić', 'position': 'F', 'jerseyNumber': '70', 'userCount': 18, 'gender': 'M', 'id': 172957, 'fieldTranslations': {'nameTranslation': {'ar': 'فاسكو كاليزيك', 'hi': 'वास्को कालेज़िक', 'bn': 'ভাস্কো কালেজিক'}, 'shortNameTranslation': {'ar': 'ف. كاليزيك', 'hi': 'वी. कालेज़िक', 'bn': 'ভি. কালেজিক'}}}",True,miss,regular,"{'x': 20, 'y': 30, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 50.4, 'z': 45.7}",,0.03198,6532511,76,,4523,"{'start': {'x': 30, 'y': 20}, 'end': {'x': 49.6, 'y': 0}, 'goal': {'x': 49.6, 'y': 54.3}}",15,877,1823,shot,,
"{'name': 'Todor Miljanić', 'slug': 'todor-miljanic', 'shortName': 'T. Miljanić', 'position': 'D', 'jerseyNumber': '17', 'userCount': 10, 'gender': 'M', 'id': 1606671, 'fieldTranslations': {'nameTranslation': {'ar': 'تودور ميليانيش'}, 'shortNameTranslation': {'ar': 'ت. ميليانيش'}}}",True,goal,regular,"{'x': 11, 'y': 49, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 53.2, 'z': 14.8}",,0.3787,6532510,73,,4343,"{'start': {'x': 49, 'y': 11}, 'end': {'x': 46.8, 'y': 0}, 'goal': {'x': 46.8, 'y': 85.2}}",18,1057,1643,shot,0.7784,regular
