match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,duelLost,duelWon,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,aerialWon,challengeLost,dispossessed,outfielderBlock,errorLeadToAShot,fouls,accurateCross,keyPass,onTargetScoringAttempt,shotValueNormalized,bigChanceCreated,shotOffTarget,goals,totalOffside,totalKeeperSweeper,accurateKeeperSweeper,blockedScoringAttempt,hitWoodwork,bigChanceMissed
14925202,home,5150,FK Vojvodina,844128,Dragan Rosić,dragan-rosic,G,12,False,31.0,10.0,25.0,4.0,0.0,6.0,8.0,4.0,23.0,1.0,13.0,2.0,3.0,4.0,90.0,40.0,6.6,21.0,0.3676,"{'original': 6.6, 'alternative': 6.8}",0,0.0,-0.03,-0.07,0.28,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,32.25806451612903,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925202,home,5150,FK Vojvodina,862782,Lazar Nikolić,lazar-nikolic,D,22,False,24.0,18.0,8.0,3.0,0.0,10.0,13.0,8.0,11.0,8.0,4.0,,,,90.0,54.0,6.9,13.0,,"{'original': 6.9, 'alternative': 6.6}",0,0.26,0.33,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,3,1,75.0,37.5,,50.0,,4.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
14925202,home,47,FK Vojvodina,1198768,Collins Sichenje,collins-sichenje,D,29,False,29.0,21.0,6.0,1.0,0.0,15.0,18.0,6.0,11.0,13.0,5.0,,,,90.0,54.0,7.5,10.0,,"{'original': 7.5, 'alternative': 7.2}",0,-0.03,0.16,0.9,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,4,4,72.41379310344827,16.666666666666664,,,,,2.0,6.0,6.0,,,1.0,4.0,4.0,,,2.0,1.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,
14925202,home,5150,FK Vojvodina,1165848,Siniša Tanjga,sinisa-tanjga,D,6,False,17.0,12.0,2.0,,0.0,9.0,9.0,3.0,8.0,11.0,2.0,,,,73.0,31.0,6.2,5.0,,"{'original': 6.2, 'alternative': 6.5}",0,0.03,0.01,-0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,70.58823529411765,,,,,,,2.0,1.0,,,,,,,,1.0,,,1.0,,2.0,,,,,,,,,,,,,
14925202,home,2445,FK Vojvodina,1152947,Stefan Bukinac,stefan-bukinac,D,30,False,14.0,10.0,1.0,,1.0,4.0,4.0,6.0,10.0,2.0,1.0,,,,90.0,30.0,6.9,5.0,,"{'original': 6.9, 'alternative': 6.6}",0,0.32,0.35,0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,2,5,71.42857142857143,,100.0,,,2.0,1.0,6.0,3.0,,,,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,,2.0,2.0,1.0,,,,,,,,,,,
14925202,home,5150,FK Vojvodina,1114797,Dragan Kokanović,dragan-kokanovic,M,20,False,34.0,27.0,2.0,2.0,0.0,10.0,12.0,17.0,22.0,2.0,5.0,,,,90.0,53.0,7.0,10.0,,"{'original': 7, 'alternative': 7.1}",1,0.18,0.12,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,6,12,7,5,79.41176470588235,100.0,,75.0,,,3.0,8.0,10.0,4.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,,,2.0,,,1.0,-0.08,,,,,,,,,
14925202,home,5150,FK Vojvodina,844179,Njegoš Petrović,njegos-petrovic,M,18,False,21.0,14.0,4.0,2.0,1.0,3.0,3.0,11.0,18.0,1.0,2.0,,,,83.0,33.0,6.7,13.0,,"{'original': 6.7, 'alternative': 6.7}",1,0.75,0.03,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,1,4,66.66666666666666,50.0,,,,,2.0,6.0,1.0,,,,1.0,,3.0,,,,2.0,,,2.0,,2.0,,-0.19,1.0,1.0,,,,,,,
14925202,home,5150,FK Vojvodina,938000,Lazar Ranđelović,lazar-randelovic,M,77,False,20.0,15.0,1.0,,0.0,6.0,6.0,9.0,14.0,1.0,1.0,,,,90.0,32.0,7.0,12.0,,"{'original': 7, 'alternative': 6.9}",1,0.02,0.18,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,0,4,75.0,,,,,3.0,4.0,8.0,,,,1.0,,,3.0,,,3.0,1.0,,,,,1.0,1.0,0.52,,,1.0,1.0,,,,,
14925202,home,5150,FK Vojvodina,858238,Milutin Vidosavljević,milutin-vidosavljevic,M,55,False,11.0,8.0,1.0,1.0,0.0,2.0,3.0,6.0,8.0,,1.0,,,,66.0,18.0,6.5,4.0,,"{'original': 6.5, 'alternative': 6.6}",1,0.26,0.24,-0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,72.72727272727273,100.0,100.0,100.0,,1.0,,1.0,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,-0.32,,,,,,,,,
14925202,home,25737,FK Vojvodina,1085212,Ibrahim Mustapha,ibrahim-mustapha,M,17,False,13.0,11.0,1.0,1.0,0.0,3.0,3.0,8.0,10.0,,4.0,,,,73.0,16.0,7.5,2.0,,"{'original': 7.5, 'alternative': 7.1}",1,0.07,-0.12,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,84.61538461538461,100.0,,,,,,1.0,1.0,,,,1.0,,,,,,,,,1.0,,1.0,1.0,0.46,,,1.0,,,,,,
