match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,challengeLost,totalContest,wonContest,totalClearance,totalTackle,wonTackle,unsuccessfulTouch,keyPass,shotOffTarget,interceptionWon,bestBallCarryProgression,totalProgressiveBallCarriesDistance,shotValueNormalized,dispossessed,fouls,blockedScoringAttempt,outfielderBlock,onTargetScoringAttempt,goodHighClaim,punches,goals,bigChanceCreated
14015593,home,5150,FK Vojvodina,844128,Dragan Rosić,dragan-rosic,G,12,False,14.0,10.0,5.0,1.0,0.0,10.0,11.0,3.0,1.0,7.0,1.0,2.0,2.0,90.0,20.0,5.8,4.0,16.026520768702,4.0,-2.1062102948558,0.0,0.5991,"{'original': 5.8, 'alternative': 6.2}",0,-0.03,-0.02,-0.27,0.31,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,71.42857142857143,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015593,home,5150,FK Vojvodina,862782,Lazar Nikolić,lazar-nikolic,D,22,False,50.0,34.0,13.0,6.0,0.0,12.0,16.0,34.0,6.0,6.0,,,,90.0,79.0,6.5,20.0,241.57807991735,26.0,61.602557738766,0.0,,"{'original': 6.5, 'alternative': 6.6}",0,0.35,0.21,-0.67,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,5,3,68.0,46.15384615384615,100.0,100.0,,22.0,2.0,2.0,3.0,1.0,6.0,3.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,,,,,,,,,,,,,,
14015593,home,5150,FK Vojvodina,1165848,Siniša Tanjga,sinisa-tanjga,D,6,False,59.0,42.0,15.0,5.0,0.0,27.0,29.0,30.0,9.0,1.0,1.0,,,90.0,74.0,6.2,17.0,201.08077954021,23.0,98.885571762003,1.0,,"{'original': 6.2, 'alternative': 7}",2,0.31,0.12,-0.5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,9,5,4,1,71.1864406779661,33.33333333333333,,,,15.0,,,4.0,5.0,5.0,1.0,,,4.0,3.0,3.0,,1.0,2.0,4.0,13.161841636803,14.744974601538,-0.45,,,,,,,,,
14015593,home,5150,FK Vojvodina,795878,Đorđe Crnomarković,dorde-crnomarkovic,D,5,False,30.0,23.0,10.0,6.0,0.0,14.0,17.0,13.0,1.0,1.0,1.0,,,45.0,36.0,5.9,8.0,78.466378401242,13.0,15.368948435559,0.0,,"{'original': 5.9, 'alternative': 6.1}",0,0.06,0.01,-0.37,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,1,3,76.66666666666667,60.0,,,,9.0,,,2.0,,5.0,1.0,,,2.0,,,,,,,,,,1.0,1.0,,,,,,,
14015593,home,5150,FK Vojvodina,974434,Lucas Barros,lucas-barros,D,23,False,55.0,40.0,11.0,1.0,0.0,23.0,27.0,28.0,6.0,5.0,1.0,,,90.0,82.0,6.6,18.0,300.98654382177,35.0,106.4256996858,1.0,,"{'original': 6.6, 'alternative': 6.4}",1,0.32,0.25,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,6,4,3,1,72.72727272727273,9.090909090909092,66.66666666666666,100.0,,17.0,3.0,2.0,3.0,3.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,,3.0,20.660063783875,21.575297356004,-0.01,,,1.0,2.0,,,,,
14015593,home,5150,FK Vojvodina,844179,Njegoš Petrović,njegos-petrovic,M,18,False,57.0,53.0,5.0,3.0,0.0,31.0,31.0,26.0,7.0,7.0,2.0,,,90.0,73.0,7.3,8.0,312.90193914634,38.0,37.747282626364,1.0,,"{'original': 7.3, 'alternative': 7}",3,0.37,0.05,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,6,3,92.98245614035088,60.0,50.0,100.0,,22.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,,3.0,2.0,1.0,2.0,,,20.376029035161,22.745852567007,-0.14,1.0,,3.0,,,,,,
14015593,home,5150,FK Vojvodina,257071,Vukan Savićević,vukan-savicevic,M,8,False,54.0,43.0,8.0,5.0,0.0,20.0,23.0,31.0,6.0,3.0,1.0,,,59.0,67.0,7.0,16.0,236.88458481202,27.0,66.570302852193,3.0,,"{'original': 7, 'alternative': 6.8}",1,0.31,0.26,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,6,4,79.62962962962963,62.5,,,,23.0,2.0,,,,4.0,,1.0,,,5.0,3.0,1.0,,,,23.941504137598,62.585028685915,-0.04,1.0,2.0,1.0,,,,,,
14015593,home,5150,FK Vojvodina,938000,Lazar Ranđelović,lazar-randelovic,M,77,False,31.0,20.0,3.0,,0.0,8.0,13.0,18.0,,4.0,,,,90.0,56.0,5.6,26.0,157.38168886825,20.0,1.6180355334831,0.0,,"{'original': 5.6, 'alternative': 6.4}",3,-0.11,0.02,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,0,5,64.51612903225806,,25.0,,,12.0,8.0,2.0,2.0,,7.0,,2.0,,1.0,,,4.0,1.0,2.0,1.0,,,-0.53,3.0,,1.0,,,,,,
14015593,home,5150,FK Vojvodina,858238,Milutin Vidosavljević,milutin-vidosavljevic,M,55,False,21.0,17.0,,,0.0,5.0,6.0,15.0,4.0,3.0,1.0,,,74.0,44.0,6.3,18.0,147.60060884601,14.0,40.154500208883,3.0,,"{'original': 6.3, 'alternative': 6.4}",0,0.11,0.39,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,3,4,80.95238095238095,,33.33333333333333,100.0,,12.0,6.0,2.0,1.0,1.0,5.0,,1.0,1.0,,2.0,2.0,6.0,2.0,,,27.064797588368,63.291198465036,,4.0,,,,,,,,
14015593,home,5150,FK Vojvodina,1656646,Milan Kolarević,milan-kolarevic,M,21,False,22.0,11.0,2.0,,0.0,7.0,8.0,14.0,3.0,8.0,1.0,,,59.0,31.0,6.4,15.0,176.98954620959,17.0,32.087464012524,3.0,,"{'original': 6.4, 'alternative': 6.4}",0,-0.02,0.28,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,50.0,,,,,4.0,1.0,,1.0,,4.0,,1.0,,1.0,2.0,1.0,,1.0,,,13.051268811501,63.230787140786,,2.0,,,,,,,,
14015593,home,5150,FK Vojvodina,842317,Aleksa Vukanović,aleksa-vukanovic,F,9,False,17.0,12.0,,,0.0,5.0,6.0,11.0,3.0,,,,,59.0,29.0,6.4,10.0,64.996958997937,8.0,-14.922927484018,1.0,,"{'original': 6.4, 'alternative': 6.7}",2,-0.13,0.17,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,5,2,1,1,70.58823529411765,,,,,7.0,,,3.0,2.0,4.0,,,,1.0,1.0,,4.0,,2.0,,5.073571954923,10.137171400346,-0.56,1.0,,,,,,,,
