match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,penaltySave,penaltyFaced,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,penaltyConceded,blockedScoringAttempt,keyPass,shotOffTarget,dispossessed,penaltyWon,penaltyMiss,hitWoodwork
14147327,home,6224,FK Sutjeska Nikšić,57363,Vladan Giljen,vladan-giljen,G,1,False,32.0,29.0,12.0,9.0,0.0,23.0,25.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,7.0,2.0,0.0,90.0,38.0,8.8,5.0,0.0,0.0,"{'original': 8.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,90.625,75.0,,,0.0,,,,,,,,
14147327,home,6224,FK Sutjeska Nikšić,1030493,Aleksa Golubović,aleksa-golubovic,D,2,False,42.0,30.0,3.0,2.0,0.0,9.0,14.0,17.0,22.0,2.0,0.0,1.0,1.0,9.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,,,,,,,,,90.0,56.0,7.2,12.0,0.08,0.0,"{'original': 7.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,3,8,71.42857142857143,66.66666666666666,0.0,,,1.0,,,,,,,
14147327,home,6224,FK Sutjeska Nikšić,138937,Boris Kopitović,boris-kopitovic,D,15,False,57.0,49.0,9.0,6.0,0.0,35.0,39.0,12.0,14.0,0.0,0.0,3.0,0.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,,,90.0,80.0,6.7,9.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,3,6,85.96491228070175,66.66666666666666,,,,,,,,,,,
14147327,home,6224,FK Sutjeska Nikšić,1423507,Bojan Damjanović,bojan-damjanovic,D,91,False,48.0,46.0,3.0,2.0,0.0,38.0,38.0,7.0,8.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,60.0,60.0,6.6,4.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,2,6,95.83333333333334,66.66666666666666,,,,,,,,,,,
14147327,home,6224,FK Sutjeska Nikšić,1000770,Andrija Ražnatović,andrija-raznatovic,D,22,False,35.0,27.0,5.0,1.0,0.0,14.0,14.0,7.0,13.0,1.0,0.0,0.0,2.0,5.0,7.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,7.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,90.0,43.0,7.6,15.0,0.0,0.28,"{'original': 7.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,5,5,77.14285714285715,20.0,0.0,50.0,,,1.0,1.0,,,,,
14147327,home,6224,FK Sutjeska Nikšić,1896811,Medo Juković,medo-jukovic,M,88,False,31.0,24.0,3.0,2.0,0.0,13.0,16.0,11.0,15.0,0.0,0.0,0.0,0.0,9.0,9.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,,10.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,85.0,42.0,7.0,11.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,0,18,9,9,77.41935483870968,66.66666666666666,,100.0,,,,1.0,,,,,
14147327,home,6224,FK Sutjeska Nikšić,836566,Aleksandar Šćekić,aleksandar-scekic,M,55,False,32.0,25.0,0.0,0.0,0.0,21.0,22.0,3.0,8.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,90.0,34.0,6.7,5.0,0.0,0.15,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,1,4,78.125,,,,,,,1.0,,,,,
14147327,home,6224,FK Sutjeska Nikšić,962100,Vasilije Cavor,vasilije-cavor,M,24,False,24.0,17.0,2.0,1.0,0.0,4.0,5.0,13.0,19.0,4.0,1.0,0.0,1.0,15.0,7.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,90.0,47.0,7.4,8.0,0.3,0.0,"{'original': 7.4, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,1,21,6,15,70.83333333333334,50.0,25.0,100.0,,,1.0,,,,,,
14147327,home,5160,FK Sutjeska Nikšić,878422,Nikola Furtula,nikola-furtula,M,89,False,12.0,7.0,1.0,0.0,0.0,2.0,2.0,5.0,9.0,1.0,0.0,3.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,,,,,,,,,74.0,17.0,6.6,8.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,2,2,58.333333333333336,0.0,0.0,,,,,,1.0,,,,
14147327,home,6224,FK Sutjeska Nikšić,929998,Ivan Vukčević,ivan-vukcevic,M,7,False,6.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,0.0,0.0,3.0,1.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,,,,,,,,,74.0,14.0,6.8,3.0,0.1,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,3,5,66.66666666666666,,,,,,,,1.0,,,,
