player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates
"{'name': 'Mihailo Oreščanin', 'firstName': '', 'lastName': '', 'slug': 'mihailo-orescanin', 'shortName': 'M. Oreščanin', 'position': 'D', 'jerseyNumber': '37', 'userCount': 14, 'gender': 'M', 'id': 1022062, 'fieldTranslations': {'nameTranslation': {'ar': 'ميهايلو أوريسكانين'}, 'shortNameTranslation': {'ar': 'م. أوريسكانين'}}}",True,miss,corner,"{'x': 8.6, 'y': 55.8, 'z': 0}",head,left,"{'x': 0, 'y': 59.7, 'z': 11.1}",5523391,45,1.0,2725,"{'start': {'x': 55.8, 'y': 8.6}, 'end': {'x': 40.3, 'y': 0}, 'goal': {'x': 40.3, 'y': 88.9}}",1,2675,25,shot,
"{'name': 'Stefan Bukinac', 'firstName': 'Stefan Bukinac', 'lastName': '', 'slug': 'stefan-bukinac', 'shortName': 'S. Bukinac', 'position': 'D', 'jerseyNumber': '33', 'userCount': 193, 'gender': 'M', 'id': 1152947, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان بوكيناك'}, 'shortNameTranslation': {'ar': 'س. بوكيناك'}}}",False,block,assisted,"{'x': 12.3, 'y': 26.2, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 52.7, 'z': 19}",5523371,43,,2563,"{'start': {'x': 26.2, 'y': 12.3}, 'block': {'x': 33.8, 'y': 8.3}, 'end': {'x': 47.3, 'y': 0}, 'goal': {'x': 47.3, 'y': 81}}",3,137,2563,shot,"{'x': 8.3, 'y': 33.8, 'z': 0}"
"{'name': 'Aleksa Vukanović', 'slug': 'aleksa-vukanovic', 'shortName': 'A. Vukanović', 'position': 'F', 'jerseyNumber': '9', 'userCount': 157, 'gender': 'M', 'id': 842317, 'fieldTranslations': {'nameTranslation': {'ar': 'أليكسا فوكانوفيتش', 'bn': 'আলেক্সা ভুকানোভিচ', 'hi': 'अलेक्सा वुकानोविक'}, 'shortNameTranslation': {'ar': 'أ. فوكانوفيتش', 'bn': 'এ. ভুকানোভিচ', 'hi': 'ए. वुकानोविक'}}}",False,miss,set-piece,"{'x': 1.8, 'y': 42.1, 'z': 0}",head,close-left,"{'x': 0, 'y': 58, 'z': 15.3}",5524200,42,,2460,"{'start': {'x': 42.1, 'y': 1.8}, 'end': {'x': 42, 'y': 0}, 'goal': {'x': 42, 'y': 84.7}}",4,240,2460,shot,
"{'name': 'Lazar Nikolić', 'slug': 'lazar-nikolic', 'shortName': 'L. Nikolić', 'position': 'D', 'jerseyNumber': '22', 'userCount': 115, 'gender': 'M', 'id': 862782, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار نيكوليتش'}, 'shortNameTranslation': {'ar': 'ل. نيكوليتش'}}}",False,miss,assisted,"{'x': 24.1, 'y': 63.6, 'z': 0}",right-foot,left,"{'x': 0, 'y': 67.2, 'z': 5.6}",5523273,35,,2074,"{'start': {'x': 63.6, 'y': 24.1}, 'end': {'x': 32.8, 'y': 0}, 'goal': {'x': 32.8, 'y': 94.4}}",11,626,2074,shot,
"{'name': 'Uroš Sremčević', 'slug': 'uros-sremcevic', 'shortName': 'U. Sremčević', 'position': 'F', 'jerseyNumber': '17', 'userCount': 1585, 'gender': 'M', 'id': 1166063, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروش سريمشيفيتش'}, 'shortNameTranslation': {'ar': 'أ. سريمشيفيتش'}}}",True,miss,assisted,"{'x': 15.4, 'y': 57, 'z': 0}",left-foot,close-left,"{'x': 0, 'y': 58.7, 'z': 18.1}",5523194,29,,1731,"{'start': {'x': 57, 'y': 15.4}, 'end': {'x': 41.3, 'y': 0}, 'goal': {'x': 41.3, 'y': 81.9}}",17,969,1731,shot,
"{'name': 'Njegoš Petrović', 'firstName': '', 'lastName': '', 'slug': 'njegos-petrovic', 'shortName': 'N. Petrović', 'position': 'M', 'jerseyNumber': '18', 'userCount': 331, 'gender': 'M', 'id': 844179, 'fieldTranslations': {'nameTranslation': {'ar': 'نييغوس بيتروفيتش', 'bn': 'এনজেগোস পেট্রোভিচ', 'hi': 'नेजेगोस पेत्रोविच'}, 'shortNameTranslation': {'ar': 'ن. بيتروفيتش', 'bn': 'এন. পেট্রোভিচ', 'hi': 'एन. पेत्रोविच'}}}",False,save,assisted,"{'x': 26.6, 'y': 27.6, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 50, 'z': 32.9}",5523027,21,,1242,"{'start': {'x': 27.6, 'y': 26.6}, 'block': {'x': 48.4, 'y': 2}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 67.1}}",25,1458,1242,shot,"{'x': 2, 'y': 48.4, 'z': 0}"
"{'name': 'Lazar Ranđelović', 'slug': 'lazar-randelovic', 'shortName': 'L. Ranđelović', 'position': 'M', 'jerseyNumber': '77', 'userCount': 316, 'gender': 'M', 'id': 938000, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار راندجيلوفيتش', 'bn': 'লাজার রানডেলোভিচ', 'hi': 'लाज़र रांडेलोविच'}, 'shortNameTranslation': {'ar': 'ل. راندجيلوفيتش', 'bn': 'এল. রানডেলোভিচ', 'hi': 'एल. रांडेलोविच'}}}",False,save,fast-break,"{'x': 8.8, 'y': 32.5, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.3, 'z': 16.5}",5523001,20,,1161,"{'start': {'x': 32.5, 'y': 8.8}, 'block': {'x': 38.6, 'y': 5.3}, 'end': {'x': 49.7, 'y': 0}, 'goal': {'x': 49.7, 'y': 83.5}}",26,1539,1161,shot,"{'x': 5.3, 'y': 38.6, 'z': 0}"
"{'name': 'Lazar Nikolić', 'slug': 'lazar-nikolic', 'shortName': 'L. Nikolić', 'position': 'D', 'jerseyNumber': '22', 'userCount': 115, 'gender': 'M', 'id': 862782, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار نيكوليتش'}, 'shortNameTranslation': {'ar': 'ل. نيكوليتش'}}}",False,miss,assisted,"{'x': 27.4, 'y': 53.4, 'z': 0}",right-foot,high,"{'x': 0, 'y': 50.3, 'z': 62.5}",5522951,15,,888,"{'start': {'x': 53.4, 'y': 27.4}, 'end': {'x': 49.7, 'y': 0}, 'goal': {'x': 49.7, 'y': 37.5}}",31,1812,888,shot,
"{'name': 'Njegoš Petrović', 'firstName': '', 'lastName': '', 'slug': 'njegos-petrovic', 'shortName': 'N. Petrović', 'position': 'M', 'jerseyNumber': '18', 'userCount': 331, 'gender': 'M', 'id': 844179, 'fieldTranslations': {'nameTranslation': {'ar': 'نييغوس بيتروفيتش', 'bn': 'এনজেগোস পেট্রোভিচ', 'hi': 'नेजेगोस पेत्रोविच'}, 'shortNameTranslation': {'ar': 'ن. بيتروفيتش', 'bn': 'এন. পেট্রোভিচ', 'hi': 'एन. पेत्रोविच'}}}",False,miss,assisted,"{'x': 22.5, 'y': 48.1, 'z': 0}",right-foot,left,"{'x': 0, 'y': 63.2, 'z': 13.9}",5522929,14,,780,"{'start': {'x': 48.1, 'y': 22.5}, 'end': {'x': 36.8, 'y': 0}, 'goal': {'x': 36.8, 'y': 86.1}}",32,1920,780,shot,
"{'name': 'Lazar Ranđelović', 'slug': 'lazar-randelovic', 'shortName': 'L. Ranđelović', 'position': 'M', 'jerseyNumber': '77', 'userCount': 316, 'gender': 'M', 'id': 938000, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار راندجيلوفيتش', 'bn': 'লাজার রানডেলোভিচ', 'hi': 'लाज़र रांडेलोविच'}, 'shortNameTranslation': {'ar': 'ل. راندجيلوفيتش', 'bn': 'এল. রানডেলোভিচ', 'hi': 'एल. रांडेलोविच'}}}",False,miss,fast-break,"{'x': 13.3, 'y': 34, 'z': 0}",right-foot,left,"{'x': 0, 'y': 63, 'z': 1.4}",5522843,9,,484,"{'start': {'x': 34, 'y': 13.3}, 'end': {'x': 37, 'y': 0}, 'goal': {'x': 37, 'y': 98.6}}",37,2216,484,shot,
