match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,errorLeadToAShot,unsuccessfulTouch,wasFouled,fouls,keyPass,challengeLost,shotOffTarget,outfielderBlock,shotValueNormalized,bigChanceCreated,totalCross,accurateCross,blockedScoringAttempt,bigChanceMissed,hitWoodwork,totalOffside,goodHighClaim,onTargetScoringAttempt
14015439,away,5150,FK Vojvodina,1121635,Marko Veličković,marko-velickovic,M,24,True,6.0,4.0,1.0,,0.0,1.0,1.0,3.0,5.0,,,,,,,,21.0,11.0,6.4,4.0,,"{'original': 6.4, 'alternative': 6.8}",3,-0.1,0.27,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,66.66666666666666,,,,,1.0,,1.0,,,,,,,,,2.0,,,1.0,,2.0,,-0.52,,,,1.0,,,,,
14015439,away,25737,FK Vojvodina,1085212,Ibrahim Mustapha,ibrahim-mustapha,F,17,True,9.0,9.0,,,0.0,,,9.0,9.0,,,,,,,,12.0,12.0,6.6,,,"{'original': 6.6, 'alternative': 6.8}",0,-0.03,0.04,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,100.0,,,,,,1.0,,2.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
14015439,away,5150,FK Vojvodina,257071,Vukan Savićević,vukan-savicevic,M,8,True,14.0,11.0,5.0,3.0,0.0,4.0,4.0,7.0,10.0,,1.0,,,,,,12.0,20.0,6.8,5.0,,"{'original': 6.8, 'alternative': 7.2}",2,0.06,0.06,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,78.57142857142857,60.0,,100.0,,,,,2.0,,2.0,2.0,,,,,,,,,,2.0,,-0.09,,2.0,,,,,,,
14015439,away,5150,FK Vojvodina,795913,John Mary,john-mary,F,28,True,2.0,2.0,,,0.0,,,2.0,2.0,,,,,,,,8.0,4.0,6.4,2.0,,"{'original': 6.4, 'alternative': 6.4}",0,-0.08,0.07,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
14015439,away,5150,FK Vojvodina,1114797,Dragan Kokanović,dragan-kokanovic,M,20,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015439,away,5150,FK Vojvodina,796365,Mihai Butean,mihai-butean,D,16,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015439,away,5150,FK Vojvodina,1403053,Marko Mladenović,mladenovic-marko,M,11,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015439,away,5150,FK Vojvodina,1102771,Matija Gočmanac,matija-gocmanac,G,1,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015439,away,5150,FK Vojvodina,795878,Đorđe Crnomarković,dorde-crnomarkovic,D,5,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015439,away,5150,FK Vojvodina,974434,Lucas Barros,lucas-barros,D,23,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
