match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,interceptionWon,keyPass,blockedScoringAttempt,dispossessed,bigChanceCreated,shotOffTarget,hitWoodwork,bigChanceMissed
15281004,home,37956,FK Arsenal Tivat,800147,Bojan Zogović,bojan-zogovic,G,1,False,24.0,22.0,14.0,12.0,0.0,12.0,13.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,90.0,34.0,7.0,4.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,91.66666666666666,85.71428571428571,,,0.0,,,,,,,,
15281004,home,37956,FK Arsenal Tivat,984070,Marko Živanović,marko-zivanovic,D,26,False,44.0,32.0,19.0,12.0,0.0,12.0,14.0,17.0,26.0,3.0,2.0,3.0,5.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,,,,,90.0,56.0,7.4,18.0,0.0,0.17,"{'original': 7.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,8,7,3,4,72.72727272727273,63.1578947368421,66.66666666666666,,,1.0,2.0,,,,,,
15281004,home,37956,FK Arsenal Tivat,889352,Zoran Mikijelj,zoran-mikijelj,D,19,False,38.0,29.0,8.0,6.0,0.0,18.0,20.0,8.0,15.0,0.0,0.0,7.0,7.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,,90.0,42.0,7.0,12.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,14,2,0,2,76.31578947368422,75.0,,,,1.0,,,,,,,
15281004,home,37956,FK Arsenal Tivat,889057,Mitar Ćuković,mitar-cukovic,D,2,False,48.0,40.0,13.0,8.0,0.0,14.0,16.0,25.0,31.0,3.0,2.0,0.0,1.0,5.0,4.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,90.0,68.0,7.0,10.0,0.0,0.02,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,3,5,83.33333333333334,61.53846153846154,66.66666666666666,100.0,,1.0,1.0,1.0,,,,,
15281004,home,37956,FK Arsenal Tivat,925940,Armin Imamović,armin-imamovic,D,14,False,33.0,22.0,4.0,2.0,0.0,9.0,11.0,11.0,19.0,7.0,3.0,0.0,1.0,5.0,8.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,66.0,58.0,7.5,14.0,0.03,0.48,"{'original': 7.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,7,5,66.66666666666666,50.0,42.857142857142854,75.0,,4.0,1.0,,1.0,1.0,1.0,,
15281004,home,37956,FK Arsenal Tivat,363780,Staniša Mandić,stanisa-mandic,M,77,False,46.0,27.0,7.0,3.0,0.0,7.0,12.0,18.0,30.0,11.0,6.0,2.0,1.0,10.0,15.0,0.0,7.0,6.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,90.0,67.0,7.7,26.0,0.02,0.02,"{'original': 7.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",25,3,22,14,8,58.69565217391305,42.857142857142854,54.54545454545454,85.71428571428571,,3.0,1.0,1.0,1.0,,,,
15281004,home,37956,FK Arsenal Tivat,184773,Irfan Šahman,irfan-sahman,M,8,False,31.0,22.0,3.0,0.0,0.0,7.0,10.0,15.0,20.0,0.0,0.0,2.0,4.0,3.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,,,,,,,66.0,46.0,6.9,11.0,0.03,0.02,"{'original': 6.9, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,6,7,6,1,70.96774193548387,0.0,,,,,1.0,2.0,,,,,
15281004,home,37956,FK Arsenal Tivat,1947605,Petar Ražnatović,petar-raznatovic,M,10,False,15.0,13.0,3.0,3.0,0.0,1.0,1.0,12.0,14.0,2.0,2.0,1.0,2.0,8.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,84.0,30.0,7.4,10.0,0.02,0.09,"{'original': 7.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,3,7,86.66666666666667,100.0,100.0,100.0,,1.0,2.0,,,,1.0,,
15281004,home,37956,FK Arsenal Tivat,1005627,Aleksa Ćetković,aleksa-cetkovic,M,28,False,40.0,34.0,2.0,1.0,0.0,11.0,13.0,23.0,27.0,2.0,0.0,2.0,3.0,14.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,,,,,,,90.0,57.0,7.1,10.0,0.06,0.02,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",24,5,19,7,12,85.0,50.0,0.0,0.0,,,1.0,,,,1.0,1.0,
15281004,home,37956,FK Arsenal Tivat,1130148,Neđeljko Kovinić,nedeljko-kovinic,F,90,False,10.0,7.0,2.0,1.0,0.0,1.0,1.0,5.0,8.0,1.0,0.0,5.0,4.0,14.0,7.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,,,,,,,66.0,26.0,6.3,11.0,0.72,0.3,"{'original': 6.3, 'alternative': None}",5.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,9,12,3,9,70.0,50.0,0.0,50.0,,,2.0,1.0,4.0,,2.0,,1.0
