match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,aerialWon,shotOffTarget,outfielderBlock,bestBallCarryProgression,totalProgressiveBallCarriesDistance,shotValueNormalized,interceptionWon,lastManTackle,keyPass,blockedScoringAttempt,errorLeadToAGoal,bigChanceMissed,onTargetScoringAttempt,hitWoodwork,bigChanceCreated,totalOffside,penaltyMiss,savedShotsFromInsideTheBox,penaltySave,penaltyFaced,punches,penaltyConceded,errorLeadToAShot,goals
14015574,home,263360,FK TSC Bačka Topola,589100,Saša Jovanović,sasa-jovanovic,F,8,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,,30.0,13.0,6.1,8.0,6.8859012482027,1.0,-1.791150388801,0.0,,"{'original': 6.1, 'alternative': 5.9}",2,-0.04,-0.02,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,100.0,,,,,5.0,,,2.0,1.0,,1.0,,,,,1.0,1.0,1.0,,,,,,-0.79,,,,,,2.0,2.0,,,,1.0,,,,,,,
14015574,home,263360,FK TSC Bačka Topola,2035083,Stefan Tomović,stefan-tomovic,M,42,True,10.0,7.0,,,0.0,1.0,2.0,6.0,8.0,,1.0,,,,30.0,14.0,6.5,5.0,54.694844914875,4.0,12.686782409198,2.0,,"{'original': 6.5, 'alternative': 6.5}",1,0.03,0.3,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,70.0,,,,,,,1.0,2.0,2.0,,1.0,,,1.0,1.0,1.0,,,1.0,,,17.372537495557,37.369827845671,-0.43,,,,1.0,,,,,,,,,,,,,,
14015574,home,263360,FK TSC Bačka Topola,923865,Vieljeux Prestige Mboungou,vieljeux-prestige-mboungou,F,29,True,9.0,7.0,,,0.0,2.0,2.0,5.0,7.0,,1.0,,,,30.0,14.0,6.6,6.0,32.96583589942,5.0,4.1162988518281,1.0,,"{'original': 6.6, 'alternative': 6.5}",0,0.15,0.09,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,77.77777777777779,,,,,,,,2.0,1.0,,2.0,,,,,2.0,,,1.0,,,7.9886895102814,10.955538507988,,,,1.0,,,,,,,,,,,,,,,
14015574,home,263360,FK TSC Bačka Topola,799711,Miloš Šatara,milos-satara,D,3,True,15.0,14.0,3.0,3.0,0.0,8.0,9.0,6.0,6.0,,2.0,,,,12.0,19.0,7.0,2.0,39.449839732806,7.0,8.6759629896143,0.0,,"{'original': 7, 'alternative': 6.9}",0,0.14,0.03,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,5,3,2,1,93.33333333333333,100.0,,100.0,,,,3.0,4.0,4.0,,,1.0,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
14015574,home,263360,FK TSC Bačka Topola,980796,Dragoljub Savić,dragoljub-savic,F,21,True,9.0,5.0,2.0,1.0,0.0,1.0,1.0,4.0,8.0,,,,,,9.0,13.0,6.7,5.0,58.51621000381,4.0,41.767777775703,1.0,,"{'original': 6.7, 'alternative': 6.9}",1,0.04,0.04,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,55.55555555555556,50.0,,100.0,,,,,,2.0,,,2.0,2.0,,,,,,,1.0,,23.926694691767,25.336365643083,-0.05,,,,,,,,,,,,,,,,,,
14015574,home,263360,FK TSC Bačka Topola,1005774,Bojan Dimoski,bojan-dimoski,D,20,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015574,home,263360,FK TSC Bačka Topola,964814,Nemanja Jorgić,nemanja-jorgic,G,23,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015574,home,263360,FK TSC Bačka Topola,1893370,Ilja Pantelin,ilja-pantelin,G,19,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015574,home,263360,FK TSC Bačka Topola,1146245,Mihajlo Milosavić,mihajlo-milosavic,M,17,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015574,home,263360,FK TSC Bačka Topola,947036,Szabolcs Mezei,szabolcs-mezei,M,26,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015574,home,802392,FK TSC Bačka Topola,1983676,Miloš Soprenić,milos-soprenic,F,55,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015574,away,5150,FK Vojvodina,844128,Dragan Rosić,dragan-rosic,G,12,False,30.0,13.0,22.0,5.0,0.0,10.0,13.0,3.0,17.0,1.0,10.0,7.0,,,90.0,42.0,8.9,17.0,31.573298792734,7.0,20.575274997921,0.0,1.2618,"{'original': 8.9, 'alternative': 8.6}",0,0.06,-0.08,0.2,0.86,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,43.333333333333336,22.727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,1.0,1.0,,,
14015574,away,5150,FK Vojvodina,862782,Lazar Nikolić,lazar-nikolic,D,22,False,25.0,16.0,8.0,4.0,0.0,6.0,10.0,10.0,15.0,2.0,9.0,,,,90.0,35.0,6.9,9.0,104.13663059242,11.0,-6.9432648236265,1.0,,"{'original': 6.9, 'alternative': 6.9}",0,0.21,0.15,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,64.0,50.0,,,,,,1.0,3.0,,2.0,,,,,,,,,,,,16.418869119808,16.423914758668,,2.0,,1.0,,,,,,,,,,,,,,,
14015574,away,5150,FK Vojvodina,1165848,Siniša Tanjga,sinisa-tanjga,D,6,False,31.0,21.0,9.0,1.0,0.0,16.0,19.0,5.0,12.0,7.0,2.0,,,,90.0,43.0,6.8,10.0,67.161054787619,11.0,3.2167246108579,0.0,,"{'original': 6.8, 'alternative': 6.9}",0,0.09,0.07,0.48,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,6,3,1,2,67.74193548387096,11.11111111111111,,,,,,5.0,7.0,2.0,1.0,,,,1.0,,,,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,
