player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,xgot,goalType,blockCoordinates
"{'name': 'Uroš Bulatović', 'firstName': '', 'lastName': '', 'slug': 'uros-bulatovic', 'shortName': 'U. Bulatović', 'position': 'M', 'jerseyNumber': '8', 'userCount': 3, 'gender': 'M', 'id': 1391890, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروش بولاتوفيتش'}, 'shortNameTranslation': {'ar': 'أ. بولاتوفيتش'}}}",False,miss,throw-in-set-piece,"{'x': 23, 'y': 51, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 58.4, 'z': 50.1}",0.003017,6557104,90,2.0,5513,"{'start': {'x': 51, 'y': 23}, 'end': {'x': 41.6, 'y': 0}, 'goal': {'x': 41.6, 'y': 49.9}}",1,787,113,shot,,,
"{'name': 'Vladan Kordić', 'firstName': '', 'lastName': '', 'slug': 'vladan-kordic', 'shortName': 'V. Kordić', 'position': 'F', 'jerseyNumber': '98', 'userCount': 8, 'gender': 'M', 'id': 959868, 'fieldTranslations': {'nameTranslation': {'ar': 'فلادان كوردتش'}, 'shortNameTranslation': {'ar': 'ف. كوردتش'}}}",True,save,set-piece,"{'x': 4, 'y': 43, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52, 'z': 11.6}",0.463,6557103,87,,5171,"{'start': {'x': 43, 'y': 4}, 'end': {'x': 48, 'y': 0}, 'goal': {'x': 48, 'y': 88.4}}",4,229,2471,shot,0.7089,,
"{'name': 'Viktor Živojinović', 'slug': 'viktor-zivojinovic', 'shortName': 'V. Živojinović', 'position': 'M', 'userCount': 35, 'gender': 'M', 'id': 989177, 'fieldTranslations': {'nameTranslation': {'ar': 'فيكتور زيفوجينوفيتش'}, 'shortNameTranslation': {'ar': 'ف. زيفوجينوفيتش'}}}",True,miss,regular,"{'x': 25, 'y': 34, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 43.6, 'z': 45.8}",0.0012,6557102,85,,5066,"{'start': {'x': 34, 'y': 25}, 'end': {'x': 56.4, 'y': 0}, 'goal': {'x': 56.4, 'y': 54.2}}",6,334,2366,shot,,,
"{'name': 'Adnan Bašić', 'slug': 'adnan-basic', 'shortName': 'A. Bašić', 'position': 'F', 'jerseyNumber': '10', 'userCount': 6, 'gender': 'M', 'id': 791606, 'fieldTranslations': {'nameTranslation': {'ar': 'عدنان باشيتش'}, 'shortNameTranslation': {'ar': 'ع. باشيتش'}}}",True,miss,throw-in-set-piece,"{'x': 9, 'y': 45, 'z': 0}",right-foot,close-high-left,"{'x': 0, 'y': 58.5, 'z': 58.7}",0.5888,6557101,83,,4933,"{'start': {'x': 45, 'y': 9}, 'end': {'x': 41.5, 'y': 0}, 'goal': {'x': 41.5, 'y': 41.3}}",8,467,2233,shot,,,
"{'name': 'Dragan Miranović', 'firstName': 'Dragan', 'lastName': 'Miranović', 'slug': 'dragan-miranovic', 'shortName': 'D. Miranović', 'position': 'M', 'jerseyNumber': '22', 'userCount': 27, 'gender': 'M', 'id': 1149279, 'fieldTranslations': {'nameTranslation': {'ar': 'دراغان ميرانوفيتش'}, 'shortNameTranslation': {'ar': 'د. ميرانوفيتش'}}}",True,save,throw-in-set-piece,"{'x': 27, 'y': 51, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.2, 'z': 17}",0.03977,6557100,83,,4931,"{'start': {'x': 51, 'y': 27}, 'end': {'x': 46.8, 'y': 0}, 'goal': {'x': 46.8, 'y': 83}}",8,469,2231,shot,0.1363,,
"{'name': 'Hiroki Harada', 'firstName': 'Hiroki Harada', 'lastName': '', 'slug': 'hiroki-harada', 'shortName': 'H. Harada', 'position': 'M', 'jerseyNumber': '10', 'userCount': 23, 'gender': 'M', 'id': 1218103, 'fieldTranslations': {'nameTranslation': {'ar': 'هيروكي هارادا'}, 'shortNameTranslation': {'ar': 'ه. هارادا'}}}",False,miss,regular,"{'x': 13, 'y': 52, 'z': 0}",left-foot,close-high,"{'x': 0, 'y': 51.7, 'z': 59.1}",0.03959,6557099,74,,4438,"{'start': {'x': 52, 'y': 13}, 'end': {'x': 48.3, 'y': 0}, 'goal': {'x': 48.3, 'y': 40.9}}",17,962,1738,shot,,,
"{'name': 'Žarko Popović', 'firstName': '', 'lastName': '', 'slug': 'zarko-popovic', 'shortName': 'Ž. Popović', 'position': 'M', 'jerseyNumber': '4', 'userCount': 5, 'gender': 'M', 'id': 1030468, 'fieldTranslations': {'nameTranslation': {'ar': 'زاركو بوبوفيتش'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش'}}}",True,miss,throw-in-set-piece,"{'x': 30, 'y': 45, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 57.9, 'z': 8.7}",0.01001,6557098,73,,4368,"{'start': {'x': 45, 'y': 30}, 'end': {'x': 42.1, 'y': 0}, 'goal': {'x': 42.1, 'y': 91.3}}",18,1032,1668,shot,,,
"{'name': 'Đorđe Maksimović', 'slug': 'djordje-maksimovic', 'shortName': 'Đ. Maksimović', 'position': 'F', 'jerseyNumber': '44', 'userCount': 12, 'gender': 'M', 'id': 905970, 'fieldTranslations': {'nameTranslation': {'ar': 'دورجي ماكسيموفيتش'}, 'shortNameTranslation': {'ar': 'د. ماكسيموفيتش'}}}",False,goal,regular,"{'x': 13, 'y': 42, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 49.4, 'z': 14.3}",0.2761,6557097,64,,3828,"{'start': {'x': 42, 'y': 13}, 'end': {'x': 50.6, 'y': 0}, 'goal': {'x': 50.6, 'y': 85.7}}",27,1572,1128,shot,0.1343,regular,
"{'name': 'Viktor Živojinović', 'slug': 'viktor-zivojinovic', 'shortName': 'V. Živojinović', 'position': 'M', 'userCount': 35, 'gender': 'M', 'id': 989177, 'fieldTranslations': {'nameTranslation': {'ar': 'فيكتور زيفوجينوفيتش'}, 'shortNameTranslation': {'ar': 'ف. زيفوجينوفيتش'}}}",True,goal,regular,"{'x': 14, 'y': 26, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 51, 'z': 21.1}",0.04661,6557096,53,,3150,"{'start': {'x': 26, 'y': 14}, 'end': {'x': 49, 'y': 0}, 'goal': {'x': 49, 'y': 78.9}}",38,2250,450,shot,0.02074,regular,
"{'name': 'Dragan Stoisavljević', 'slug': 'dragan-stoisavljevic', 'shortName': 'D. Stoisavljević', 'position': 'F', 'userCount': 32, 'gender': 'M', 'id': 1008672, 'fieldTranslations': {'nameTranslation': {'ar': 'دراغان ستوي سافليفيتش'}, 'shortNameTranslation': {'ar': 'د. سافليفيتش'}}}",True,miss,regular,"{'x': 19, 'y': 54, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 50.9, 'z': 52.8}",0.08772,6557095,52,,3112,"{'start': {'x': 54, 'y': 19}, 'end': {'x': 49.1, 'y': 0}, 'goal': {'x': 49.1, 'y': 47.2}}",39,2288,412,shot,,,
