match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,blockedScoringAttempt,keyPass,shotOffTarget,dispossessed,bigChanceMissed,hitWoodwork
14147301,home,6216,OFK Petrovac,188987,Marko Kordić,marko-kordic,G,25,False,30.0,30.0,5.0,5.0,0.0,25.0,25.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,90.0,39.0,6.8,1.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,100.0,,,0.0,,,,,,
14147301,home,36019,OFK Petrovac,1214474,Nikola Vuković,nikola-vukovic,D,11,False,21.0,15.0,3.0,3.0,0.0,12.0,15.0,3.0,6.0,1.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,45.0,26.0,6.6,7.0,0.02,0.22,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,1,4,71.42857142857143,100.0,0.0,,,1.0,1.0,,,,
14147301,home,6216,OFK Petrovac,55534,Aleksandar Kapisoda,aleksandar-kapisoda,D,5,False,59.0,55.0,2.0,0.0,0.0,36.0,37.0,17.0,20.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,90.0,72.0,6.9,5.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,0,2,93.22033898305084,0.0,,,,,,,,,
14147301,home,6216,OFK Petrovac,1484679,Marko Franeta,marko-franeta,D,13,False,63.0,57.0,6.0,1.0,0.0,39.0,39.0,16.0,22.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,11.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,67.0,74.0,7.0,10.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,2,2,90.47619047619048,16.666666666666664,,,,,,,,,
14147301,home,6216,OFK Petrovac,57339,Dejan Boljević,dejan-boljevic,D,33,False,47.0,36.0,5.0,2.0,0.0,13.0,17.0,22.0,29.0,6.0,1.0,0.0,4.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,53.0,6.9,10.0,0.02,0.25,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,1,4,76.59574468085107,40.0,16.666666666666664,,,,1.0,1.0,,,
14147301,home,6216,OFK Petrovac,1187746,Danilo Bakić,danilo-bakic,M,8,False,37.0,34.0,6.0,4.0,0.0,16.0,17.0,16.0,18.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,67.0,53.0,7.2,4.0,0.05,0.0,"{'original': 7.2, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,91.8918918918919,66.66666666666666,,100.0,,,,1.0,,,
14147301,home,6216,OFK Petrovac,1030468,Žarko Popović,zarko-popovic,M,4,False,56.0,47.0,6.0,4.0,0.0,17.0,18.0,29.0,37.0,0.0,0.0,3.0,2.0,20.0,8.0,2.0,3.0,2.0,0.0,0.0,2.0,0.0,,5.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,,,,,,,90.0,83.0,6.6,14.0,0.01,0.05,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",28,5,23,6,17,83.92857142857143,66.66666666666666,,66.66666666666666,,,2.0,1.0,2.0,,
14147301,home,6216,OFK Petrovac,882142,Danilo Pešukić,danilo-pesukic,M,29,False,32.0,23.0,8.0,5.0,0.0,7.0,11.0,15.0,20.0,4.0,2.0,1.0,1.0,5.0,7.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,90.0,47.0,7.9,13.0,0.25,0.22,"{'original': 7.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,6,4,71.875,62.5,50.0,100.0,,,2.0,1.0,1.0,,
14147301,home,6216,OFK Petrovac,1046042,Savo Arambašić,savo-arambasic,M,17,False,11.0,9.0,1.0,1.0,0.0,,1.0,9.0,10.0,1.0,0.0,2.0,1.0,11.0,7.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,,,,,,,77.0,31.0,6.7,5.0,0.53,0.09,"{'original': 6.7, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,3,15,6,9,81.81818181818183,100.0,0.0,50.0,,2.0,2.0,,,1.0,
14147301,home,301263,OFK Petrovac,989177,Viktor Živojinović,viktor-zivojinovic,M,45,False,21.0,17.0,1.0,0.0,0.0,2.0,2.0,13.0,17.0,3.0,2.0,2.0,0.0,10.0,12.0,2.0,9.0,8.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,90.0,48.0,8.2,12.0,0.12,0.01,"{'original': 8.2, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,2,20,12,8,80.95238095238095,0.0,66.66666666666666,88.88888888888889,,,1.0,2.0,1.0,,1.0
