match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,duelWon,totalContest,wonContest,shotOffTarget,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,shotValueNormalized,aerialLost,aerialWon,onTargetScoringAttempt,goals,challengeLost,bigChanceMissed,dispossessed,blockedScoringAttempt,hitWoodwork,bigChanceCreated,errorLeadToAShot,penaltyMiss,totalOffside,penaltyFaced,punches,outfielderBlock,penaltyConceded,clearanceOffLine
14015470,away,5148,FK Radnički 1923,13691,Vladimir Stojković,vladimir-stojkovic,G,88,False,36.0,24.0,19.0,8.0,0.0,23.0,28.0,1.0,8.0,7.0,1.0,2.0,90.0,42.0,6.5,12.0,0.5008,"{'original': 6.5, 'alternative': 6.4}",0,0.07,0.11,-0.16,0.36,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,66.66666666666666,42.10526315789473,,,,,,,2.0,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,
14015470,away,43981,FK Radnički 1923,876751,Mehmed Ćosić,mehmed-cosic,D,8,False,16.0,10.0,4.0,,1.0,5.0,5.0,5.0,11.0,,,,80.0,29.0,6.8,8.0,,"{'original': 6.8, 'alternative': 6.7}",0,0.27,-0.13,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,0,4,62.5,,,,,,,4.0,,1.0,,,5.0,,,,,,,1.0,,,,,,3.0,,,,,1.0,,,,,,,,
14015470,away,43981,FK Radnički 1923,1165919,Nikola Miličić,nikola-milicic,D,4,False,33.0,24.0,7.0,1.0,0.0,14.0,20.0,10.0,13.0,5.0,,,90.0,49.0,6.8,9.0,,"{'original': 6.8, 'alternative': 6.6}",0,0.14,0.06,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,4,2,72.72727272727273,14.285714285714285,,,,,,2.0,7.0,,,,8.0,,4.0,4.0,,,3.0,,,,3.0,,,,,,,,,,,,,,1.0,1.0,
14015470,away,43981,FK Radnički 1923,79383,Slobodan Simović,slobodan-simovic,D,14,False,26.0,23.0,3.0,,0.0,18.0,19.0,5.0,7.0,1.0,,,90.0,49.0,7.3,5.0,,"{'original': 7.3, 'alternative': 7.8}",2,0.09,0.06,0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,88.46153846153845,,,100.0,,,,3.0,4.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,,1.0,,,-0.13,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,3.0,,1.0
14015470,away,43981,FK Radnički 1923,1802942,Stefan Petkoski Cimbaljević,stefan-petkoski-cimbaljevic,D,33,False,17.0,13.0,1.0,,0.0,9.0,12.0,4.0,5.0,5.0,,,90.0,39.0,6.3,9.0,,"{'original': 6.3, 'alternative': 6.5}",0,-0.08,0.28,-0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,6,3,76.47058823529412,,,66.66666666666666,,1.0,,4.0,6.0,3.0,2.0,,3.0,,2.0,1.0,1.0,2.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,
14015470,away,7674,FK Radnički 1923,1046779,Jovan Ilić,jovan-ilic,M,21,False,34.0,34.0,2.0,2.0,0.0,17.0,17.0,17.0,17.0,6.0,,,90.0,57.0,6.5,9.0,,"{'original': 6.5, 'alternative': 6.6}",0,0.07,0.06,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,2,4,100.0,100.0,33.33333333333333,25.0,,3.0,1.0,6.0,3.0,4.0,1.0,,1.0,1.0,,,3.0,1.0,1.0,1.0,,2.0,1.0,,,,,1.0,,,,,,,,,1.0,,
14015470,away,43981,FK Radnički 1923,1000815,Louay Ben Hassine,louay-ben-hassine,M,99,False,24.0,19.0,1.0,,0.0,9.0,10.0,10.0,14.0,2.0,,,89.0,33.0,6.0,7.0,,"{'original': 6, 'alternative': 6.6}",2,0.05,0.08,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,1,4,79.16666666666666,,,,,,,4.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,-0.47,,,2.0,,2.0,,,,,,,,,,,,,
14015470,away,43981,FK Radnički 1923,1158017,Alfa Baldé,alfa-balde,M,17,False,14.0,8.0,4.0,1.0,0.0,5.0,6.0,3.0,8.0,2.0,,,80.0,26.0,6.8,13.0,,"{'original': 6.8, 'alternative': 6.7}",0,0.03,0.31,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,57.14285714285714,25.0,,,,3.0,,2.0,3.0,,,,,1.0,1.0,,4.0,2.0,,2.0,,,,,,2.0,,,,,,,,,,,,,
14015470,away,43981,FK Radnički 1923,1013823,Wajdi Sahli,wajdi-sahli,M,7,False,18.0,13.0,1.0,,0.0,8.0,9.0,5.0,9.0,2.0,,,72.0,31.0,7.0,11.0,,"{'original': 7, 'alternative': 6.9}",1,0.22,0.03,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,5,4,72.22222222222221,,,50.0,,1.0,,4.0,5.0,2.0,1.0,,,1.0,4.0,2.0,2.0,,,,0.01,,,1.0,,2.0,,1.0,,,,1.0,,,,,,,
14015470,away,295152,FK Radnički 1923,1005356,Kilian Bevis,kilian-bevis,M,10,False,23.0,17.0,1.0,1.0,0.0,8.0,8.0,9.0,15.0,6.0,,,90.0,42.0,6.4,15.0,,"{'original': 6.4, 'alternative': 6.7}",1,-0.11,0.39,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,3,5,73.91304347826086,100.0,,100.0,,3.0,,6.0,3.0,1.0,1.0,,2.0,1.0,,,3.0,2.0,1.0,1.0,-0.41,1.0,,1.0,,1.0,,3.0,,,,,,,,,,,
