player,isHome,shotType,goalType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,xgot,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates
"{'name': 'Robert Gjelaj', 'firstName': '', 'lastName': '', 'slug': 'robert-gjelaj', 'shortName': 'R. Gjelaj', 'position': 'D', 'jerseyNumber': '23', 'userCount': 40, 'gender': 'M', 'id': 1108587, 'fieldTranslations': {'nameTranslation': {'ar': 'روبرت جيلاي'}, 'shortNameTranslation': {'ar': 'ر. جيلاي'}}}",True,goal,regular,corner,"{'x': 4, 'y': 46, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.7, 'z': 19.2}",0.8201,0.8669,6528498,90,5382,"{'start': {'x': 46, 'y': 4}, 'end': {'x': 46.3, 'y': 0}, 'goal': {'x': 46.3, 'y': 80.8}}",1,18,2682,shot,
"{'name': 'Petar Sekulović', 'firstName': '', 'lastName': '', 'slug': 'petar-sekulovic', 'shortName': 'P. Sekulović', 'position': 'D', 'jerseyNumber': '20', 'userCount': 4, 'gender': 'M', 'id': 1035792, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتار سيكولوفيتش', 'hi': 'पीटर सेकुलोविच', 'bn': 'পেটার সেকুলোভিচ'}, 'shortNameTranslation': {'ar': 'ب. سيكولوفيتش', 'hi': 'पी. सेकुलोविच', 'bn': 'পি. সেকুলোভিচ'}}}",True,save,,corner,"{'x': 8, 'y': 51, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.3, 'z': 9.2}",0.1995,0.2511,6528497,90,5380,"{'start': {'x': 51, 'y': 8}, 'end': {'x': 49.7, 'y': 0}, 'goal': {'x': 49.7, 'y': 90.8}}",1,20,2680,shot,
"{'name': 'Balša Radusinović', 'firstName': '', 'lastName': '', 'slug': 'balsa-radusinovic', 'shortName': 'B. Radusinović', 'position': 'F', 'jerseyNumber': '32', 'userCount': 9, 'gender': 'M', 'id': 1131064, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا رادوسينوفيتش'}, 'shortNameTranslation': {'ar': 'ب. رادوسينوفيتش'}}}",True,miss,,regular,"{'x': 10, 'y': 46, 'z': 0}",head,close-high-right,"{'x': 0, 'y': 41.1, 'z': 54}",0.1469,,6528496,87,5176,"{'start': {'x': 46, 'y': 10}, 'end': {'x': 58.9, 'y': 0}, 'goal': {'x': 58.9, 'y': 46}}",4,224,2476,shot,
"{'name': 'Milan Vušurović', 'slug': 'milan-vusurovic', 'shortName': 'M. Vušurović', 'position': 'M', 'jerseyNumber': '17', 'userCount': 20, 'gender': 'M', 'id': 287757, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلان فوسوروفيتش', 'hi': 'मिलन वुसुरोविक', 'bn': 'মিলান ভুসুরোভিচ'}, 'shortNameTranslation': {'ar': 'م. فوسوروفيتش', 'hi': 'एम. वुसुरोविक', 'bn': 'এম. ভুসুরোভিচ'}}}",False,save,,throw-in-set-piece,"{'x': 25, 'y': 64, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 49.8, 'z': 25}",0.01212,0.01594,6528495,83,4958,"{'start': {'x': 64, 'y': 25}, 'end': {'x': 50.2, 'y': 0}, 'goal': {'x': 50.2, 'y': 75}}",8,442,2258,shot,
"{'name': 'Ivan Bulatović', 'slug': 'ivan-bulatovic', 'shortName': 'I. Bulatović', 'position': 'F', 'jerseyNumber': '11', 'userCount': 46, 'gender': 'M', 'id': 894403, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفان بولاتوفيتش'}, 'shortNameTranslation': {'ar': 'إ. بولاتوفيتش'}}}",False,save,,regular,"{'x': 11, 'y': 38, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 52.4, 'z': 7.1}",0.2501,0.3291,6528494,81,4837,"{'start': {'x': 38, 'y': 11}, 'end': {'x': 47.6, 'y': 0}, 'goal': {'x': 47.6, 'y': 92.9}}",10,563,2137,shot,
"{'name': 'Marko Milickovic', 'slug': 'marko-milickovic', 'shortName': 'M. Milickovic', 'position': 'M', 'jerseyNumber': '10', 'userCount': 28, 'gender': 'M', 'id': 890615, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو ميليكوفيتش', 'hi': 'मार्को मिलिकोविच', 'bn': 'মার্কো মিলিকোভিচ'}, 'shortNameTranslation': {'ar': 'م. ميليكوفيتش', 'hi': 'एम. मिलिकोविच', 'bn': 'এম. মিলিকোভিচ'}}}",False,miss,,corner,"{'x': 24, 'y': 63, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 43.3, 'z': 41.2}",0.01094,,6528493,80,4779,"{'start': {'x': 63, 'y': 24}, 'end': {'x': 56.7, 'y': 0}, 'goal': {'x': 56.7, 'y': 58.8}}",11,621,2079,shot,
"{'name': 'Matija Rakcevic', 'slug': 'matija-rakcevic', 'shortName': 'M. Rakcevic', 'position': 'M', 'jerseyNumber': '25', 'userCount': 12, 'gender': 'M', 'id': 2081029, 'fieldTranslations': {'nameTranslation': {'ar': 'ماتيا راكشيفيتش'}, 'shortNameTranslation': {'ar': 'م. راكشيفيتش'}}}",False,miss,,regular,"{'x': 29, 'y': 39, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 56.1, 'z': 34.3}",0.02937,,6528492,65,3888,"{'start': {'x': 39, 'y': 29}, 'end': {'x': 43.9, 'y': 0}, 'goal': {'x': 43.9, 'y': 65.7}}",26,1512,1188,shot,
"{'name': 'Trimror Selimi', 'firstName': 'Trimron Selimi', 'lastName': '', 'slug': 'trimron-selimi', 'shortName': 'T. Selimi', 'position': 'M', 'jerseyNumber': '19', 'userCount': 15, 'gender': 'M', 'id': 1394763, 'fieldTranslations': {'nameTranslation': {'ar': 'تريمور سليمي'}, 'shortNameTranslation': {'ar': 'ت. سليمي'}}}",True,save,,regular,"{'x': 30, 'y': 31, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.2, 'z': 6.4}",0.009966,0.0401,6528491,65,3848,"{'start': {'x': 31, 'y': 30}, 'end': {'x': 46.8, 'y': 0}, 'goal': {'x': 46.8, 'y': 93.6}}",26,1552,1148,shot,
"{'name': 'Milan Vušurović', 'slug': 'milan-vusurovic', 'shortName': 'M. Vušurović', 'position': 'M', 'jerseyNumber': '17', 'userCount': 20, 'gender': 'M', 'id': 287757, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلان فوسوروفيتش', 'hi': 'मिलन वुसुरोविक', 'bn': 'মিলান ভুসুরোভিচ'}, 'shortNameTranslation': {'ar': 'م. فوسوروفيتش', 'hi': 'एम. वुसुरोविक', 'bn': 'এম. ভুসুরোভিচ'}}}",False,miss,,regular,"{'x': 26, 'y': 81, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 41, 'z': 54.9}",0.001129,,6528490,58,3427,"{'start': {'x': 81, 'y': 26}, 'end': {'x': 59, 'y': 0}, 'goal': {'x': 59, 'y': 45.1}}",33,1973,727,shot,
"{'name': 'Marko Milickovic', 'slug': 'marko-milickovic', 'shortName': 'M. Milickovic', 'position': 'M', 'jerseyNumber': '10', 'userCount': 28, 'gender': 'M', 'id': 890615, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو ميليكوفيتش', 'hi': 'मार्को मिलिकोविच', 'bn': 'মার্কো মিলিকোভিচ'}, 'shortNameTranslation': {'ar': 'م. ميليكوفيتش', 'hi': 'एम. मिलिकोविच', 'bn': 'এম. মিলিকোভিচ'}}}",False,miss,,throw-in-set-piece,"{'x': 11, 'y': 44, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 43.9, 'z': 17.5}",0.5029,,6528489,51,3012,"{'start': {'x': 44, 'y': 11}, 'end': {'x': 56.1, 'y': 0}, 'goal': {'x': 56.1, 'y': 82.5}}",40,2388,312,shot,
"{'name': 'Danilo Vukanić', 'slug': 'danilo-vukanic', 'shortName': 'D. Vukanić', 'position': 'M', 'jerseyNumber': '44', 'userCount': 48, 'gender': 'M', 'id': 1423515, 'fieldTranslations': {'nameTranslation': {'ar': 'دانييلو فوكانيتش'}, 'shortNameTranslation': {'ar': 'د. فوكانيتش'}}}",False,block,,throw-in-set-piece,"{'x': 18, 'y': 42, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.004461,,6528488,51,3009,"{'start': {'x': 42, 'y': 18}, 'block': {'x': 42, 'y': 18}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",40,2391,309,shot,"{'x': 18, 'y': 42, 'z': 0}"
"{'name': 'Danilo Vukanić', 'slug': 'danilo-vukanic', 'shortName': 'D. Vukanić', 'position': 'M', 'jerseyNumber': '44', 'userCount': 48, 'gender': 'M', 'id': 1423515, 'fieldTranslations': {'nameTranslation': {'ar': 'دانييلو فوكانيتش'}, 'shortNameTranslation': {'ar': 'د. فوكانيتش'}}}",False,save,,regular,"{'x': 24, 'y': 67, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 49.6, 'z': 13.8}",0.01475,0.0115,6528487,50,2944,"{'start': {'x': 67, 'y': 24}, 'end': {'x': 50.4, 'y': 0}, 'goal': {'x': 50.4, 'y': 86.2}}",41,2456,244,shot,
"{'name': 'Petar Sekulović', 'firstName': '', 'lastName': '', 'slug': 'petar-sekulovic', 'shortName': 'P. Sekulović', 'position': 'D', 'jerseyNumber': '20', 'userCount': 4, 'gender': 'M', 'id': 1035792, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتار سيكولوفيتش', 'hi': 'पीटर सेकुलोविच', 'bn': 'পেটার সেকুলোভিচ'}, 'shortNameTranslation': {'ar': 'ب. سيكولوفيتش', 'hi': 'पी. सेकुलोविच', 'bn': 'পি. সেকুলোভিচ'}}}",True,miss,,throw-in-set-piece,"{'x': 18, 'y': 35, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 59.2, 'z': 1.4}",0.006759,,6528486,44,2608,"{'start': {'x': 35, 'y': 18}, 'end': {'x': 40.8, 'y': 0}, 'goal': {'x': 40.8, 'y': 98.6}}",2,92,2608,shot,
"{'name': 'Asmir Kajević', 'slug': 'asmir-kajevic', 'shortName': 'A. Kajević', 'position': 'M', 'jerseyNumber': '10', 'userCount': 14, 'gender': 'M', 'id': 76273, 'fieldTranslations': {'nameTranslation': {'ar': 'أسمير كايفيتش', 'hi': 'अस्मिर काजेविक', 'bn': 'আসমির কাজেভিচ'}, 'shortNameTranslation': {'ar': 'أ. كايفيتش', 'hi': 'ए. काजेविक', 'bn': 'এ. কাজেভিচ'}}}",True,save,,corner,"{'x': 24, 'y': 53, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 54.4, 'z': 4.6}",0.02991,0.1777,6528485,39,2309,"{'start': {'x': 53, 'y': 24}, 'end': {'x': 45.6, 'y': 0}, 'goal': {'x': 45.6, 'y': 95.4}}",7,391,2309,shot,
"{'name': 'Zoran Petrović', 'slug': 'zoran-petrovic', 'shortName': 'Z. Petrović', 'position': 'F', 'jerseyNumber': '25', 'userCount': 16, 'gender': 'M', 'id': 357712, 'fieldTranslations': {'nameTranslation': {'ar': 'زوران بيتروفيتش', 'hi': 'ज़ोरान पेत्रोविक', 'bn': 'জোরান পেট্রোভিক'}, 'shortNameTranslation': {'ar': 'ز. بيتروفيتش', 'hi': 'ज़ेड. पेत्रोविक', 'bn': 'জেড. পেট্রোভিক'}}}",False,block,,regular,"{'x': 10, 'y': 25, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.007759,,6528484,31,1822,"{'start': {'x': 25, 'y': 10}, 'block': {'x': 25, 'y': 10}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",15,878,1822,shot,"{'x': 10, 'y': 25, 'z': 0}"
"{'name': 'Ibrahima Mame Ndiaye', 'slug': 'ibrahima-mame-ndiaye', 'shortName': 'I. M. Ndiaye', 'position': 'F', 'jerseyNumber': '72', 'userCount': 56, 'gender': 'M', 'id': 325325, 'fieldTranslations': {'nameTranslation': {'ar': 'ابراهيما مامي ندياي', 'hi': 'इब्राहीमा मामे नदिये', 'bn': 'ইব্রাহিম মামে নাদিয়ায়'}, 'shortNameTranslation': {'ar': 'إ. م. ندياي', 'hi': 'आई. एम. नदिये', 'bn': 'আই.এম. নাদিয়ায়'}}}",True,miss,,throw-in-set-piece,"{'x': 13, 'y': 75, 'z': 0}",right-foot,close-high-left,"{'x': 0, 'y': 58.5, 'z': 40.8}",0.006998,,6528483,24,1400,"{'start': {'x': 75, 'y': 13}, 'end': {'x': 41.5, 'y': 0}, 'goal': {'x': 41.5, 'y': 59.2}}",22,1300,1400,shot,
"{'name': 'Petar Sekulović', 'firstName': '', 'lastName': '', 'slug': 'petar-sekulovic', 'shortName': 'P. Sekulović', 'position': 'D', 'jerseyNumber': '20', 'userCount': 4, 'gender': 'M', 'id': 1035792, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتار سيكولوفيتش', 'hi': 'पीटर सेकुलोविच', 'bn': 'পেটার সেকুলোভিচ'}, 'shortNameTranslation': {'ar': 'ب. سيكولوفيتش', 'hi': 'पी. सेकुलोविच', 'bn': 'পি. সেকুলোভিচ'}}}",True,miss,,regular,"{'x': 26, 'y': 44, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 41.5, 'z': 42.3}",0.04679,,6528482,21,1246,"{'start': {'x': 44, 'y': 26}, 'end': {'x': 58.5, 'y': 0}, 'goal': {'x': 58.5, 'y': 57.7}}",25,1454,1246,shot,
"{'name': 'Mark Djokaj', 'slug': 'mark-djokaj', 'shortName': 'M. Djokaj', 'position': 'F', 'userCount': 13, 'gender': 'M', 'id': 2073399, 'fieldTranslations': {'nameTranslation': {'ar': 'مارك ديوكاج'}, 'shortNameTranslation': {'ar': 'م. ديوكاج'}}}",True,block,,regular,"{'x': 11, 'y': 35, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.05101,,6528481,21,1243,"{'start': {'x': 35, 'y': 11}, 'block': {'x': 35, 'y': 11}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",25,1457,1243,shot,"{'x': 11, 'y': 35, 'z': 0}"
"{'name': 'Ilir Camaj', 'firstName': '', 'lastName': '', 'slug': 'ilir-camaj', 'shortName': 'I. Camaj', 'position': 'F', 'jerseyNumber': '9', 'userCount': 18, 'gender': 'M', 'id': 869335, 'fieldTranslations': {'nameTranslation': {'ar': 'إيلير كاما'}, 'shortNameTranslation': {'ar': 'إ. كاما'}}}",True,block,,regular,"{'x': 23, 'y': 44, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.04804,,6528480,6,325,"{'start': {'x': 44, 'y': 23}, 'block': {'x': 44, 'y': 23}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",40,2375,325,shot,"{'x': 23, 'y': 44, 'z': 0}"
"{'name': 'Andrej Camaj', 'slug': 'camaj-andrej', 'shortName': 'A. Camaj', 'position': 'F', 'jerseyNumber': '24', 'userCount': 32, 'gender': 'M', 'id': 1423503, 'fieldTranslations': {'nameTranslation': {'ar': 'كاما، أندريه'}, 'shortNameTranslation': {'ar': 'أ. كاما'}}}",False,block,,regular,"{'x': 24, 'y': 72, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.009154,,6528479,1,15,"{'start': {'x': 72, 'y': 24}, 'block': {'x': 72, 'y': 24}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",45,2685,15,shot,"{'x': 24, 'y': 72, 'z': 0}"
