minute,value
0.0,0
1.0,-8
2.0,-13
3.0,-21
4.0,-18
5.0,-22
6.0,-24
7.0,-15
8.0,65
9.0,30
10.0,18
11.0,3
12.0,-5
13.0,-41
14.0,-28
15.0,-16
16.0,-2
17.0,-19
18.0,32
19.0,11
20.0,-29
21.0,18
22.0,1
23.0,-5
24.0,-7
25.0,-15
26.0,-19
27.0,-14
28.0,63
29.0,30
30.0,17
31.0,-13
32.0,3
33.0,-2
34.0,-29
35.0,-30
36.0,-20
37.0,-70
38.0,-40
39.0,-20
40.0,-14
41.0,-11
42.0,2
43.0,-9
44.0,-18
45.0,-49
45.5,-50
46.0,38
47.0,100
48.0,-63
49.0,28
50.0,14
51.0,33
52.0,13
53.0,11
54.0,3
55.0,-67
56.0,-88
57.0,-100
58.0,-68
59.0,-42
60.0,-52
61.0,-34
62.0,-14
63.0,-84
64.0,-57
65.0,-44
66.0,-32
67.0,-27
68.0,-12
69.0,-4
70.0,-9
71.0,-2
72.0,-3
73.0,9
74.0,-7
75.0,-4
76.0,-5
77.0,-50
78.0,-38
79.0,23
80.0,-8
81.0,-7
82.0,-78
83.0,-48
84.0,-33
85.0,-22
86.0,-16
87.0,-21
88.0,-15
89.0,-9
90.0,-15
90.5,30
