match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialWon,duelLost,duelWon,challengeLost,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,aerialLost,outfielderBlock,errorLeadToAShot,bigChanceMissed,shotOffTarget,shotValueNormalized,accurateCross,totalContest,wonContest,onTargetScoringAttempt,blockedScoringAttempt,dispossessed,bigChanceCreated,totalOffside,punches
14015557,home,5150,FK Vojvodina,842317,Aleksa Vukanović,aleksa-vukanovic,F,9,False,20.0,16.0,,,0.0,3.0,4.0,13.0,16.0,,3.0,,,,,,75.0,31.0,6.2,11.0,124.59958678157,13.0,-19.11,12.075,,"{'original': 6.2, 'alternative': 6.4}",0,0.14,-0.47,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,2,6,80.0,,,,,,1.0,8.0,3.0,1.0,,1.0,,3.0,1.0,2.0,1.0,2.0,,,,,,,,,,,4.0,,1.0,
14015557,home,5150,FK Vojvodina,1114797,Dragan Kokanović,dragan-kokanovic,M,20,True,6.0,5.0,,,0.0,1.0,2.0,4.0,4.0,,,,,,,,18.0,11.0,6.8,1.0,6.8670097104316,2.0,-2.1,0.84000000000001,,"{'original': 6.8, 'alternative': 6.5}",0,-0.02,0.0,0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,2,2,83.33333333333334,,,,,,1.0,5.0,3.0,2.0,,,,,2.0,,,3.0,1.0,,,,,,,,,,,,,
14015557,home,5150,FK Vojvodina,795913,John Mary,john-mary,F,28,True,2.0,,,,0.0,,,,2.0,1.0,1.0,,,,,,15.0,5.0,6.5,2.0,13.904983309047,2.0,-3.675,-1.155,,"{'original': 6.5, 'alternative': 6.7}",1,-0.02,0.04,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,1,0,,,,,,,1.0,2.0,2.0,,,,,,1.0,,,2.0,,,,1.0,-0.17,,,,,,,,,
14015557,home,5150,FK Vojvodina,111754,Marko Poletanović,marko-poletanovic,M,4,True,4.0,2.0,2.0,,0.0,,1.0,2.0,3.0,,,,,,,,8.0,5.0,6.6,2.0,5.951021424932,1.0,-4.2,-4.2,,"{'original': 6.6, 'alternative': 6.5}",0,-0.01,-0.04,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,50.0,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
14015557,home,5150,FK Vojvodina,1121635,Marko Veličković,marko-velickovic,M,24,True,1.0,1.0,,,0.0,1.0,1.0,,,,1.0,,,,,,8.0,4.0,6.5,1.0,13.82927257491,2.0,-7.14,-0.94500000000002,,"{'original': 6.5, 'alternative': 6.4}",0,0.0,0.0,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,100.0,,,,,,,2.0,1.0,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,
14015557,home,5150,FK Vojvodina,974434,Lucas Barros,lucas-barros,D,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015557,home,25737,FK Vojvodina,1085212,Ibrahim Mustapha,ibrahim-mustapha,F,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015557,home,5150,FK Vojvodina,1102771,Matija Gočmanac,matija-gocmanac,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015557,home,5150,FK Vojvodina,1403053,Marko Mladenović,mladenovic-marko,M,11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015557,home,5150,FK Vojvodina,50306,Slobodan Medojević,slobodan-medojevic,M,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
