match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,duelLost,dispossessed,totalClearance,outfielderBlock,interceptionWon,totalTackle,unsuccessfulTouch,aerialWon,challengeLost,shotOffTarget,wonTackle,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,shotValueNormalized,totalContest,wonContest,keyPass,accurateCross,onTargetScoringAttempt,blockedScoringAttempt,bigChanceMissed,hitWoodwork,goals,totalKeeperSweeper,accurateKeeperSweeper,bigChanceCreated,totalOffside
14015569,home,282203,FK Železničar Pančevo,267437,Zoran Popović,zoran-popovic,G,1,False,26.0,13.0,16.0,3.0,0.0,11.0,12.0,2.0,14.0,1.0,7.0,1.0,1.0,2.0,2.0,90.0,36.0,6.8,13.0,59.453657695661,7.0,36.650323013832,0.1044,"{'original': 6.8, 'alternative': 7}",0,-0.04,0.01,0.19,0.12,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,50.0,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015569,home,282203,FK Železničar Pančevo,1429959,Uroš Tegeltija,uros-tegeltija,D,19,False,31.0,29.0,,,0.0,17.0,17.0,12.0,14.0,2.0,4.0,1.0,,,,90.0,55.0,6.8,14.0,94.418714093845,14.0,42.52989033805,,"{'original': 6.8, 'alternative': 7.1}",0,-0.14,0.02,0.3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,93.54838709677419,,,,,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,
14015569,home,282203,FK Železničar Pančevo,1001880,Mirko Milikić,mirko-milikic,D,6,False,107.0,95.0,9.0,3.0,0.0,51.0,55.0,44.0,52.0,5.0,,1.0,,,,90.0,114.0,6.9,14.0,447.45295724744,59.0,202.66886268587,,"{'original': 6.9, 'alternative': 7}",1,0.34,0.19,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,5,6,2,4,88.78504672897196,33.33333333333333,,,,,2.0,6.0,,1.0,,,1.0,2.0,3.0,2.0,1.0,1.0,2.0,15.670449394665,16.172287531453,1.0,-0.24,,,,,,,,,,,,,
14015569,home,282203,FK Železničar Pančevo,1146281,Nemanja Vidojević,nemanja-vidojevic,D,5,False,99.0,90.0,9.0,3.0,0.0,51.0,55.0,39.0,44.0,4.0,4.0,1.0,,,,90.0,106.0,7.4,10.0,410.00743913101,58.0,230.68266741574,,"{'original': 7.4, 'alternative': 7}",0,0.28,0.27,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,90.9090909090909,33.33333333333333,,100.0,,,,2.0,,1.0,,,,1.0,2.0,,,,2.0,16.999704912691,37.753507302783,2.0,,1.0,1.0,,,,,,,,,,,
14015569,home,282203,FK Železničar Pančevo,1466631,Nikola Đuričić,nikola-duricic,D,33,False,56.0,50.0,6.0,3.0,0.0,20.0,20.0,30.0,36.0,3.0,3.0,,,,,90.0,69.0,7.1,10.0,199.03941878297,27.0,55.828524389776,,"{'original': 7.1, 'alternative': 7.3}",0,0.2,0.02,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,4,1,0,1,89.28571428571429,50.0,,,,2.0,1.0,2.0,,1.0,,1.0,,1.0,3.0,,,,1.0,18.232833917891,21.32812061575,1.0,,,,1.0,,,,,,,,,,
14015569,home,282203,FK Železničar Pančevo,1146227,Stefan Pirgić,stefan-pirgic,M,18,False,40.0,34.0,3.0,2.0,0.0,19.0,21.0,15.0,19.0,,3.0,,,,,90.0,42.0,6.8,6.0,131.68388191888,14.0,81.406164185462,,"{'original': 6.8, 'alternative': 6.8}",0,0.25,0.09,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,85.0,66.66666666666666,,,,,1.0,1.0,,1.0,,,,,,,,,,28.320765826892,52.429789655535,2.0,,,,,,,,,,,,,,
14015569,home,282203,FK Železničar Pančevo,1166015,Nikola Jovanović,nikola-jovanovic,M,17,False,18.0,15.0,2.0,2.0,0.0,1.0,2.0,14.0,16.0,2.0,,1.0,,,,66.0,39.0,6.5,16.0,174.41461230834,18.0,74.642966317529,,"{'original': 6.5, 'alternative': 6.8}",2,0.01,0.26,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,2,5,83.33333333333334,100.0,14.285714285714285,33.33333333333333,,7.0,1.0,6.0,1.0,1.0,,,,3.0,,,1.0,,2.0,11.755315573258,55.33586170157,4.0,-0.56,3.0,1.0,,1.0,1.0,,,,,,,,
14015569,home,282203,FK Železničar Pančevo,1007254,Branislav Knežević,branislav-knezevic,M,21,False,26.0,21.0,3.0,1.0,0.0,9.0,11.0,12.0,15.0,3.0,6.0,1.0,,,,89.0,35.0,6.9,7.0,126.87050658067,13.0,28.867433044819,,"{'original': 6.9, 'alternative': 6.9}",1,-0.06,0.13,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,80.76923076923077,33.33333333333333,,,,1.0,,1.0,,1.0,,,2.0,1.0,,,,2.0,1.0,12.36966929665,13.697759853348,1.0,-0.07,,,,,,1.0,,,,,,,
14015569,home,282203,FK Železničar Pančevo,1087748,Kristian Šekularac,kristian-sekularac,M,77,False,45.0,42.0,3.0,1.0,0.0,17.0,18.0,25.0,27.0,5.0,1.0,,,,,87.0,61.0,7.4,7.0,173.68229783994,20.0,12.638332493431,,"{'original': 7.4, 'alternative': 7}",1,-0.1,-0.19,0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,4,1,93.33333333333333,33.33333333333333,33.33333333333333,50.0,,3.0,,1.0,,2.0,,,3.0,1.0,1.0,,1.0,2.0,,15.758241134971,21.142044272019,1.0,0.0,2.0,1.0,,1.0,,,1.0,,,,,,
14015569,home,282203,FK Železničar Pančevo,1013994,Sylvester Jasper,jasper-sylvester,M,27,False,22.0,22.0,1.0,1.0,0.0,5.0,5.0,17.0,17.0,5.0,2.0,4.0,,,,85.0,47.0,7.7,14.0,245.35286891661,27.0,114.86819342682,,"{'original': 7.7, 'alternative': 7.5}",3,-0.05,0.17,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,5,4,100.0,100.0,,33.33333333333333,,5.0,,4.0,,,,1.0,,7.0,,1.0,1.0,,1.0,20.413716822477,76.511339028221,4.0,0.56,3.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,
