player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType,xgot,addedTime
"{'name': 'Stephano Almeida', 'firstName': 'Stephano', 'lastName': 'Almeida', 'slug': 'stephano-almeida', 'shortName': 'S. Almeida', 'position': 'M', 'jerseyNumber': '27', 'userCount': 14, 'gender': 'M', 'id': 978475, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفانو ألميدا', 'hi': 'स्टेफानो अल्मेडा', 'bn': 'স্টেফানো নাউমোভস্কি'}, 'shortNameTranslation': {'ar': 'س. ألميدا', 'hi': 'एस. अल्मेडा', 'bn': 'এস. নাউমোভস্কি'}}}",True,goal,throw-in-set-piece,"{'x': 16, 'y': 61, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53, 'z': 12.4}",0.4039,6542555,56,3312,"{'start': {'x': 61, 'y': 16}, 'end': {'x': 47, 'y': 0}, 'goal': {'x': 47, 'y': 87.6}}",35,2088,612,shot,,regular,0.7325,
"{'name': 'Andrija Ražnatović', 'firstName': '', 'lastName': '', 'slug': 'andrija-raznatovic', 'shortName': 'A. Ražnatović', 'position': 'D', 'jerseyNumber': '22', 'userCount': 23, 'gender': 'M', 'id': 1000770, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريا رازناتوفيتش', 'hi': 'एंड्रीजा रज्नाटोविक', 'bn': 'আন্দ্রিজা রাজনাতোভিচ'}, 'shortNameTranslation': {'ar': 'أ. رازناتوفيتش', 'hi': 'ए. रज्नाटोविक', 'bn': 'এ. রাজনাতোভিচ'}}}",False,goal,set-piece,"{'x': 18, 'y': 44, 'z': 0}",left-foot,high-right,"{'x': 0, 'y': 47.3, 'z': 33}",0.08454,6542554,51,3003,"{'start': {'x': 44, 'y': 18}, 'end': {'x': 52.7, 'y': 0}, 'goal': {'x': 52.7, 'y': 67}}",40,2397,303,shot,,regular,0.6331,
"{'name': 'Andrija Ražnatović', 'firstName': '', 'lastName': '', 'slug': 'andrija-raznatovic', 'shortName': 'A. Ražnatović', 'position': 'D', 'jerseyNumber': '22', 'userCount': 23, 'gender': 'M', 'id': 1000770, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريا رازناتوفيتش', 'hi': 'एंड्रीजा रज्नाटोविक', 'bn': 'আন্দ্রিজা রাজনাতোভিচ'}, 'shortNameTranslation': {'ar': 'أ. رازناتوفيتش', 'hi': 'ए. रज्नाटोविक', 'bn': 'এ. রাজনাতোভিচ'}}}",False,save,regular,"{'x': 8, 'y': 42, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 54.6, 'z': 8.1}",0.2866,6542553,45,2705,"{'start': {'x': 42, 'y': 8}, 'end': {'x': 45.4, 'y': 0}, 'goal': {'x': 45.4, 'y': 91.9}}",1,2695,5,shot,,,0.6824,1.0
"{'name': 'Boris Kopitović', 'slug': 'boris-kopitovic', 'shortName': 'B. Kopitović', 'position': 'D', 'jerseyNumber': '15', 'userCount': 19, 'gender': 'M', 'id': 138937, 'fieldTranslations': {'nameTranslation': {'ar': 'بوريس كوفيتوفيتش', 'hi': 'बोरिस कोपिटोविक', 'bn': 'বরিস কোপিটোভিচ'}, 'shortNameTranslation': {'ar': 'ب. كوفيتوفيتش', 'hi': 'बी. कोपिटोविक', 'bn': 'বি. কোপিটোভিচ'}}}",False,goal,corner,"{'x': 7, 'y': 45, 'z': 0}",head,high-centre,"{'x': 0, 'y': 50.6, 'z': 20.7}",0.5527,6542552,33,1935,"{'start': {'x': 45, 'y': 7}, 'end': {'x': 49.4, 'y': 0}, 'goal': {'x': 49.4, 'y': 79.3}}",13,765,1935,shot,,regular,0.511,
"{'name': 'Aleksandar Desančić', 'slug': 'aleksandar-desancic', 'shortName': 'A. Desančić', 'position': 'M', 'userCount': 13, 'gender': 'M', 'id': 795912, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر ديسانشيتش'}, 'shortNameTranslation': {'ar': 'أ. ديسانشيتش'}}}",False,save,corner,"{'x': 18, 'y': 52, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 49.9, 'z': 33.4}",0.07225,6542551,33,1933,"{'start': {'x': 52, 'y': 18}, 'end': {'x': 50.1, 'y': 0}, 'goal': {'x': 50.1, 'y': 66.6}}",13,767,1933,shot,,,0.1149,
"{'name': 'Nelson Augustin Cordoba', 'firstName': '', 'lastName': '', 'slug': 'nelson-augustin-cordoba', 'shortName': 'N. A. Cordoba', 'position': 'M', 'jerseyNumber': '28', 'userCount': 13, 'gender': 'M', 'id': 1163021, 'fieldTranslations': {'nameTranslation': {'ar': 'نيلسون أوغستين كوردوبا'}, 'shortNameTranslation': {'ar': 'ن. كوردوبا'}}}",True,miss,corner,"{'x': 36, 'y': 26, 'z': 0}",right-foot,close-high-left,"{'x': 0, 'y': 59, 'z': 47.3}",0.004634,6542550,28,1636,"{'start': {'x': 26, 'y': 36}, 'end': {'x': 41, 'y': 0}, 'goal': {'x': 41, 'y': 52.7}}",18,1064,1636,shot,,,,
"{'name': 'Bojan Damjanović', 'firstName': 'Bojan', 'lastName': 'Damjanovic', 'slug': 'bojan-damjanovic', 'shortName': 'B. Damjanović', 'position': 'D', 'jerseyNumber': '91', 'userCount': 18, 'gender': 'M', 'id': 1423507, 'fieldTranslations': {'nameTranslation': {'ar': 'بويان داميانوفيتش'}, 'shortNameTranslation': {'ar': 'ب. داميانوفيتش'}}}",False,miss,set-piece,"{'x': 3, 'y': 51, 'z': 0}",head,close-left,"{'x': 0, 'y': 57, 'z': 32.2}",0.4478,6542549,23,1342,"{'start': {'x': 51, 'y': 3}, 'end': {'x': 43, 'y': 0}, 'goal': {'x': 43, 'y': 67.8}}",23,1358,1342,shot,,,,
"{'name': 'Rodrigo Faust', 'slug': 'rodrigo-faust', 'shortName': 'R. Faust', 'position': 'F', 'jerseyNumber': '9', 'userCount': 9, 'gender': 'M', 'id': 871881, 'fieldTranslations': {'nameTranslation': {'ar': 'رودريغو فاوست'}, 'shortNameTranslation': {'ar': 'ر. فاوست'}}}",True,miss,regular,"{'x': 39, 'y': 44, 'z': 0}",left-foot,close-left,"{'x': 0, 'y': 57.2, 'z': 38.5}",0.004064,6542548,21,1216,"{'start': {'x': 44, 'y': 39}, 'end': {'x': 42.8, 'y': 0}, 'goal': {'x': 42.8, 'y': 61.5}}",25,1484,1216,shot,,,,
"{'name': 'Lazar Knezevic', 'firstName': 'Lazar Knezevic', 'slug': 'lazar-knezevic', 'shortName': 'L. Knezevic', 'position': 'M', 'jerseyNumber': '7', 'userCount': 5, 'gender': 'M', 'id': 1497156, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار كنيزيفيتش'}, 'shortNameTranslation': {'ar': 'ل. كنيزيفيتش'}}}",True,miss,regular,"{'x': 10, 'y': 42, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 41.8, 'z': 53.7}",0.2751,6542547,17,986,"{'start': {'x': 42, 'y': 10}, 'end': {'x': 58.2, 'y': 0}, 'goal': {'x': 58.2, 'y': 46.3}}",29,1714,986,shot,,,,
"{'name': 'Aleksa Golubović', 'slug': 'aleksa-golubovic', 'shortName': 'A. Golubović', 'position': 'M', 'jerseyNumber': '2', 'userCount': 6, 'gender': 'M', 'id': 1030493, 'fieldTranslations': {'nameTranslation': {'ar': 'أليكس غولوبوفيتش'}, 'shortNameTranslation': {'ar': 'أ. غولوبوفيتش'}}}",False,miss,regular,"{'x': 11, 'y': 61, 'z': 0}",head,close-high,"{'x': 0, 'y': 45.4, 'z': 51.5}",0.08211,6542546,13,737,"{'start': {'x': 61, 'y': 11}, 'end': {'x': 54.6, 'y': 0}, 'goal': {'x': 54.6, 'y': 48.5}}",33,1963,737,shot,,,,
"{'name': 'Anđelko Jovanović', 'firstName': '', 'lastName': '', 'slug': 'andelko-jovanovic', 'shortName': 'A. Jovanović', 'position': 'M', 'jerseyNumber': '10', 'userCount': 4, 'gender': 'M', 'id': 1030487, 'fieldTranslations': {'nameTranslation': {'ar': 'أنجيلكو يوفانوفيتش', 'hi': 'एन्डेल्को जोवानोविक', 'bn': 'আন্দ্রেকো জোভানোভিচ'}, 'shortNameTranslation': {'ar': 'أ. يوفانوفيتش', 'hi': 'ए. जोवानोविक', 'bn': 'এ. জোভানোভিচ'}}}",True,miss,throw-in-set-piece,"{'x': 26, 'y': 59, 'z': 0}",left-foot,close-high-right,"{'x': 0, 'y': 43.2, 'z': 40.3}",0.000983,6542545,12,697,"{'start': {'x': 59, 'y': 26}, 'end': {'x': 56.8, 'y': 0}, 'goal': {'x': 56.8, 'y': 59.7}}",34,2003,697,shot,,,,
