player,isHome,shotType,goalType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,xgot,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,addedTime
"{'name': 'Abdel Osmanović', 'firstName': '', 'lastName': '', 'slug': 'abdel-osmanovic', 'shortName': 'A. Osmanović', 'position': 'D', 'jerseyNumber': '2', 'userCount': 5, 'gender': 'M', 'id': 1000154, 'fieldTranslations': {'nameTranslation': {'ar': 'عبد الإله أوسمانوفيتش'}, 'shortNameTranslation': {'ar': 'ع. أوسمانوفيتش'}}}",True,block,,regular,"{'x': 14, 'y': 76, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.009917,,6875155,45,2839,"{'start': {'x': 76, 'y': 14}, 'block': {'x': 76, 'y': 14}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",1,2561,139,shot,"{'x': 14, 'y': 76, 'z': 0}",3.0
"{'name': 'Petar Bogdanović', 'firstName': '', 'lastName': '', 'slug': 'petar-bogdanovic', 'shortName': 'P. Bogdanović', 'position': 'M', 'jerseyNumber': '7', 'userCount': 14, 'gender': 'M', 'id': 1408188, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر بوغدانوفيتش'}, 'shortNameTranslation': {'ar': 'ب. بوغدانوفيتش'}}}",True,save,,regular,"{'x': 13, 'y': 35, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.1, 'z': 2.9}",0.1254,0.5843,6875154,45,2835,"{'start': {'x': 35, 'y': 13}, 'end': {'x': 52.9, 'y': 0}, 'goal': {'x': 52.9, 'y': 97.1}}",1,2565,135,shot,,3.0
"{'name': 'Trimror Selimi', 'firstName': 'Trimron Selimi', 'lastName': '', 'slug': 'trimron-selimi', 'shortName': 'T. Selimi', 'position': 'M', 'jerseyNumber': '19', 'userCount': 14, 'gender': 'M', 'id': 1394763, 'fieldTranslations': {'nameTranslation': {'ar': 'تريمور سليمي'}, 'shortNameTranslation': {'ar': 'ت. سليمي'}}}",False,save,,regular,"{'x': 15, 'y': 40, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 52.8, 'z': 23.4}",0.04287,0.2118,6875153,41,2434,"{'start': {'x': 40, 'y': 15}, 'end': {'x': 47.2, 'y': 0}, 'goal': {'x': 47.2, 'y': 76.6}}",5,266,2434,shot,,
"{'name': 'Balša Radusinović', 'firstName': '', 'lastName': '', 'slug': 'balsa-radusinovic', 'shortName': 'B. Radusinović', 'position': 'M', 'jerseyNumber': '32', 'userCount': 10, 'gender': 'M', 'id': 1131064, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا رادوسينوفيتش'}, 'shortNameTranslation': {'ar': 'ب. رادوسينوفيتش'}}}",False,save,,throw-in-set-piece,"{'x': 15, 'y': 61, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 51.4, 'z': 15.7}",0.03614,0.03792,6875152,39,2336,"{'start': {'x': 61, 'y': 15}, 'end': {'x': 48.6, 'y': 0}, 'goal': {'x': 48.6, 'y': 84.3}}",7,364,2336,shot,,
"{'name': 'Stefan Golubović', 'slug': 'stefan-golubovic', 'shortName': 'S. Golubović', 'position': 'F', 'jerseyNumber': '27', 'userCount': 34, 'gender': 'M', 'id': 838300, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان غولوبوفيتش'}, 'shortNameTranslation': {'ar': 'س. غولوبوفيتش'}}}",False,miss,,regular,"{'x': 16, 'y': 25, 'z': 0}",left-foot,close-high,"{'x': 0, 'y': 46, 'z': 48}",0.03431,,6875151,37,2174,"{'start': {'x': 25, 'y': 16}, 'end': {'x': 54, 'y': 0}, 'goal': {'x': 54, 'y': 52}}",9,526,2174,shot,,
"{'name': 'Andrej Bajović', 'firstName': '', 'lastName': '', 'slug': 'andrej-bajovic', 'shortName': 'A. Bajović', 'position': 'M', 'jerseyNumber': '14', 'userCount': 35, 'gender': 'M', 'id': 1005614, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريه بايوفيتش'}, 'shortNameTranslation': {'ar': 'أ. بايوفيتش'}}}",False,miss,,regular,"{'x': 24, 'y': 43, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 42.7, 'z': 57.3}",0.0528,,6875150,21,1245,"{'start': {'x': 43, 'y': 24}, 'end': {'x': 57.3, 'y': 0}, 'goal': {'x': 57.3, 'y': 42.7}}",25,1455,1245,shot,,
"{'name': 'Petar Pavlićević', 'firstName': '', 'lastName': '', 'slug': 'petar-pavlicevic', 'shortName': 'P. Pavlićević', 'position': 'M', 'jerseyNumber': '74', 'userCount': 9, 'gender': 'M', 'id': 929112, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر بافليتشيفيتش'}, 'shortNameTranslation': {'ar': 'ب. بافليتشيفيتش'}}}",False,miss,,regular,"{'x': 22, 'y': 57, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 41.5, 'z': 17.5}",0.07684,,6875149,21,1215,"{'start': {'x': 57, 'y': 22}, 'end': {'x': 58.5, 'y': 0}, 'goal': {'x': 58.5, 'y': 82.5}}",25,1485,1215,shot,,
"{'name': 'Balša Radusinović', 'firstName': '', 'lastName': '', 'slug': 'balsa-radusinovic', 'shortName': 'B. Radusinović', 'position': 'M', 'jerseyNumber': '32', 'userCount': 10, 'gender': 'M', 'id': 1131064, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا رادوسينوفيتش'}, 'shortNameTranslation': {'ar': 'ب. رادوسينوفيتش'}}}",False,save,,regular,"{'x': 20, 'y': 67, 'z': 0}",left-foot,high-centre,"{'x': 0, 'y': 50, 'z': 23.2}",0.01746,0.02004,6875148,20,1197,"{'start': {'x': 67, 'y': 20}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 76.8}}",26,1503,1197,shot,,
"{'name': 'Petar Bogdanović', 'firstName': '', 'lastName': '', 'slug': 'petar-bogdanovic', 'shortName': 'P. Bogdanović', 'position': 'M', 'jerseyNumber': '7', 'userCount': 14, 'gender': 'M', 'id': 1408188, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر بوغدانوفيتش'}, 'shortNameTranslation': {'ar': 'ب. بوغدانوفيتش'}}}",True,block,,regular,"{'x': 26, 'y': 56, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.03109,,6875147,19,1122,"{'start': {'x': 56, 'y': 26}, 'block': {'x': 56, 'y': 26}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",27,1578,1122,shot,"{'x': 26, 'y': 56, 'z': 0}",
"{'name': 'Imran Redžepagić', 'firstName': 'Imran Redžepagić', 'lastName': '', 'slug': 'imran-redzepagic', 'shortName': 'I. Redžepagić', 'position': 'M', 'jerseyNumber': '16', 'userCount': 10, 'gender': 'M', 'id': 1190522, 'fieldTranslations': {'nameTranslation': {'ar': 'إمران ريدجيبابيتش'}, 'shortNameTranslation': {'ar': 'إ. ريدجيبابيتش'}}}",True,save,,regular,"{'x': 22, 'y': 67, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.7, 'z': 10.4}",0.01879,0.0147,6875146,17,1006,"{'start': {'x': 67, 'y': 22}, 'end': {'x': 48.3, 'y': 0}, 'goal': {'x': 48.3, 'y': 89.6}}",29,1694,1006,shot,,
"{'name': 'Stefan Golubović', 'slug': 'stefan-golubovic', 'shortName': 'S. Golubović', 'position': 'F', 'jerseyNumber': '27', 'userCount': 34, 'gender': 'M', 'id': 838300, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان غولوبوفيتش'}, 'shortNameTranslation': {'ar': 'س. غولوبوفيتش'}}}",False,save,,corner,"{'x': 4, 'y': 38, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 53.5, 'z': 6}",0.07665,0.2717,6875145,15,867,"{'start': {'x': 38, 'y': 4}, 'end': {'x': 46.5, 'y': 0}, 'goal': {'x': 46.5, 'y': 94}}",31,1833,867,shot,,
"{'name': 'Nenad Krivokapić', 'firstName': 'Nenad', 'lastName': 'Krivokapić', 'slug': 'nenad-krivokapic', 'shortName': 'N. Krivokapić', 'position': 'M', 'jerseyNumber': '11', 'userCount': 32, 'gender': 'M', 'id': 1149284, 'fieldTranslations': {'nameTranslation': {'ar': 'نينا كريفاكبيتش'}, 'shortNameTranslation': {'ar': 'ن. كريفاكبيتش'}}}",True,block,,throw-in-set-piece,"{'x': 21, 'y': 48, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.00715,,6875144,13,764,"{'start': {'x': 48, 'y': 21}, 'block': {'x': 48, 'y': 21}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",33,1936,764,shot,"{'x': 21, 'y': 48, 'z': 0}",
"{'name': 'Nenad Krivokapić', 'firstName': 'Nenad', 'lastName': 'Krivokapić', 'slug': 'nenad-krivokapic', 'shortName': 'N. Krivokapić', 'position': 'M', 'jerseyNumber': '11', 'userCount': 32, 'gender': 'M', 'id': 1149284, 'fieldTranslations': {'nameTranslation': {'ar': 'نينا كريفاكبيتش'}, 'shortNameTranslation': {'ar': 'ن. كريفاكبيتش'}}}",True,block,,regular,"{'x': 7, 'y': 66, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.05057,,6875143,11,621,"{'start': {'x': 66, 'y': 7}, 'block': {'x': 66, 'y': 7}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",35,2079,621,shot,"{'x': 7, 'y': 66, 'z': 0}",
"{'name': 'Andrej Bajović', 'firstName': '', 'lastName': '', 'slug': 'andrej-bajovic', 'shortName': 'A. Bajović', 'position': 'M', 'jerseyNumber': '14', 'userCount': 35, 'gender': 'M', 'id': 1005614, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريه بايوفيتش'}, 'shortNameTranslation': {'ar': 'أ. بايوفيتش'}}}",False,goal,regular,regular,"{'x': 8, 'y': 49, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.2, 'z': 15.5}",0.4746,0.6416,6875142,5,264,"{'start': {'x': 49, 'y': 8}, 'end': {'x': 48.8, 'y': 0}, 'goal': {'x': 48.8, 'y': 84.5}}",41,2436,264,shot,,
"{'name': 'Trimror Selimi', 'firstName': 'Trimron Selimi', 'lastName': '', 'slug': 'trimron-selimi', 'shortName': 'T. Selimi', 'position': 'M', 'jerseyNumber': '19', 'userCount': 14, 'gender': 'M', 'id': 1394763, 'fieldTranslations': {'nameTranslation': {'ar': 'تريمور سليمي'}, 'shortNameTranslation': {'ar': 'ت. سليمي'}}}",False,save,,regular,"{'x': 15, 'y': 44, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.8, 'z': 6.5}",0.05241,0.4083,6875141,2,117,"{'start': {'x': 44, 'y': 15}, 'end': {'x': 47.2, 'y': 0}, 'goal': {'x': 47.2, 'y': 93.5}}",44,2583,117,shot,,
"{'name': 'Asmir Kajević', 'slug': 'asmir-kajevic', 'shortName': 'A. Kajević', 'position': 'M', 'jerseyNumber': '10', 'userCount': 16, 'gender': 'M', 'id': 76273, 'fieldTranslations': {'nameTranslation': {'ar': 'أسمير كايفيتش', 'bn': 'আসমির কাজেভিচ', 'hi': 'अस्मिर काजेविक'}, 'shortNameTranslation': {'ar': 'أ. كايفيتش', 'bn': 'এ. কাজেভিচ', 'hi': 'ए. काजेविक'}}}",False,goal,regular,regular,"{'x': 14, 'y': 47, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 47.2, 'z': 2}",0.1329,0.4697,6875140,2,65,"{'start': {'x': 47, 'y': 14}, 'end': {'x': 52.8, 'y': 0}, 'goal': {'x': 52.8, 'y': 98}}",44,2635,65,shot,,
